statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q47995095-fc28665c-46e0-64bd-acb0-32377959e7c6,Q47995095,Jack Sargeant,Q4738671,Alyn and Deeside,Q832685,Welsh Labour,2018-02-07,"",5
Q4897688-0F6BDAF7-F97F-47DF-9916-706C886CF80F,Q4897688,Bethan Jenkins,Q7568795,South Wales West,Q10691,Plaid Cymru,2016-05-05,"",5
Q4897688-908CD1C7-4027-429F-B5A5-36F557B109E5,Q4897688,Bethan Jenkins,Q7568795,South Wales West,Q10691,Plaid Cymru,2011-05-05,2016-04-06,4
Q4897688-F3523869-2E0E-474D-AB00-7D150B7B7FAD,Q4897688,Bethan Jenkins,Q7568795,South Wales West,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q4963833-624CE46B-B393-4C6E-9A70-B9B5A23129F4,Q4963833,Brian Gibbons,Q4666775,Aberavon,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q4963833-D9EA0925-747E-4FFD-915A-2CD3B976FDB4,Q4963833,Brian Gibbons,Q4666775,Aberavon,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q4963833-AC292C4F-EFD9-4750-B0E1-B25177F76132,Q4963833,Brian Gibbons,Q4666775,Aberavon,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q4963931-46E4D475-2B81-4CBC-9514-0D20A3533F82,Q4963931,Brian Hancock,Q6084441,Islwyn,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q5004338-E7C77079-CB98-4CD1-9CC0-E210EBE1897C,Q5004338,Byron Davies,Q7568795,South Wales West,Q7981882,Welsh Conservative Party,2011-05-05,2015-05-15,4
Q5040766-b89d601e-4360-da54-3a06-f22d5ba68ef7,Q5040766,Carl Sargeant,Q4738671,Alyn and Deeside,Q327591,independent politician,2017-11-03,2017-11-07,5
Q5040766-D26FE9B8-CABE-4638-86EC-CDC4156860C8,Q5040766,Carl Sargeant,Q4738671,Alyn and Deeside,Q832685,Welsh Labour,2016-05-05,2017-11-03,5
Q5040766-E4A5BE1A-BA76-456D-BB3B-EF84561F4E25,Q5040766,Carl Sargeant,Q4738671,Alyn and Deeside,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q5040766-77F5E90C-D40B-4F0D-A768-5D9F4FEE4444,Q5040766,Carl Sargeant,Q4738671,Alyn and Deeside,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q5040766-D8B8F2AF-64CE-40EE-BE89-03D6E2F7142A,Q5040766,Carl Sargeant,Q4738671,Alyn and Deeside,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q5052945-258F1059-60C4-479B-8AAB-8970EAFF37A7,Q5052945,Catherine Thomas,Q6661286,Llanelli,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q5106591-F3F241F7-21F5-4DD6-91C3-D3CFB9763072,Q5106591,Chris Franks,Q7568764,South Wales Central,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q5110965-80CF5CBF-1E29-4945-AF24-CD3227383CF2,Q5110965,Christine Chapman,Q5199989,Cynon Valley,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q5110965-E6940BCA-421B-4050-BF21-771DC2DB4BEB,Q5110965,Christine Chapman,Q5199989,Cynon Valley,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q5110965-069F0B00-7451-43D9-83B2-5001353BFB12,Q5110965,Christine Chapman,Q5199989,Cynon Valley,Q832685,Welsh Labour,2007-05-03,2011-03-30,3
Q5110965-4E7ED7B0-4C8A-47E9-B813-CAA9C9CDBCAC,Q5110965,Christine Chapman,Q5199989,Cynon Valley,Q832685,Welsh Labour,2011-05-05,2016-04-06,4
Q5111036-337FF3DA-A2FD-4EC8-9F22-67575CF48AE6,Q5111036,Christine Gwyther,Q5043210,Carmarthen West and South Pembrokeshire,Q832685,Welsh Labour,2003-05-01,2007-03-28,2
Q5111036-45EF5C52-06C4-4279-990E-AD1905B9B7FC,Q5111036,Christine Gwyther,Q5043210,Carmarthen West and South Pembrokeshire,Q832685,Welsh Labour,1999-05-06,2003-04-02,1
Q5111059-17B02577-93D0-4102-9B19-D7261D8283E1,Q5111059,Christine Humphreys,Q7057143,North Wales,Q7981939,Welsh Liberal Democrats,1999-05-06,2001-03-22,1
Q5225067-E4F41666-B187-43F3-9B3B-DD0F6B616830,Q5225067,Darren Millar,Q13128697,Clwyd West,Q7981882,Welsh Conservative Party,2011-05-05,2016-04-06,4
Q5225067-FDDD40C0-231A-4C2F-81D9-0B360E1094E3,Q5225067,Darren Millar,Q13128697,Clwyd West,Q7981882,Welsh Conservative Party,2016-05-05,"",5
Q5225067-2B56CC46-0FAD-430C-9FB7-C7CAF5F93A56,Q5225067,Darren Millar,Q13128697,Clwyd West,Q7981882,Welsh Conservative Party,2007-05-03,2011-03-30,3
Q5236695-B09A7788-0243-4A96-856E-9E624A4BBA4E,Q5236695,David Lloyd,Q7568795,South Wales West,Q10691,Plaid Cymru,2016-05-05,"",5
Q5236695-4409E089-B94B-43FD-A726-6057A49E6BF5,Q5236695,David Lloyd,Q7568795,South Wales West,Q10691,Plaid Cymru,2003-05-01,2007-03-28,2
Q5236695-4E217A57-1C10-4BBC-94F9-2289908F2688,Q5236695,David Lloyd,Q7568795,South Wales West,Q10691,Plaid Cymru,1999-05-06,2003-04-02,1
Q5236695-2CDE1F24-1EB2-4A08-8B55-3E6049E4B464,Q5236695,David Lloyd,Q7568795,South Wales West,Q10691,Plaid Cymru,2007-05-03,2011-03-30,3
Q5237493-78918769-1445-4319-8189-6B135F77625E,Q5237493,David Melding,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2011-05-05,2016-04-06,4
Q5237493-B323E632-ACF7-4E52-92B3-322BB7D51118,Q5237493,David Melding,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,1999-05-06,2003-04-02,1
Q5237493-D8E3075F-3B46-4040-BB01-A0E9B0DE0A30,Q5237493,David Melding,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2016-05-05,"",5
Q5237493-457A7BA3-1B14-4268-A627-4D54D832C59B,Q5237493,David Melding,Q7568764,South Wales Central,Q7981882,Welsh Conservative Party,2003-05-01,2007-03-28,2
