id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
jfranco,Jorge Daniel Franco,"Franco, Jorge Daniel",Misiones,2015-12-10,2019-12-09,FRENTE DE LA CONCORDIA MISIONERO,http://www.hcdn.gob.ar/diputados/jfranco/,"","","",135
jgioja,Jose Luis Gioja,"Gioja, Jose Luis",San Juan,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jgioja/,"","","",135
jgiordano,Juan Carlos Giordano,"Giordano, Juan Carlos",Buenos Aires,2013-12-10,2017-12-09,IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA,http://www.hcdn.gob.ar/diputados/jgiordano/,"","","",135
jherrera,Jose Alberto Herrera,"Herrera, Jose Alberto",Santiago Del Estero,2015-12-10,2019-12-09,FRENTE CIVICO POR SANTIAGO,http://www.hcdn.gob.ar/diputados/jherrera/,"","","",135
jhuss,Juan Manuel Huss,"Huss, Juan Manuel",Entre Rios,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jhuss/,"","","",135
jnunez,Jose Carlos Nuñez,"Nuñez, Jose Carlos",Santa Fe,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/jnunez/,"","","",135
jpatino,Jose Luis Patiño,"Patiño, Jose Luis",Ciudad De Buenos Aires,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/jpatino/,"","","",135
jpedrini,Juan Manuel Pedrini,"Pedrini, Juan Manuel",Chaco,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jpedrini/,"","","",135
jpereyra,Juan Manuel Pereyra,"Pereyra, Juan Manuel",Cordoba,2015-12-10,2019-12-09,CONCERTACION FORJA,http://www.hcdn.gob.ar/diputados/jpereyra/,"","","",135
jpretto,Pedro Javier Pretto,"Pretto, Pedro Javier",Cordoba,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/jpretto/,"","","",135
jraffo,Julio Raffo,"Raffo, Julio",Ciudad De Buenos Aires,2013-12-10,2017-12-09,DIALOGO Y TRABAJO,http://www.hcdn.gob.ar/diputados/jraffo/,"","","",135
jriccardo,Jose Luis Riccardo,"Riccardo, Jose Luis",San Luis,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/jriccardo/,"","","",135
jruiza,Jose Arnaldo Ruiz Aragon,"Ruiz Aragon, Jose Arnaldo",Corrientes,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jruiza/,"","","",135
jsolanas,Julio Rodolfo Solanas,"Solanas, Julio Rodolfo",Entre Rios,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jsolanas/,"","","",135
jtaboada,Jorge Taboada,"Taboada, Jorge",Chubut,2015-12-10,2019-12-09,CHUBUT SOMOS TODOS,http://www.hcdn.gob.ar/diputados/jtaboada/,"","","",135
jvgonzalez,Josefina Victoria Gonzalez,"Gonzalez, Josefina Victoria",Santa Fe,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/jvgonzalez/,"","","",135
jvillalonga,Juan Carlos Villalonga,"Villalonga, Juan Carlos",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/jvillalonga/,"","","",135
kbanfi,Karina Banfi,"Banfi, Karina",Buenos Aires,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/kbanfi/,"","","",135
kmolina,Karina Alejandra Molina,"Molina, Karina Alejandra",La Rioja,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/kmolina/,"","","",135
lbardeggia,Luis Maria Bardeggia,"Bardeggia, Luis Maria",Rio Negro,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lbardeggia/,"","","",135
lbasterra,Luis Eugenio Basterra,"Basterra, Luis Eugenio",Formosa,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lbasterra/,"","","",135
lborsani,Luis Gustavo Borsani,"Borsani, Luis Gustavo",Mendoza,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/lborsani/,"","","",135
lcigogna,Luis Francisco Jorge Cigogna,"Cigogna, Luis Francisco Jorge",Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/lcigogna/,"","","",135
ldeponti,Lucila Maria De Ponti,"De Ponti, Lucila Maria",Santa Fe,2015-12-10,2019-12-09,PERONISMO PARA LA VICTORIA,http://www.hcdn.gob.ar/diputados/ldeponti/,"","","",135
