id,position,label,description,start_date,end_date,replaced_by,replaces,term,constituency
Q713945,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7206019,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7245929,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7298965,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7326576,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7387540,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7445951,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7463219,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7463428,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7517250,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7521492,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7682028,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7682037,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7682122,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7682122,Q6597968,List of Speakers of the Parliament of Singapore,Wikimedia list article,"",,,,,
Q7700981,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7700989,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7807793,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7929569,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7937671,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q7937671,Q256213,Minister for Foreign Affairs,head of the Ministry of Foreign Affairs in Singapore,2015-10-01,,,K. Shanmugam,,
Q7979298,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8051105,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8052395,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8052396,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8052401,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8054968,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8059869,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q8064862,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q983752,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q983752,Q4294530,Ministry of Education,Singaporean ministry responsible for education,2003-08-01,2008-04-01,Ng Eng Hen,Teo Chee Hean,,
Q983752,Q6118636,Minister for Finance,cabinet member of the government of Singapore,2007-12-01,,,Lee Hsien Loong,,
Q983752,Q6865922,Minister for Manpower,"",2011-05-21,2012-07-31,Tan Chuan-Jin,Gan Kim Yong,,
