id,position,label,description,start_date,term,constituency,end_date,replaces,replaced_by,election,of,party
Q18764083,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-87 (Chiniot-II-cum-Jhang),,,,,,
Q18764085,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764085,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-75 (Faisalabad-I),,,,,,
Q18764104,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-4 (Peshawar-IV),2017-08-28,,,,,
Q18764106,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764106,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-175 (Rajanpur-II),,,,,,
Q18764107,Q20081441,member of the Senate of Pakistan,"",2018-03-12,,Punjab,,,,,,
Q18764107,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764107,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-172 (Dera Ghazi Khan-II),,,,,,
Q18764108,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764108,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-223 (Tando Allahyar-cum-Matiari),,,,,,
Q18764131,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764131,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-226 (Mirpur Khas-cum-Umerkot-I),,,,,,
Q18764133,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764133,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-31 (Shangla),,,,,,
Q18764134,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764134,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q18764135,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764135,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2016-04-07,14th National Assembly,NA-101 (Gujranwala-VII),,,,,,
Q18764138,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764138,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-09-23,14th National Assembly,NA-5 (Nowshera-I),,,,,,
Q18764139,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764139,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-233 (Dadu-II),,,,,,
Q18764141,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-240 Korangi-II,,,,,,
Q18764141,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-256 (Karachi-XVIII),,,,,,
Q18764142,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764142,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-241 (Karachi-III),,,,,,
Q18764145,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18764145,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seats for minorities,,,,,,
Q18815872,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815872,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-197 (Rahim Yar Khan-VI),,,,,,
Q18815874,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815874,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-196 (Rahim Yar Khan-V),,,,,,
Q18815877,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-178 RYK-IV,,,,,,
Q18815877,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-195 (Rahim Yar Khan-IV),,,,,,
Q18815883,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-176 RYK-II,,,,,,
Q18815883,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-193 (Rahim Yar Khan-II),,,,,,
Q18815885,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815885,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-192 (Rahim Yar Khan-I),,,,,,
Q18815895,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815895,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-190 (Bahawalnagar-III),,,,,,
Q18815897,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815897,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-188 (Bahawalnager-I),,,,,,
Q18815900,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-172 Bahawalpur-III,,,,,,
Q18815900,Q20760546,Member of the National Assembly of Pakistan,"",2018-08-13,Member of the 15th National Assembly of Pakistan,NA-187 (Bahawalpur-V),,Chaudhary Tariq Bashir Cheema,,,,
Q18815900,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-187 (Bahawalpur-V),2018-05-31,,,,,
Q18815902,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-171 Bahawalpur-II,,,,,,
Q18815902,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-186 (Bahawalpur-IV),,,,,,
Q18815903,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-173 Bahawalpur-IV,,,,,,
Q18815903,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-184 (Bahawalpur-II),,,,,,
Q18815906,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815906,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-183 (Bhawalpur-I),,,,,,
Q18815909,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815909,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-182 (Layyah-II),,,,,,
Q18815910,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815910,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-180 (Muzaffargarh-V),,,,,,
Q18815911,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-185 Muzaffargarh-V,,,,,,
Q18815911,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-179 (Muzaffargarh-IV),,,,,,
Q18815919,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815919,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-176 (Muzaffargarh-I),,,,,,
Q18815925,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-193 Rajanpur-I,,,,,,
Q18815925,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-174 (Rajanpur-I),,,,,,
Q18815931,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-190 DG Khan-II,,,,,,
Q18815931,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-171 (Dera Ghazi Khan-I),,,,,,
Q18815939,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815939,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-170 (Vehari-IV),,,,,,
Q18815943,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815943,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-169 (Vehari-III),,,,,,
Q18815946,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-163 Vehari-II,,,,,,
Q18815946,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-168 (Vehari-II),,,,,,
Q18815954,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815954,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-166 (Pakpattan-III),,,,,,
Q18815957,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815957,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-165 (Pakpattan-II),,,,,,
Q18815958,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815958,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-164 (Pakpattan-I),,,,,,
Q18815960,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815960,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-163 (Sahiwal-IV),,,,,,
Q18815967,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-147 Sahiwal-I,,,,,,
Q18815967,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-160 (Sahiwal-I),,,,,,
Q18815970,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-151 Khanewal-II,,,,,,
Q18815970,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-157 (Khanewal-II),,,,,,
Q18815973,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815973,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-156 (Khanewal-I),,,,,,
Q18815977,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815977,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-154 (Lodhran-I),2015,,,,,
Q18815989,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815989,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-152 (Multan-V),,,,,,
Q18815993,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-155 Multan-II,,,,,,
Q18815993,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2014-10-27,14th National Assembly,NA-149 (Multan-II),,,,,,
Q18815995,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18815995,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-148 (Multan-I),,,,,,
Q18815998,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-144 Okara-IV,,,,,,
Q18815998,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-147,,,,,,
Q18816001,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-143 Okara-III,,,,,,
Q18816001,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-146 (Okara-IV),,,,,,
Q18816003,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816003,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-144,2015,,,,,
Q18816008,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816008,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-142,,,,,,
Q18816010,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-139 Kasur-III,,,,,,
Q18816010,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-141,,,,,,
Q18816012,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-138 Kasur-II,,,,,,
Q18816012,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-140 (Kasur-III),,,,,,
Q18816016,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816016,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-138 (Kasur-I-cum-Lahore),,,,,,
Q18816023,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816023,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-134,,,,,,
Q18816025,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816025,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,Constituency NA-133,,,,,,
Q18816028,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816028,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-131 (Sheikhupura-I),,,,,,
Q18816029,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816029,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-130 (Lahore-XIII),,,,,,
Q18816030,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816030,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-09-16,14th National Assembly,NA-129 (Lahore-XII),,,,,,
Q18816077,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816077,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-124 (Lahore-VII),,,,,,
Q18816078,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816078,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-123 (Lahore-VI),,,,,,
Q18816079,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816079,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-121 (Lahore-IV),,,,,,
Q18816081,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816081,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-118 (Lahore-I),,,,,,
Q18816084,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816084,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-115 (Narowal-I),,,,,,
Q18816085,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816085,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-113 (Sialkot-IV),,,,,,
Q18816086,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816086,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-112 (Sialkot-III),,,,,,
Q18816088,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816088,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-104 (Gujrat-I),,,,,,
Q18816090,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816090,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-99 (Gujranwala-V),,,,,,
Q18816091,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816091,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-98 (Gujranwala-IV),,,,,,
Q18816098,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-112 Toba Tek Singh-II,,,,,,
Q18816098,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-93 (Toba Tek Singh-II),,,,,,
Q18816099,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816099,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-91 (Jhang-III),,,,,,
Q18816099,Q55808168,Member of the Provincial Assembly of the Punjab,"Member of Provincial Assembly of the Punjab, Pakistan",2002,,,2013,,,,,
Q18816102,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816102,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-90 (Jhang-II),,,,,,
Q18816103,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816103,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-89 (Jhang-I),,,,,,
Q18816105,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816105,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-83 (Faisalabad-IX),,,,,,
Q18816107,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816107,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-82 (Faisalabad-VIII),,,,,,
Q18816108,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816108,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-81 (Faisalabad-VII),,,,,,
Q18816111,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816111,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-80 (Faisalabad-VI),,,,,,
Q18816116,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816116,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-78 (Faisalabad-IV),,,,,,
Q18816117,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816117,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-77 (Faisalabad-III),,,,,,
Q18816119,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816119,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-76 (Faisalabad-II),,,,,,
Q18816122,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816122,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-74 (Bhakkar-II),,,,,,
Q18816127,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816127,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-71 (Mianwali-I),,,,,,
Q18816129,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816129,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-70 (Khushab-II),,,,,,
Q18816130,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816130,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2014-01-27,14th National Assembly,NA-69 (Khushab-I),,,,,,
Q18816132,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816132,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-68 (Sargodha-V),,,,,,
Q18816133,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-65 (Sargodha-II),,,,,,
Q18816136,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816136,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-63 (Jhelum-II),2016-05-24,,,"Pakistani general election, 2013",,
Q18816137,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816137,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-61 (Chakwal-II),,,,,,
Q18816138,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-59 (Attock-III),,,,,,
Q18816140,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816140,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-58 (Attock-II),,,,,,
Q18816141,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816141,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-54 (Rawalpindi-V),,,,,,
Q18816145,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816145,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-49 (Islamabad-II),,,,,,
Q18816146,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816146,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-47 (Frontier Regions),,,,,,
Q18816148,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816148,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-44 (Bajaur Agency),,,,,,
Q18816149,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816149,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-42 (South Waziristan Agency),,,,,,
Q18816150,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-12,14th National Assembly,NA-46 (Khyber Agency),,,,,,
Q18816154,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816154,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-40 (North Waziristan Agency),,,,,,
Q18816156,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-37 (Kurram Agency),,,,,,
Q18816163,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816163,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-34 (Lower Dir),,,,,,
Q18816166,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-33 (Upper Dir-cum-Lower Dir),,,,,,
Q18816168,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-3 Swat-II,,,,,,
Q18816168,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-30 (Swat-II),,,,,,
Q18816169,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-28 (Buner),,,,,,
Q18816174,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816174,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-23 (Kohistan),,,,,,
Q18816176,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816176,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-22 (Battagram),,,,,,
Q18816178,Q20760546,Member of the National Assembly of Pakistan,"",2013-06-01,,,,,,,,
Q18816178,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-21 (Mansehra-cum-Tor Ghar),,,,,,
Q18816184,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816184,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-17 (Abbottabad-I),,,,,,
Q18816185,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-33 Hangu,,,,,,
Q18816185,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-16 (Hangu),,,,,,
Q18816187,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816187,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-15 (Karak),,,,,,
Q18816189,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816189,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-12 (Swabi-I),,,,,,
Q18816191,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816191,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-11 (Mardan-III),,,,,,
Q18816193,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q18816193,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-7 (Charsadda-I),,,,,,
