name,party_id,wikiname,term,party,end_date,start_date
Jens Peter Vernersen,S,Jens Peter Vernersen,2007,Socialdemokraterne,,
Eyvind Vesselbo,V,Eyvind Vesselbo,2007,Venstre,,
Margrethe Vestager,R,Margrethe Vestager,2007,Det Radikale Venstre,,
Jens Vibjerg,V,Jens Vibjerg,2007,Venstre,,
Morten Østergaard,R,Morten Østergaard,2007,Det Radikale Venstre,,
Frank Aaen,EL,Frank Aaen,2007,Enhedslisten,,
Malou Aamund,V,Malou Aamund,2007,Venstre,2008-02-05,
Thomas Adelskov,S,Thomas Adelskov,2005,Socialdemokraterne,,
Simon Emil Ammitzbøll,RV,Simon Emil Ammitzbøll,2005,Det Radikale Venstre,,
Hans Andersen,V,Hans Andersen (politiker),2005,Venstre,,
Jytte Andersen,S,Jytte Andersen,2005,Socialdemokraterne,,
Kim Andersen,V,Kim Andersen (politiker),2005,Venstre,,
Poul Andersen,S,Poul Andersen (politiker),2005,Socialdemokraterne,,
Charlotte Antonsen,V,Charlotte Antonsen,2005,Venstre,,
Christine Antorini,S,Christine Antorini,2005,Socialdemokraterne,,
Hüseyin Arac,S,Hüseyin Arac,2005,Socialdemokraterne,,
Jørgen Arbo-Bæhr,EL,Jørgen Arbo-Bæhr,2005,Enhedslisten,,
Elisabeth Arnold,RV,Elisabeth Arnold,2005,Det Radikale Venstre,,
Svend Auken,S,Svend Auken,2005,Socialdemokraterne,,
Pernille Vigsø Bagge,SF,Pernille Vigsø Bagge,2005,Socialistisk Folkeparti,,
Line Barfod,EL,Line Barfod,2005,Enhedslisten,,
Lars Barfoed,KF,Lars Barfoed,2005,Det Konservative Folkeparti,,
Gitte Lillelund Bech,V,Gitte Lillelund Bech,2005,Venstre,,
Tom Behnke,KF,Tom Behnke,2005,Det Konservative Folkeparti,,
Bendt Bendtsen,KF,Bendt Bendtsen,2005,Det Konservative Folkeparti,,
René Skau Björnsson,S,René Skau Björnsson,2005,Socialdemokraterne,,
Erling Bonnesen,V,Erling Bonnesen,2005,Venstre,,
Sandy Brinck,S,Sandy Brinck,2005,Socialdemokraterne,,
Colette L. Brix,DF,Colette L. Brix,2005,Dansk Folkeparti,,
Kirsten Brosbøl,S,Kirsten Brosbøl,2005,Socialdemokraterne,,
Lotte Bundsgaard,S,Lotte Bundsgaard,2005,Socialdemokraterne,,
Morten Bødskov,S,Morten Bødskov,2005,Socialdemokraterne,,
Bent Bøgsted,DF,Bent Bøgsted,2005,Dansk Folkeparti,,
Carina Christensen,KF,Carina Christensen,2005,Det Konservative Folkeparti,,
Peter Christensen,V,Peter Christensen (politiker),2005,Venstre,,
Poul Erik Christensen,RV,Poul Erik Christensen,2005,Det Radikale Venstre,,
Troels Christensen,V,Troels Christensen,2005,Venstre,,
Anne Mette Winther Christiansen,V,Anne Mette Winther Christiansen,2005,Venstre,,
Kim Christiansen,DF,Kim Christiansen (politiker),2005,Dansk Folkeparti,,
Pia Christmas-Møller,KF,Pia Christmas-Møller,2005,Det Konservative Folkeparti,,
Walter Christophersen,DF,Walter Christophersen,2005,Dansk Folkeparti,,
Per Clausen,EL,Per Clausen,2005,Enhedslisten,,
Bente Dahl,RV,Bente Dahl,2005,Det Radikale Venstre,,
Kristian Thulesen Dahl,DF,Kristian Thulesen Dahl,2005,Dansk Folkeparti,,
Mikkel Dencker,DF,Mikkel Dencker,2005,Dansk Folkeparti,,
Jørn Dohrmann,DF,Jørn Dohrmann,2005,Dansk Folkeparti,,
Lone Dybkjær,RV,Lone Dybkjær,2005,Det Radikale Venstre,,
Charlotte Dyremose,KF,Charlotte Dyremose,2005,Det Konservative Folkeparti,,
Inge-Lene Ebdrup,V,Inge-Lene Ebdrup,2005,Venstre,,
Joan Erlandsen,V,Joan Erlandsen,2005,Venstre,,
Lene Espersen,KF,Lene Espersen,2005,Det Konservative Folkeparti,,
Søren Espersen,DF,Søren Espersen,2005,Dansk Folkeparti,,
Mia Falkenberg,DF,Mia Falkenberg,2005,Dansk Folkeparti,,
Charlotte Fischer,RV,Charlotte Fischer,2005,Det Radikale Venstre,,
Claus Hjort Frederiksen,V,Claus Hjort Frederiksen,2005,Venstre,,
Mette Frederiksen,S,Mette Frederiksen,2005,Socialdemokraterne,,
Louise Frevert,DF,Louise Frevert,2005,Dansk Folkeparti,,
Steen Gade,SF,Steen Gade,2005,Socialistisk Folkeparti,,
Søren Gade,V,Søren Gade,2005,Venstre,,
Elisabeth Geday,RV,Elisabeth Geday,2005,Det Radikale Venstre,,
Pia Gjellerup,S,Pia Gjellerup,2005,Socialdemokraterne,2007-02-20,
Mette Gjerskov,S,Mette Gjerskov,2005,Socialdemokraterne,,
Ole Glahn,RV,,2005,Det Radikale Venstre,,
Carsten Hansen,S,Carsten Hansen,2005,Socialdemokraterne,,
Christian H. Hansen,DF,Christian H. Hansen,2005,Dansk Folkeparti,,
Eva Kjer Hansen,V,Eva Kjer Hansen,2005,Venstre,,
Flemming Hansen,KF,Flemming Hansen,2005,Det Konservative Folkeparti,,
Lene Hansen,S,Lene Hansen,2005,Socialdemokraterne,,
Pernille Blach Hansen,S,Pernille Blach Hansen,2005,Socialdemokraterne,2007-03-01,
Torben Hansen,S,Torben Hansen (folketingsmedlem),2005,Socialdemokraterne,,
Poul Henrik Hedeboe,SF,Poul Henrik Hedeboe,2005,Socialistisk Folkeparti,,
Connie Hedegaard,KF,Connie Hedegaard,2005,Det Konservative Folkeparti,,
Martin Henriksen,DF,Martin Henriksen,2005,Dansk Folkeparti,,
Magnus Heunicke,S,Magnus Heunicke,2005,Socialdemokraterne,,
Britta Schall Holberg,V,Britta Schall Holberg,2005,Venstre,,
Anne Grete Holmsgaard,SF,Anne Grete Holmsgaard,2005,Socialistisk Folkeparti,,
Morten Homann,SF,Morten Homann,2005,Socialistisk Folkeparti,,
Birthe Rønn Hornbech,V,Birthe Rønn Hornbech,2005,Venstre,,
Svend Erik Hovmand,V,Svend Erik Hovmand,2005,Venstre,,
Høgni Hoydal,TF,Høgni Hoydal,2005,Tjóðveldi,,
Rikke Hvilshøj,V,Rikke Hvilshøj,2005,Venstre,,
Karen Hækkerup,S,Karen Hækkerup,2005,Socialdemokraterne,,
Klaus Hækkerup,S,Klaus Hækkerup,2005,Socialdemokraterne,,
Bertel Haarder,V,Bertel Haarder,2005,Venstre,,
Marianne Jelved,RV,Marianne Jelved,2005,Det Radikale Venstre,,
Frank Jensen,S,Frank Jensen,2005,Socialdemokraterne,,
Jacob Jensen,V,Jacob Jensen (født 1973),2005,Venstre,,
Kristian Jensen,V,Kristian Jensen,2005,Venstre,,
Lene Jensen,S,Lene Jensen,2005,Socialdemokraterne,2006-09-30,
Michael Aastrup Jensen,V,Michael Aastrup Jensen,2005,Venstre,,
Mogens Jensen,S,Mogens Jensen,2005,Socialdemokraterne,,
Lars-Emil Johansen,SIU,Lars-Emil Johansen,2005,Siumut,,
Birgitte Josefsen,V,Birgitte Josefsen,2005,Venstre,,
Per Ørum Jørgensen,KF,Per Ørum Jørgensen,2005,Det Konservative Folkeparti,,
Anfinn Kallsberg,FF,Anfinn Kallsberg,2005,Fólkaflokkurin,,
Naser Khader,RV,Naser Khader,2005,Det Radikale Venstre,,
Jens Kirk,V,Jens Kirk,2005,Venstre,,
Kurt Kirkegaard,V,Kurt Kirkegaard,2005,Venstre,,
Henriette Kjær,KF,Henriette Kjær,2005,Det Konservative Folkeparti,,
Pia Kjærsgaard,DF,Pia Kjærsgaard,2005,Dansk Folkeparti,,
Kuupik Kleist,IA,Kuupik Kleist,2005,Inuit Ataqatigiit,,
Karen J. Klint,S,Karen J. Klint,2005,Socialdemokraterne,,
Anita Knakkergaard,DF,Anita Knakkergaard,2005,Dansk Folkeparti,,
Jeppe Kofod,S,Jeppe Kofod,2005,Socialdemokraterne,,
Søren Krarup,DF,Søren Krarup,2005,Dansk Folkeparti,,
Pia Kristensen,DF,Pia Kristensen,2005,Dansk Folkeparti,,
Per Kaalund,S,Per Kaalund,2005,Socialdemokraterne,,
Jesper Langballe,DF,Jesper Langballe,2005,Dansk Folkeparti,,
Flemming Damgaard Larsen,V,Flemming Damgaard Larsen,2005,Venstre,,
Henrik Sass Larsen,S,Henrik Sass Larsen,2005,Socialdemokraterne,,
Pia Larsen,V,Pia Larsen,2005,Venstre,,
Bjarne Laustsen,S,Bjarne Laustsen,2005,Socialdemokraterne,,
Martin Lidegaard,RV,Martin Lidegaard,2005,Det Radikale Venstre,,
Lars Lilleholt,V,Lars Lilleholt,2005,Venstre,,
Kristian Pihl Lorentzen,V,Kristian Pihl Lorentzen,2005,Venstre,,
Jens Chr. Lund,S,Jens Chr. Lund,2005,Socialdemokraterne,,
Rune Lund,EL,Rune Lund,2005,Enhedslisten,,
Mogens Lykketoft,S,Mogens Lykketoft,2005,Socialdemokraterne,,
Jens Hald Madsen,V,Jens Hald Madsen,2005,Venstre,,
Lissa Mathiasen,S,Lissa Mathiasen,2005,Socialdemokraterne,,
Christian Mejdahl,V,Christian Mejdahl,2005,Venstre,,
Anne-Marie Meldgaard,S,Anne-Marie Meldgaard,2005,Socialdemokraterne,,
Morten Messerschmidt,DF,Morten Messerschmidt,2005,Dansk Folkeparti,,
Brian Mikkelsen,KF,Brian Mikkelsen,2005,Det Konservative Folkeparti,,
Leif Mikkelsen,V,Leif Mikkelsen (politiker),2005,Venstre,,
Kim Mortensen,S,Kim Mortensen,2005,Socialdemokraterne,,
Helge Adam Møller,KF,Helge Adam Møller,2005,Det Konservative Folkeparti,,
Lone Møller,S,Lone Møller,2005,Socialdemokraterne,,
Per Stig Møller,KF,Per Stig Møller,2005,Det Konservative Folkeparti,,
Tina Nedergaard,V,Tina Nedergaard,2005,Venstre,,
Allan Niebuhr,KF,Allan Niebuhr,2005,Det Konservative Folkeparti,,
Elsebeth Gerner Nielsen,RV,Elsebeth Gerner Nielsen,2005,Det Radikale Venstre,,
Holger K. Nielsen,SF,Holger K. Nielsen,2005,Socialistisk Folkeparti,,
Jakob Axel Nielsen,KF,Jakob Axel Nielsen,2005,Det Konservative Folkeparti,,
Karsten Nonbo,V,Karsten Nonbo,2005,Venstre,,
Karin Nødgaard,DF,Karin Nødgaard,2005,Dansk Folkeparti,,
Poul Nødgaard,DF,Poul Nødgaard,2005,Dansk Folkeparti,,
Ellen Trane Nørby,V,Ellen Trane Nørby,2005,Venstre,,
Marion Pedersen,V,Marion Pedersen,2005,Venstre,,
Thor Pedersen,V,Thor Pedersen,2005,Venstre,,
Torsten Schack Pedersen,V,Torsten Schack Pedersen,2005,Venstre,,
Jan Petersen,S,Jan Petersen,2005,Socialdemokraterne,,
Morten Helveg Petersen,RV,Morten Helveg Petersen,2005,Det Radikale Venstre,,
Niels Helveg Petersen,RV,Niels Helveg Petersen,2005,Det Radikale Venstre,,
Tina Petersen,DF,Tina Petersen,2005,Dansk Folkeparti,,
Søren Pind,V,Søren Pind,2005,Venstre,,
Johannes Poulsen,RV,Johannes Poulsen (politiker),2005,Det Radikale Venstre,,
Troels Lund Poulsen,V,Troels Lund Poulsen,2005,Venstre,,
Rasmus Prehn,S,Rasmus Prehn,2005,Socialdemokraterne,,
Kamal Qureshi,SF,Kamal Qureshi,2005,Socialistisk Folkeparti,,
Anders Fogh Rasmussen,V,Anders Fogh Rasmussen,2005,Venstre,,
Lars Løkke Rasmussen,V,Lars Løkke Rasmussen,2005,Venstre,,
Troels Ravn,S,Troels Ravn,2005,Socialdemokraterne,,
Jens Rohde,V,Jens Rohde,2005,Venstre,2007-01-09,
Pernille Rosenkrantz-Theil,EL,Pernille Rosenkrantz-Theil,2005,Enhedslisten,,
Preben Rudiengaard,V,Preben Rudiengaard,2005,Venstre,,
Helge Sander,V,Helge Sander,2005,Venstre,,
Hans Christian Schmidt,V,Hans Christian Schmidt,2005,Venstre,,
Lise von Seelen,S,Lise von Seelen,2005,Socialdemokraterne,,
Hanne Severinsen,V,Hanne Severinsen,2005,Venstre,,
Irene Simonsen,V,Irene Simonsen,2005,Venstre,,
Niels Sindal,S,Niels Sindal,2005,Socialdemokraterne,,
Helle Sjelle,KF,Helle Sjelle,2005,Det Konservative Folkeparti,,
Hans Kristian Skibby,DF,Hans Kristian Skibby,2005,Dansk Folkeparti,,
Birthe Skaarup,DF,Birthe Skaarup,2005,Dansk Folkeparti,,
Peter Skaarup,DF,Peter Skaarup,2005,Dansk Folkeparti,,
Ole Sohn,SF,Ole Sohn,2005,Socialistisk Folkeparti,,
Ole Stavad,S,Ole Stavad,2005,Socialdemokraterne,,
Inger Støjberg,V,Inger Støjberg,2005,Venstre,,
Frode Sørensen,S,Frode Sørensen,2005,Socialdemokraterne,,
Villy Søvndal,SF,Villy Søvndal,2005,Socialistisk Folkeparti,,
Helle Thorning-Schmidt,S,Helle Thorning-Schmidt,2005,Socialdemokraterne,,
Arne Toft,S,Arne Toft,2005,Socialdemokraterne,,
Kristen Touborg,SF,Kristen Touborg,2005,Socialistisk Folkeparti,,
Jan Trøjborg,S,Jan Trøjborg,2005,Socialdemokraterne,,
Ulla Tørnæs,V,Ulla Tørnæs,2005,Venstre,,
Jens Peter Vernersen,S,Jens Peter Vernersen,2005,Socialdemokraterne,,
Eyvind Vesselbo,V,Eyvind Vesselbo,2005,Venstre,,
Margrethe Vestager,RV,Margrethe Vestager,2005,Det Radikale Venstre,,
Jens Vibjerg,V,Jens Vibjerg,2005,Venstre,,
Christian Wedell-Neergaard,KF,Christian Wedell-Neergaard,2005,Det Konservative Folkeparti,,
Jørgen Winther,V,Jørgen Winther,2005,Venstre,,
Jytte Wittrock,S,Jytte Wittrock,2005,Socialdemokraterne,,
Morten Østergaard,RV,Morten Østergaard,2005,Det Radikale Venstre,,
Frank Aaen,EL,Frank Aaen,2005,Enhedslisten,,
