id,name,sortname,image,party,birth_date,constituency,term,start_date,source
6524,DAMIR TOMIĆ,"Tomić, Damir",http://www.sabor.hr/lgs.axd?t=16&id=44496,SDP,1970-03-22,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6524
6687,MIRO TOTGERGELI,"Totgergeli, Miro",http://www.sabor.hr/lgs.axd?t=16&id=44654,HDZ,1971-11-20,2nd,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6687
6526,MIROSLAV TUĐMAN,"Tuđman, Miroslav",http://www.sabor.hr/lgs.axd?t=16&id=44655,HDZ,1946-05-25,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6526
6528,NADA TURINA-ĐURIĆ,"Turina-Đurić, Nada",http://www.sabor.hr/lgs.axd?t=16&id=44497,HNS,1964-07-11,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6528
6530,ŽARKO TUŠEK,"Tušek, Žarko",http://www.sabor.hr/lgs.axd?t=16&id=44498,HDZ,1981-09-10,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6530
6532,SINIŠA VARGA,"Varga, Siniša",http://www.sabor.hr/lgs.axd?t=16&id=44656,SDP,1965-08-24,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6532
6534,ZORAN VASIĆ,"Vasić, Zoran",http://www.sabor.hr/lgs.axd?t=16&id=44499,SDP,1976-04-09,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6534
6536,ANTUN VIDAKOVIĆ,"Vidaković, Antun",http://www.sabor.hr/lgs.axd?t=16&id=44574,HDZ,1954-05-09,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6536
6737,DAVOR VLAOVIĆ,"Vlaović, Davor",http://www.sabor.hr/lgs.axd?t=16&id=44771,HSS,1963-07-31,5th,8,2016-02-05,http://www.sabor.hr/lgs.axd?t=24&id=6737
6540,TANJA VRBAT GRGIĆ,"Vrbat Grgić, Tanja",http://www.sabor.hr/lgs.axd?t=16&id=44575,SDP,1979-06-18,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6540
6542,IVAN VRDOLJAK,"Vrdoljak, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44657,HNS,1972-06-22,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6542
6675,LUCIAN VUKELIĆ,"Vukelić, Lucian",http://www.sabor.hr/lgs.axd?t=16&id=44500,HDZ,1963-01-26,8th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6675
6685,RUŽICA VUKOVAC,"Vukovac, Ružica",http://www.sabor.hr/lgs.axd?t=16&id=44501,MOST,1975-06-16,5th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6685
6544,DRAGICA ZGREBEC,"Zgrebec, Dragica",http://www.sabor.hr/lgs.axd?t=16&id=44502,SDP,1950-06-24,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6544
6546,MIHAEL ZMAJLOVIĆ,"Zmajlović, Mihael",http://www.sabor.hr/lgs.axd?t=16&id=44659,SDP,1978-01-19,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6546
6548,TOMISLAV ŽAGAR,"Žagar, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=44658,SDP,1969-12-10,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6548
6754,LEON ŽULJ,"Žulj, Leon",http://www.sabor.hr/lgs.axd?t=16&id=44772,HDZ,1978-11-25,4th,8,2016-02-05,http://www.sabor.hr/lgs.axd?t=24&id=6754
6677,ANTE ŽUPAN,"Župan, Ante",http://www.sabor.hr/lgs.axd?t=16&id=44503,HDZ,1948-05-26,9th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6677
