name,gender,occupation,party,image,area,area_id,term,source
Mr. TIEHA KOUASSI VENANCE,male,INGENIEUR DES EAUX ET FORETS,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/tieha_kouassi_venance.tiff,BOCANDA,26-73,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OZOUKOU ZEGA FREDERIC,male,PHARMACIEN BIOLOGISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ozoukou_zega.tiff,LAKOTA,22-62,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LOGBO ANDRE,male,ADMINISTRATEUR DES POSTES,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/LOGBO_ANDRE.jpg,GAGNOA,13-32,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. N`GOUAN JEREMIE ALFRED,male,DIRECTEUR DE SOCIETE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ngoran_jeremie.tiff,ABOISSO,29-82,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAO KOUAKOU,male,CADRE DES TELECOMMUNICATIONS,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/YAO_KOUAKOU2.jpg,BOUAKE,11-28,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GBOCHO CHONOU EMMANUEL,male,ADMINISTRATEUR DES SCE FIN (RETRAITE),PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gbogbo_chounou.tiff,ADZOPE,24-66,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAKOU KOUASSI JEAN-MARIE,male,MEDECIN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUAKOU_KOUASSI7.jpg,KOUN-FAO,14-35,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SARAKA KONAN ADOLPHE,male,PHARMACIEN,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SARAKA_KONAN .jpg,BEOUMI,11-26,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONAN KOUASSI,male,CADRE D`ASSURANCES,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KONAN_KOUASSI.jpg,BEOUMI,11-26,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ZAN-BI GOI FERDINAND,male,INGENIEUR AGRONOME,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/zan_bi_goi.tiff,ZUENOULA,23-65,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONAN YOBOUE,male,MEDECIN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KONAN_YOBOUE.jpg,SAKASSOU,11-29,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LASSINA KONE,male,SANS PROFESSION,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/lassina_kone.tiff,DIVO,22-60,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAKAYOKO ZOUMANA,male,DIRECTEUR DE SOCIETE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/zoumana.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme BROU AMENAN FLORANCE,female,INSPECTEUR EN CHEF DE L`ENSEIGNEMENT TECH,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/brou_amenan.tiff,DAOUKRO,19-52,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. WOUADJA ESSAY,male,ECONOMISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/wouadja_essay.tiff,BETTIE,20-57,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUASSENAN KONE GASTON,male,GENERAL RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OUASSENAN_KONE.jpg,KATIOLA,17-46,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BONI JOSEPH HENRI BERNADIN,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BONI_JOSEPH.jpg,TIASSALE,1-3,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme KAYO SLAHA CLARISSE,female,CADRE DE SECURITE SOCIALE,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kayo_slaha_clarisse.tiff,ZOUAN-HOUNIEN,31-91,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. YAPO AMAN PIERRE,male,RETRAITE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/yapo_aman_pierre.tiff,YAKASSE-ATTOBROU,24-69,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE SOULEYMANE,male,INGENIEUR TRAVAUX PUBLICS,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kone_souleymane.tiff,MADINANI,21-58,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ISSIAKA SOUMAHORO,male,INFORMATICIEN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/issiaka_soumahoro.tiff,SEGUELA,32-93,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OULLA GUELADET EPHREM PRIVAT,male,INGENIEUR EN COMMUNICATION,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OULLA_GUELADET.jpg,DUEKOUE,16-43,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOFFI N`GUESSAN JUSTIN,male,MEDECIN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/koffi_nguessan.tiff,DIVO,22-60,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DOSSO LANCINA,male,AMBASSADEUR A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dosso_lancina.tiff,LAKOTA,22-62,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme OULOTO ANNE DESIREE,female,ENSEIGNANTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/anne.jpg,TOULEPLEU,7-21,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SOUMAHORO AMADOU,male,ADMINISTRATEUR DES SERVICES FINANCIERS,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soumahoro_amadou.tiff,SEGUELA,32-93,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BARADJI ABDOUL KADER,male,PLANTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/baradji_abdoul_kader.tiff,SINFRA,23-64,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO SOUAGNON JEAN PAUL,male,AGENT COMMERCIAL,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_souagnon.tiff,SAN PEDRO,28-80,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AKA HERVE,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/aka_herve.tiff,SAN PEDRO,28-80,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OURA BROU,male,INGENIEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OURA_BROU.jpg,TIEBISSOU,4-11,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ASSA OUFFOUE,male,INGENIEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ASSA_OUFFOUE.jpg,TIEBISSOU,4-11,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONATE SIDIKI,male,MINISTRE (ENSEIGNANT),RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/konate.jpg,MAN,31-90,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BAKAYOKO MOUSSA,male,FONDATEUR D`ETS SCOLAIRE (RETRAITE),RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/bakayoko_moussa.tiff,MAN,31-90,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAKOU N`DRI JULES,male,CADRE COMMERCIAL,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUAKOU_NDRI .jpg,BEOUMI,11-26,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AGBRE TOUNI JEAN ALBERT,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/AGBRE_TOUNI.jpg,DABOU,15-39,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SESS SOUKOU MOHAMED,male,CONSEILLER SPECIAL DU PREMIER MINISTRE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SESS_SOUKOU.jpg,DABOU,15-39,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ALLAH KOUADIO REMIS,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/allah.jpg,TOUMODI,4-12,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA NAGNIN,male,PROFESSEUR A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ouatara_magnin.tiff,OUANGOLODOUGOU,30-87,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY YAYA,male,PLANTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/COULIBALY_YAYA.jpg,TABOU,28-81,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ASSI AKA EDMOND,male,MANUTENTIONNAIRE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/assi_aka_edmond.tiff,ADZOPE,24-66,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOURE SOULEYMANE,male,MEDECIN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TOURE_SOULEYMANE.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DA DESIRE HONORE,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DA_DESIRE.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme VEDEA BLIKAN ELISABETH,female,COMERCANTE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/vedea_blikan.tiff,VAVOUA,18-50,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAME KONAN EDOUARD,male,INGENIEUR AGRONOME,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/konan.jpg,YAMOUSSOUKRO,9-24,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SIKI BLON BLAISE,male,CHEF D`ENTREPRISE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/siki_blonblaise.tiff,MAN,31-90,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GOZE SEPLE BERNARD,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/goze_seple.tiff,ZOUKOUGBEU,18-51,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MAMADOU CISSE,male,FONCTIONNAIRE RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/mamadou_cisse.tiff,VAVOUA,18-50,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOALO BI DOULO,male,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/toalo_bi_doulo.tiff,VAVOUA,18-50,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DEBY YAO BENJAMIN,male,COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/deby_yao.tiff,PRIKRO,19-54,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme ASSA AHOU EMILIENNE,female,ASSISTANTE DE DIRECTION,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/assa_ahou.tiff,DIMBOKRO,26-75,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KRAMO KOUASSI,male,MILITAIRE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kramo_kouassi.tiff,BOCANDA,26-73,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAME KOUAKOU GEORGES,male,INGENIEUR COMMERCIAL,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kouame_kouakou_georges.tiff,BOCANDA,26-73,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DOUGROU SAWOURE AUGUSTIN,male,MEDECIN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DOUGROU_SAWOURE.jpg,GAGNOA,13-32,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIBAHI DODO AMEDEE,male,INGENIEUR COMMERCIAL,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dibahi_dodo_amede.tiff,ISSIA,18-49,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GNANGBO KACOU,male,FISCALISTE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gnangbo_kacou.tiff,ADIAKE,29-83,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. FRANCIS DESCLERCS,male,EXPERT COMPTABLE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/francis_desclercs.tiff,GUITRY,22-61,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY SERIBA,male,PROFESSEUR À LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/coulibaly_seriba.tiff,GRAND-BASSAM,29-84,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BOHUE YAO MARTIN,male,ENSEIGNANT,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BOHUE_YAO.jpg,OUME,13-33,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DAN JULES DEMONSTHENE,male,JURISTE,UDPCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dan_jules.tiff,DANANE,31-89,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BENIE BROU DAKOI,male,INGENIEUR QUALITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/benie_brou_dakoi.tiff,ABENGOUROU,20-55,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. EHOUMAN BOKO HUBERT,male,ADMINISTRATEUR DES SCES FIN.,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ehouman_boko.tiff,ABENGOUROU,20-55,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TRA BI IRIE JONAS,male,OPERATEUR ECONOMIQUE,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/tra_bi_jonas.tiff,ZUENOULA,23-65,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KAMBIRE TOH,male,AGENT MAIRIE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kambire_toh.jpg,TEHINI,6-18,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme OUEGNIN YASMINA FREDERIQUE LUCIENNE,female,ASSUREUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/yasmina_ouegnin.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOURE ABDOULAYE,male,INGENIEUR AGRONOME A LA RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/toure_abdoulaye_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ZAKPA OPRI,male,ENSEIGNANT,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/zakpa_opri.tiff,DIVO,22-60,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. N`GUESSAN KOUASSI DENIS,male,ENSEIGNANT,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/nguessan_kouassi_denis.tiff,DIVO,22-60,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MANOU BI KOUELI,male,LOGISTICIEN A LA RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/manou_bi.tiff,VAVOUA,18-50,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO FOBEH,male,INGENIEUR DES TRANSPORTS,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_fobeh.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GNAPI GIL,male,AGENT COMMERCIALES CI TELECOM,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gnapi_gil_titu.jpg,SASSANDRA,12-30,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA GUIBESSONGUI ISSA,male,INGENIEUR INFORMATICIEN,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/OUATTARA_GUIBESSONGUI.jpg,BOUNDIALI,3-7,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. N GUETTA KAMANAN,male,INGENIEUR AGRONOME - PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/nguetta_kamanan.tiff,M`BATTO,26-76,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. FREGBO GUETE BASILE MESMIN,male,PROFESSEUR,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/FREGBO_GUETE.jpg,SASSANDRA,12-30,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme COURA BAKAYOKO,female,EDUCATRICE RETRAITEE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/coura_bakayoko.tiff,BOUAFLE,23-63,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SANLE JEAN-CRESORT,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sanle_jean_cresort.tiff,AKOUPE,24-67,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA ALLY,male,COMPTABLE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ouatara_ally.tiff,AGNIBILEKROU,20-56,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SIE BI VANIE JIMMY,male,ENSEIGNANT A LA RETRAITE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SIE_BI.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AZOUMANA DIARRASSOUBA,male,PLANTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/AZOUMANA_DIARRASSOUBA.jpg,DALOA,18-48,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. LANCINE CISSE,male,TRANSPORTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/lancine_cisse.tiff,ODIENNE - SAMATIGUILA,21-59,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DJOHORE GBAKAYORO ABEL,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DJOHORE_GBAKAYORO.jpg,GAGNOA,13-32,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DEHE PAUL,male,INGENIEUR DES TECHNIQUES DE SANTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dehe_paul.jpg,GUIGLO,7-20,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GNEZERE IGNACE,male,PLANTEUR,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gnezere_ignace.tiff,GUEYO,25-70,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MOUTAYE AZOUMANA,male,INGENIEUR DES TP,MFA,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/MOUTAYE_AZOUMANA.jpg,KOUN-FAO,14-35,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. GAULLY SAHOUA ANTOINE SYLVAIN PEPIN,male,PROFESSEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/gaully_sahoua_antoine.tiff,SINFRA,23-64,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SILUE KAGNON AUGUSTIN,male,ENSEIGNANT DIRECTEUR -FONDATEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/SILUE_KAGNON.jpg,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ABDOULAYE TRAORE,male,TELECOMMUNICANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ABDOULAYE_TRAORE.jpg,YAMOUSSOUKRO,9-24,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. THIAM AUGUSTIN HOUPHOUET ABDOULAYE,male,DOCTEUR EN MEDECINE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/THIAM_AUGUSTIN.jpg,YAMOUSSOUKRO,9-24,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MOHAMED OUATTARA,male,INDUSTRIEL(GERANT),PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/MOHAMED_OUATTARA.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme BROU KUHA MARGUERITE,female,INSTITUTRICE A LA RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/brou_kuha.tiff,ABENGOUROU,20-55,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUASSI BEGANSOH,male,INSPECTEUR DES IMPOTS,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kouassi_begansoh.tiff,DIMBOKRO,26-75,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. TOURE DAOUDA,male,CHEF D`ENTREPRISE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/TOURE_DAOUDA.jpg,KOUTO,3-8,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. ADAMA BICTOGO,male,GERANT DE SOCIETE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/bitogo.jpg,AGBOVILLE,1-1,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. BROU KOFFI RENE,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/BROU_KOFFI.jpg,TOUMODI,4-12,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAME N`GUESSAN,male,ENSEIGNANT,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KOUAME_NGUESSAN.jpg,TIASSALE,1-3,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mme TEHOUA AMAH MARIE,female,ADMINISTRATEUR DE SOCIETE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/tehoua_amah_marie.tiff,BONGOUANOU,26-74,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA ABOUBAKAR,male,AGENT COMMERCIAL,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/watt.jpg,SANDEGUE,14-36,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DALLY JULES,male,PLANTEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/dally_jules.tiff,SOUBRE,25-71,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. MINZAN KOUADIO,male,RETRAITE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/MINZAN_KOUADIO.jpg,BONDOUKOU,14-34,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DANHO BADJE GABRIEL,male,ARCHITECTE URBANISTE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/DANHO_BADJE.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. EHOUMAN TANO,male,CHEF D`ENTREPRISE,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ehouman_tano.tiff,AGNIBILEKROU,20-56,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUAKOU KOUAKOU OUATTARA,male,AGENT D`ASSURANCE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kouakou_kouakou_ouattara.jpg,NASSIAN,6-17,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KAMBIRE SANSAN,male,SANS EMPLOI,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kambire_sansan_2.jpg,DOROPO,6-16,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. FAMIE AKATTIA EDOUKOU FELIX,male,GERANT,INDEPENDANT,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/fame_akattia.tiff,TIAPOUM,29-85,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. COULIBALY BRAHIMA,male,AGENT ADMINISTRATIF,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/coulibaly_btahima_titu.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
