statement,id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q47529647-DA316B62-F81B-4006-B155-B94A0C2AEB2A,Q47529647,Simanga Happy Mbuyane,2017-05-04,2019-05-07,,,African National Congress,Q83162,26
Q47529648-D6AC8534-4DCF-44B3-B195-C52D909CEAA1,Q47529648,Loyiso Khanyisa Bunye Mpumlwana,2014-05-30,2019-05-07,,,African National Congress,Q83162,26
Q47529649-1548419C-CC6F-4BA7-AD14-46609C309AA1,Q47529649,Ezekiel Kekana,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529650-48CF73BA-31EC-4E23-A310-84B03DAB5F38,Q47529650,Ndumiso Capa,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529651-0958BC36-3F66-4CCB-A4EE-FB512591BAC0,Q47529651,Deborah Dineo Raphuti,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529652-A902F9D1-7F32-4930-ACAB-913FAC73EC39,Q47529652,Sibongile Pearm Tsoleli,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q47529653-1C1E7F16-E29E-4913-9461-E11E8C9CB3CB,Q47529653,Cathrine Matsimbi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529654-6C52554F-CD00-4823-9360-1116E07B00F0,Q47529654,Maesela David Kekana,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529655-EE1A32F1-F366-4F4F-9191-747264EB20B8,Q47529655,Patrick Maesela,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529656-BBEE3381-92D6-4DE9-9904-A9BECB8B10B8,Q47529656,Moses Siphosezwe Amos Masango,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529658-050CEE9A-0053-4FC6-9C54-0E04286CE968,Q47529658,Nokuzola Ndongeni,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529659-FCB810D8-C6AF-4946-974B-81A0DF15431C,Q47529659,Madala Louis David Ntombela,2014-05-21,2019-05-07,Free State,Q160284,African National Congress,Q83162,26
Q47529660-B4939441-D48E-48A7-B9E8-4412E7A2A3CE,Q47529660,Nokukhanya Mthembu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529662-EFBFF97A-FB1B-4907-90CB-6768B369E7CE,Q47529662,Strike Michael Ralegoma,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529663-1BE77576-C98D-4B4F-B9E6-4AFFC0104FC3,Q47529663,Machwene Rosina Semenya,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529665-369CE80B-01F2-4DDD-BB92-DB248BA9C6D6,Q47529665,Sheila Coleen Nkhensani Shope-Sithole,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529667-C7D578F6-1D95-42F9-82B6-4541E972CA9E,Q47529667,Sello Albert Tleane,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529669-90DE92F4-3735-4F18-84D3-A9E613958CAC,Q47529669,Velhelmina Pulani Mogotsi,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529671-0DDBB96E-196B-494A-AB88-C85006096B10,Q47529671,Simphiwe Donatus Bekwa,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529673-D57E601F-B400-44EB-BC8C-F556BB0BBED1,Q47529673,Mervyn Alexander Dirks,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529675-CC862BAE-40F2-48C3-B33A-A4A7C16E8883,Q47529675,Mziwamadoda Uppington Kalako,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q47529676-DCC675AD-24C0-4BA9-B91C-59999743A6CC,Q47529676,Pinky Sharon Kekana,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529680-7EBF4B5E-573C-435A-AC70-092855F45260,Q47529680,Sahlulele Luzipo,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529681-B588D1A6-891D-41F0-AE53-62712BD5B004,Q47529681,Livhuhani Mabija,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529684-E48ECA0D-65E0-4D10-B7F8-E3D263C6EA34,Q47529684,Moloko Stanford Armour Maila,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529686-75685D30-A2B6-4E66-A080-369684D022F5,Q47529686,Thomas Makondo,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529687-51FE0625-EC56-476F-9BBE-8468D5D9959E,Q47529687,Elizabeth Koena Mmanoko Masehela,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529691-9DE30F3E-095D-4021-871C-B2B26EADEF65,Q47529691,Derick Mnguni,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529693-0F8A3197-49D0-4A30-927A-8959F1E4934C,Q47529693,Nkhensani Kate Bilankulu,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529696-03711080-AF5D-4163-94B2-578B8D2E0563,Q47529696,Joyce Vuyiswa Basson,2014-05-21,2019-05-07,Northern Cape,Q132418,African National Congress,Q83162,26
Q47529699-826DE685-6CA7-48E8-89E9-1FC21F4EAF04,Q47529699,Hellen Boikhutso Kekana,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q47529701-A2E2DA7B-2EE0-4695-B1A5-6291F67D1232,Q47529701,Dalton Hlamalani Khosa,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529703-74B37A5C-403F-4512-9666-6A352888DE5A,Q47529703,Sharome Renay Van Schalkwyk,2014-05-21,2019-05-07,Northern Cape,Q132418,African National Congress,Q83162,26
Q47529704-3A51E46A-08AC-492D-8B52-78802FCC8415,Q47529704,Mandisa Octovia Matshoba,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q47529707-501F03DB-5420-4B95-8A41-B44FC5DE44CA,Q47529707,Johannes Mothibeli Koekoe Mahumapelo,2015-05-20,2019-05-07,,,Agang South Africa,Q4969082,26
Q47529709-A2A657C7-0A63-45A3-9981-A47C7822C1A9,Q47529709,Evelyn Rayne Wilson,2014-05-21,2019-05-07,National List members,Q59654381,Democratic Alliance,Q761877,26
Q47529710-8A6318FC-4B53-48A4-A291-269398D1A33C,Q47529710,Dennis Richard Ryder,2017-07-01,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529712-00DEE5A2-9BF2-43E0-8EED-3C58CC6A0711,Q47529712,Patrick George Atkinson,2014-05-21,2019-05-07,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529714-92DBB012-8E1A-4BD9-BBC3-242453DCE45B,Q47529714,Thomas Zwelakhe Hadebe,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529716-640C16CC-F50C-44D2-8F75-41A86CA55E25,Q47529716,Mbulelo Richmond Bara,2016-11-14,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529718-DDDD1174-C4CC-44DE-9456-59F6C387AE1F,Q47529718,Vuyokazi Ketabahle,2015-01-21,2018-08-31,,,Economic Freedom Fighters,Q15613585,26
Q47529720-E29CF89C-7BBC-44F8-8644-E75A3E318242,Q47529720,Cameron Mackenzie,2014-05-21,2019-05-07,National List members,Q59654381,Democratic Alliance,Q761877,26
Q47529722-CE0C99E8-4541-4B1E-9380-F2E55AFF0ED1,Q47529722,Luthando Richmond Mbinda,2015-01-14,2018-09-13,,,Pan Africanist Congress of Azania,Q775460,26
Q47529723-B8A09C7A-740B-428B-AFCE-F561D7EC25F1,Q47529723,Xolani Ngwezi,2017-06-15,2019-05-07,,,Inkatha Freedom Party,Q654444,26
Q47529725-2AAE2892-7565-48E1-9EBC-8B336C237CE8,Q47529725,Beverley Lynnette Abrahams,2014-05-21,2019-05-07,National List members,Q59654381,African National Congress,Q83162,26
Q47529731-9CB02766-36F7-48A0-8043-249AFC4B5E92,Q47529731,Juliana Danielle Kilian,2014-05-22,2019-05-07,,,African National Congress,Q83162,26
Q47529732-6E46D22F-845A-4C10-81DD-38A40F372723,Q47529732,Alina Mfulo,2017-09-01,2019-05-07,,,African National Congress,Q83162,26
Q47529733-1908FD59-010B-43A3-872B-C8EF73F99708,Q47529733,Imamile Aubin Pikinini,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529736-9CBB4809-DB4B-410D-B2D9-34D8BDBB342F,Q47529736,Mohammed Haniff Hoosen,2014-05-21,2019-05-07,National List members,Q59654381,Democratic Alliance,Q761877,26
Q47529738-11ABB75B-D662-4A5F-A850-1B344BE77D62,Q47529738,Mandlenkosi Sicelo Mabika,2014-05-21,2019-04-01,KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529740-FC52F825-9402-4CD5-A1AE-7F01C26BDF4E,Q47529740,Michael Bagraim,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529741-B66E1ED8-4373-4264-B428-56D0F8DD6114,Q47529741,Ngwanamakwetle Reneiloe Mashabela,2014-05-21,2019-05-07,Limpopo,Q134907,Economic Freedom Fighters,Q15613585,26
Q47529744-CAEBFF80-FD87-4C36-8D39-60601D10E731,Q47529744,James Jim Skosana,2014-05-21,2018-02-27,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529745-65C25EB2-B4B2-4740-99FB-6F4A6A5C0933,Q47529745,Gijimani Jim Skosana,2017-10-25,2019-05-07,,,African National Congress,Q83162,26
Q47529750-BF827934-E147-48EF-8771-06B1ACA87F5F,Q47529750,Thilivhali Elphus Mulaudzi,2014-05-21,2019-05-07,Limpopo,Q134907,Economic Freedom Fighters,Q15613585,26
Q47529755-CB37EC90-A9B9-46F0-AB2D-3DEF1D4291E0,Q47529755,Donald Mlindwa Gumede,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529758-AD7B842C-AAA8-4630-BBF8-29962838C502,Q47529758,Lungi Annette Mnganga-Gcabashe,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529760-2FEC7378-D52A-467B-BA8F-E503881B53F4,Q47529760,Freddie Adams,2014-05-21,2019-04-15,Western Cape,Q127167,African National Congress,Q83162,26
Q47529765-5AC302CA-6FA1-4A7C-910C-AA2F9867BF3E,Q47529765,Annette Steyn,2014-05-21,2019-05-07,National List members,Q59654381,Democratic Alliance,Q761877,26
Q47529766-A86FFF01-5E8C-4329-9AF5-BABF2EEDA143,Q47529766,Patricia Emily Adams,2014-05-26,2019-05-07,,,African National Congress,Q83162,26
Q47529768-78876D55-47AE-479D-ABBE-63A1EF64E5E3,Q47529768,Cynthia Nocollege Majeke,2014-05-21,2019-05-07,Eastern Cape,Q130840,United Democratic Movement,Q1788070,26
Q47529770-C8478D78-D06D-48FD-BB60-F70050DFDAE3,Q47529770,Jan Adriaan Esterhuizen,2014-05-21,2019-05-07,National List members,Q59654381,Inkatha Freedom Party,Q654444,26
Q47529773-8F712CF9-394B-4B8B-AA7E-3CA759188A4B,Q47529773,Martha Phindile Mmola,2014-05-07,2019-05-07,National List members,Q59654381,African National Congress,Q83162,26
Q47529776-E923ED34-2DD2-4E8F-9FDA-55D8C621C170,Q47529776,Claudia Nonhlanhla Ndaba,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529777-3C325A02-E6EC-458B-A08A-59DDDFCFFD90,Q47529777,Nokhaya Adelaide Mnisi,2014-05-21,2018-09-18,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529783-71433B48-4FF1-4F00-B685-3AAD56702593,Q47529783,Rosemary Nokuzola Capa,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529784-C83E74E7-A94A-4A91-A712-F4BBF535509B,Q47529784,Grace Kekulu Tseke,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529789-56B38159-1136-4F47-BF55-3A6D4602BBCD,Q47529789,Sibusiso Christopher Mncwabe,2014-05-21,2019-05-07,,,National Freedom Party,Q6972795,26
Q47529790-274A8519-09E4-4034-9775-B824B14738A9,Q47529790,Godrich Ahmed Gardee,2014-05-21,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q47529793-5E6571BA-2F57-4F4B-B9A9-1AE34F76DE3C,Q47529793,Mogamad Nazier Paulsen,2015-05-20,2019-05-07,Western Cape,Q127167,Economic Freedom Fighters,Q15613585,26
Q47529798-D9643578-59E1-497C-8D50-A919A7BD7815,Q47529798,Tandeka Gqada,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529799-C2703295-7F88-4489-AC81-08D7B8BC497C,Q47529799,Hlomela Bucwa,2016-11-08,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529800-D37DD34E-1BFF-432A-A056-D07C7C9E24E4,Q47529800,Nicolaas Jacobus Janse Van Rensburg Koornhof,2014-08-12,2019-05-07,,,African National Congress,Q83162,26
Q47529805-5E2F5DB7-0FAC-45E0-B919-71963911F359,Q47529805,Benedict Anthony Duke Martins,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529808-8BFF7219-8722-4C44-8753-51085F1AE022,Q47529808,Darren Bergman,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529809-2D122871-6DF1-4659-B2C7-FA53C50171FF,Q47529809,Timothy James Brauteseth,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529811-49E19D0E-A6C2-4F05-95CE-232E9051772C,Q47529811,Fezeka Sister Loliwe,2014-05-21,2018-03-05,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529812-791C3F39-A51B-47F6-913D-DABBEE0D13E4,Q47529812,Hildegard Sonja Boshoff,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529813-48D83C7D-125D-417C-B01D-73DB602C3BD1,Q47529813,Archibold Mzuvukile Figlan,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529815-E278320A-4B40-47BB-93F3-86AB2D997E3D,Q47529815,Malcolm John Figg,2014-05-21,2019-05-07,Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529816-F30DA959-0959-4E65-927C-7E8A76BF0C48,Q47529816,Lungiswa Veronica James,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529819-2B71C793-BDD0-47DC-887F-365D20FA152D,Q47529819,Gordon Mackay,2014-05-21,2018-02-27,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529820-B094888D-4EBF-4FB9-989C-06B71C2521B1,Q47529820,Thembekile Richard Majola,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529824-DECAC8D2-66FF-4381-A33F-48458224F074,Q47529824,Gregory Allen Grootboom,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529825-499F4FA6-387B-4C55-89B6-EC5AFD6BDC6D,Q47529825,Vatiswa Bam-Mugwanya,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529830-CCED78BA-EEA6-493F-9C7F-638D9B82C20B,Q47529830,Xoliswa Sandra Tom,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529832-6976BF62-D8F9-4308-9BA6-6B07C4DD3FBC,Q47529832,Sibonakaliso Phillip Mhlongo,2015-07-17,2019-05-07,Gauteng,Q133083,Economic Freedom Fighters,Q15613585,26
Q47529836-6B29838A-6A06-442E-88DA-AB74AC418A2D,Q47529836,Nozabelo Ruth Bhengu,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529839-E0674063-8C80-4B08-B6C6-9F02FE719697,Q47529839,Sindi Chikunga,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529841-B9F58F0B-4DC9-4176-9146-AF7288592852,Q47529841,Elsie Mmathulare Coleman,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529844-A92C06DA-C377-44C2-921E-3E0E7FDFEBA2,Q47529844,Dorries Eunice Dlakude,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529847-2AFA4890-22CE-4248-ABEF-1A9139CFBC07,Q47529847,Dennis Dumisani Gamede,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529849-1CA68F8E-5BBE-4AD1-8A8E-D5F76428EE05,Q47529849,Werner Horn,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529850-0445C8C4-2146-44A2-9BB0-A81FCAB9C155,Q47529850,Nthako Sam Matiase,2014-05-21,2019-05-07,Gauteng,Q133083,Economic Freedom Fighters,Q15613585,26
Q47529853-08A54C6B-25AB-4055-81C1-05B869F488C4,Q47529853,Mkhuleko Hlengwa,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Inkatha Freedom Party,Q654444,26
Q47529859-83DCD731-3962-4E04-8EA9-34BB9E1AC639,Q47529859,Makoti Sibongile Khawula,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,Economic Freedom Fighters,Q15613585,26
Q47529862-2771EADF-1B96-4CE6-8D88-4CFFC97BB700,Q47529862,Regina Mina Mpontseng Lesoma,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529865-604CF895-A98F-44E6-8B87-4519A796E503,Q47529865,Celiwe Qhamkile Madlopha,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529867-8CB26D12-1D9F-467B-8481-07B32FEF3EA4,Q47529867,Dikeledi Phillistus Magadzi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529868-9353FEDE-7FD6-48EA-ADBF-3340D5EAFD22,Q47529868,Fikile Zachariah Majola,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529870-B8D115B0-A75A-475B-9191-84F32C9E8658,Q47529870,Sibongile Mchunu,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529873-F23E67D4-1589-4834-8415-D8A2F02FEE89,Q47529873,Risimati Thompson Mavunda,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529876-095759FF-AF94-4B7C-964C-C6CB575B408C,Q47529876,Thandi Cecilia Memela,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529879-4C6227B9-FCDA-4C06-B68A-78FE37F7AADF,Q47529879,Humphrey Mdumzeli Zondelele Mmemezi,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529880-36CB7C81-B469-4BA7-8AD0-877080AE327A,Q47529880,Tsepo Winston Mhlongo,2014-05-21,2019-05-07,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529881-C2B55D1D-655A-4F9E-9DCC-8F0DBCAE6B5B,Q47529881,Madipoane Refiloe Moremadi Mothapo,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529892-F969D18D-1944-4EA8-9E2B-B9CEF29B42BB,Q47529892,Nosilivere Winifred Magadla,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529895-50FBAD18-847E-4033-8DD3-0CE3A3DA9C68,Q47529895,Mogotle Friddah Nkadimeng,2014-05-21,2019-05-07,Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529896-5B532452-CF13-4E7F-9450-122AE677833D,Q47529896,Girly Namhla Nobanda,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q47529899-72B3B358-F9D6-430E-93B1-BDCA1AF320CD,Q47529899,Molapi Andries Plouamma,2014-05-21,2019-05-07,,,Agang South Africa,Q4969082,26
Q47529902-F20AA0AF-52B9-47E7-A0B2-12D3B20C087F,Q47529902,David Christie Ross,2014-05-21,2019-05-07,Free State,Q160284,Democratic Alliance,Q761877,26
Q47529903-B290F211-3FC7-4240-8BAF-47CE04C4AF4C,Q47529903,Maliyakhe Lymon Shelembe,2014-05-21,2019-04-16,KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529905-67F845F8-DD6B-4C08-AC51-0615C9E47882,Q47529905,Nokulunga Primrose Sonti,2014-05-21,2019-05-07,North West,Q165956,Economic Freedom Fighters,Q15613585,26
Q47529906-4BBF1718-BAFE-4BB3-8305-1D2D987E5C77,Q47529906,Vincent George Smith,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529908-088808BD-74F8-4BFD-A77C-CC7E61A86488,Q47529908,Khethamabala Petros Sithole,2014-05-21,2019-05-07,Gauteng,Q133083,Inkatha Freedom Party,Q654444,26
Q47529910-4DAB1DB0-E808-4896-A030-C2E8B6839016,Q47529910,Terri Stander,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529911-1295EB1D-0C0C-463C-9388-6073FE9201B4,Q47529911,Dirk Jan Stubbe,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529913-69D7418D-A10D-4558-8DA0-CC1E8665F2EF,Q47529913,Thembinkosi Rawula,2015-10-31,2019-04-10,Free State,Q160284,Economic Freedom Fighters,Q15613585,26
Q47529914-DE58D12A-31DE-47A0-B74A-01E4891CDD0F,Q47529914,Belinda Bozzoli,2014-05-21,2019-05-07,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529915-2D0AEC9A-964F-4C52-9C4F-71EBD9A55B05,Q47529915,Tandi Mahambehlala,2014-05-21,2019-05-07,Western Cape,Q127167,African National Congress,Q83162,26
Q47529916-8FC1DA13-4903-46C6-B19C-D5E6A6E29ADB,Q47529916,Mkhacani Joseph Maswanganyi,2015-05-27,2019-05-07,,,African National Congress,Q83162,26
Q47529917-854E0544-EADE-4739-97BB-1FAE59BBCEB2,Q47529917,Agnes Tuck,2015-03-30,2019-05-07,Northern Cape,Q132418,,,26
Q47529921-F6D1AB06-986E-458F-BB1A-F3D79DCC63BA,Q47529921,Alan Ross Mcloughlin,2014-05-21,2019-05-07,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529923-26EB1D39-1789-43A1-96E0-FC9F873BDFD7,Q47529923,Roger William Tobias Chance,2014-05-21,2019-05-07,Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529924-5FB1C4B4-B5B0-4DD4-967A-97929BCAB0A0,Q47529924,Mponeng Winston Rabotapi,2014-05-21,2019-05-07,North West,Q165956,Democratic Alliance,Q761877,26
Q47529925-F13F8F61-0329-4891-ABDE-A02745EFDC7F,Q47529925,Veronica Van Dyk,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529927-63696194-F5A8-4934-B2A6-2F7D55F11874,Q47529927,Solly Malatsi,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529928-D5722364-D956-41F2-A8B1-514BEFA7C891,Q47529928,Pebane George Moteka,2014-05-21,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q47529931-3360BA0E-C429-4656-AE12-F839E30A8D99,Q47529931,Wilma Susan Newhoudt-Druchen,2016-03-02,2019-05-07,,,African National Congress,Q83162,26
Q47529933-346FF05C-B664-40FE-9261-D98BB55F116B,Q47529933,Nqabayomzi Lawrence Saziso Kwankwa,2014-05-21,2019-05-07,,,United Democratic Movement,Q1788070,26
Q47529935-CA78483E-C68B-4FEC-AEE2-FFFB2929C023,Q47529935,Yvonne Nkwenkwezi Phosa,2014-05-21,2019-05-07,,,African National Congress,Q83162,26
Q47529936-229BB301-E620-416B-AA92-FF5B39C54D1B,Q47529936,Sarel Jacobus Francois Marais,2014-05-21,2019-05-07,Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529937-726B0861-9D0D-4AE9-89F8-1ADCBF3A280A,Q47529937,Michael John Cardo,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529939-DBFE2F1E-8777-4A47-B7B5-211E0E2ABACD,Q47529939,Mohlopi Philemon Mapulane,2014-05-21,2019-05-07,North West,Q165956,African National Congress,Q83162,26
Q47529943-CB843EA2-79DB-43E7-A1F9-1E0FFB3929BD,Q47529943,Mncedisi Lutando Wellington Filtane,2014-05-21,2019-05-07,Eastern Cape,Q130840,United Democratic Movement,Q1788070,26
Q47529945-55C295EC-8926-4478-82E6-D575BFE5FD5B,Q47529945,Rembuluwani Moses Tseli,2014-05-21,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
Q47529947-8E7AF4CF-93ED-40E1-B80F-EB9C09ABF4BD,Q47529947,Thomas Charles Ravenscroft Walters,2014-05-21,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529948-934947BF-5C32-4EDA-84D9-FA779A76D97F,Q47529948,Zolile Roger Xalisa,2016-08-24,2019-05-07,North West,Q165956,Economic Freedom Fighters,Q15613585,26
Q47529950-AC23D03F-6DB1-43D0-8C8C-361F2D97109B,Q47529950,Joanmariae Louise Fubbs,2014-05-21,2019-05-07,Gauteng,Q133083,African National Congress,Q83162,26
Q47529952-05CFD78A-AB52-4656-BA89-D0F18A122D19,Q47529952,Lehlohonolo Goodwill Mokoena,2016-08-24,2019-05-07,,,Economic Freedom Fighters,Q15613585,26
Q47529954-8E2C0B7F-080A-49A8-8B10-EF72E4A8EEF6,Q47529954,Leigh-Ann Mathys,2016-08-24,2019-05-07,Eastern Cape,Q130840,Economic Freedom Fighters,Q15613585,26
Q47529955-A5ABC312-ED09-421E-9D92-7850276573B3,Q47529955,Walter Bongani Maphanga,2016-09-05,2019-05-07,,,African National Congress,Q83162,26
Q47529956-4E535873-E743-4B5B-BBFC-DAB0E55F5C28,Q47529956,Nokuzola Gladys Tolashe,2016-09-05,2018-02-25,,,African National Congress,Q83162,26
Q47529958-11CB7DE9-380F-4092-8443-97ADD8551411,Q47529958,Hermanus Bernadus Groenewald,2015-11-12,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529960-66BCEAF4-AB2B-4296-848A-D23638430C0A,Q47529960,Nomsa Innocencia Tarabella Marchesi,2014-05-21,2019-05-07,Free State,Q160284,Democratic Alliance,Q761877,26
Q47529962-BD001616-CDE2-40A2-A1FC-8527113A2A59,Q47529962,Ahmed Munzoor Shaik Emam,2014-05-21,2019-05-07,KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529964-C0438BF1-3188-4D22-AAA9-A6AEEA05FF0F,Q47529964,Sibongile Judith Nkomo,2014-05-21,2019-05-07,,,Inkatha Freedom Party,Q654444,26
Q47529966-5DBD1271-7B5F-4A6D-B088-F87CEB7BF412,Q47529966,Ken Peter Robertson,2015-10-06,2019-05-07,,,Democratic Alliance,Q761877,26
Q47529967-941C1DF0-2620-49C7-8A26-2529D4F01F42,Q47529967,Comely Humphrey Maqocwa Maxegwana,2014-05-21,2019-05-07,Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529969-859E0227-83E2-43D1-A2C6-E3C4B5B2BAF1,Q47529969,Chantel King,2016-11-08,2019-05-07,Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529973-5B62E923-7D45-49A8-8796-11DA9FFCB209,Q47529973,Thandeka Moloko Mbabama,2016-11-08,2019-05-07,Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529974-518DC2A1-697B-44D1-8464-EBBABB4FAAAC,Q47529974,Boitumelo Maluleke,2015-06-23,2019-05-07,Limpopo,Q134907,African National Congress,Q83162,26
