id,name,family_name,given_name,gender,party,faction,faction_id,area_id,area,statut,image,term,source
sehoueto_lazare,Lazare Maurice SEHOUETO,SEHOUETO,Lazare Maurice,male,"",PRD - Union fait la Nation,prd_union_fait_la_nation,24,ZOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/804_524d94fcb3768.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sehoueto_lazare
sinkpota_evariste,Mensah Evariste SINKPOTA,SINKPOTA,Mensah Evariste,,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/828_533d83e41cdb6.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sinkpota_evariste
soulesabi_moussa,Sabi Moussa SOULE,SOULE,Sabi Moussa,male,"",UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,2,ALIBORI,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/807_524d9de627c30.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/soulesabi_moussa
takpara_daouda,Daouda TAKPARA,TAKPARA,Daouda,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,13,DONGA,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/810_524da0d0063a2.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/takpara_daouda
tchobo_valere,Valère TCHOBO,TCHOBO,Valère,male,FCBE - Force Cauris pour un Bénin émergent,"Refondation, Paix et Développement",refondation_paix_et_développement,9,COLLINE,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/813_524da3d701ddf.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/tchobo_valere
tchocodo_gabriel,Gabriel TCHOCODO,TCHOCODO,Gabriel,male,FCBE - Force Cauris pour un Bénin émergent,Union fait la Nation,union_fait_la_nation,12,COUFFO,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/809_524d9fef112fe.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/tchocodo_gabriel
tossou_emile,Emile TOSSOU,TOSSOU,Emile,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Progrès,refondation_et_progrès,16,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/812_524da3183414a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/tossou_emile
vieyra_rosine,Rosine VIEYRA SOGLO,VIEYRA SOGLO,Rosine,female,"",Nation et Développement,nation_et_développement,16,LITTORAL,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/814_524da47378e5b.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/vieyra_rosine
vlavonou_louis,Louïs VLAVONOU,VLAVONOU,Louïs,male,"",Union fait la Nation,union_fait_la_nation,21,PLATEAU,"",http://www.assemblee-nationale.bj/images/comprofiler/811_524da21dad08d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/vlavonou_louis
wakoute_saguifa,Saguifa WAKOUTE,WAKOUTE,Saguifa,male,FCBE - Force Cauris pour un Bénin émergent,"Refondation, Paix et Développement",refondation_paix_et_développement,3,ATACORA,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/818_524da9a03f91a.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/wakoute_saguifa
yehouetome_boniface,Boniface YEHOUETOME,YEHOUETOME,Boniface,male,"",Nation et Développement,nation_et_développement,24,ZOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/730_523262df8ac2d.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/yehouetome_boniface
yerima-pierre_patrick,D. S. Patrick YERIMA PIERRE,YERIMA PIERRE,D. S. Patrick,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,1,Alibori,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/839_54240e2a0bdd3.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/yerima-pierre_patrick
yorou_gaston,Gobi Gaston YOROU,YOROU,Gobi Gaston,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Emergence,refondation_et_emergence,8,BORGOU,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/819_524daab24c425.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/yorou_gaston
youssoufou_bida,Bida Nouhoume YOUSSOUPHOU A.,YOUSSOUPHOU A.,Bida Nouhoume,male,FCBE - Force Cauris pour un Bénin émergent,Refondation et Progrès,refondation_et_progrès,13,DONGA,Suppléant,http://www.assemblee-nationale.bj/images/comprofiler/815_524da63f4bc01.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/youssoufou_bida
zacharie_chabi,Chabi Félicien ZACHARIE,ZACHARIE,Chabi Félicien,male,FCBE - Force Cauris pour un Bénin émergent,UMPP Unité – Solidarité – Progrès,umpp_unité_solidarité_progrès,10,COLLINES,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/816_524da72787cee.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/zacharie_chabi
zinsou_edmond,Edmond A. ZINSOU,ZINSOU,Edmond A.,male,PRD - Parti du renouveau démocratique,PRD - Union fait la Nation,prd_union_fait_la_nation,19,OUEME,Titulaire,http://www.assemblee-nationale.bj/images/comprofiler/817_524da80c9bdf1.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/zinsou_edmond
sinkpota_evariste,Mensah Evariste SINKPOTA,SINKPOTA,Mensah Evariste,,"","","","","","",http://www.assemblee-nationale.bj/images/comprofiler/828_533d83e41cdb6.jpg,6,http://www.assemblee-nationale.bj/fr/profile-view/userprofile/sinkpota_evariste
