name,id,area,area_id,term,wikidata,source
Choe Phyong-il,14-2,Kwangbok,2,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Pok-sun,14-564,Hongwon,564,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Pu-il,14-160,Pyoldong,160,13,Q72993,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Ryong-hae,14-143,Okchonkang,143,13,Q714509,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Sang-kon,14-263,Chongkang,263,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Sin-uk,14-401,Suan,401,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Sok-hwan,14-581,Rabuk,581,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Song-il,14-303,Yaksan,303,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Song-il,14-45,Rakrang,45,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Song-nam,14-687,Ungsang,687,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Song-un,14-131,Sindoksan,131,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Song-won,14-57,Masan,57,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Sun-chol,14-314,Kumdong,314,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Thae-bok,14-62,Hyuam,62,13,Q710692,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Tong-yun,14-126,Unbaeksan,126,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Un,14-361,Ryongyon,361,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-dok,14-258,Tasa,258,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-ho,14-109,Myoraksan,109,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-il,14-168,Soksu,168,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-kon,14-169,Ryonpho,169,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-rim,14-37,Tongdaewon,37,13,Q310889,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-sam,14-332,Wolji,332,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-suk,14-617,Kukdong,617,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Choe Yong-suk,14-618,Orang,618,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Hak-chol,14-223,Tukjang,223,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Hye-song,14-525,Ssangryong,525,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Hyong-jong,14-284,Hyangsan,284,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Il,14-118,Mannyonsan,118,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Il-chun,14-229,Sumun,229,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Jae-kwon,14-146,Kalmakang,146,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Kil-su,14-429,Puchang,429,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Kwang-ho,14-542,Kwangmyongsong,542,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Kwang-rok,14-619,Odaejin,619,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Kyong-nam,14-277,Maengjung,277,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Kyong-son,14-273,Taeo,273,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Song-man,14-602,Songam,602,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Sung-hun,14-673,Pobong,673,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Sung-nam,14-384,Hwangju,384,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Yong-hak,14-121,Chonmasan,121,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Yong-nam,14-380,Tokam,380,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Yong-nam,14-541,Kajin,541,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Yong-son,14-267,Samsong,267,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chon Yong-ung,14-440,Chongnyon,440,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Chang-sok,14-515,Haean,515,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Chun-sil,14-444,Chonchon,444,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Hae,14-479,Puphyong,479,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Hyong-suk,14-638,Hyejang,638,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Kwang-kuk,14-577,Sinhong,577,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Kyong-hwa,14-568,Changhung,568,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Myong-chol,14-71,Sokbak,71,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Myong-hak,14-231,Ryusang,231,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Myong-il,14-31,Anhak,31,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Myong-jo,14-667,Sohak,667,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Myong-su,14-79,Hari,79,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Pyong-kon,14-511,Saekori,511,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Ri-jong,14-283,Suku,283,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Son-hui,14-598,Hoeryong,598,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Song-hyok,14-590,Phohang,590,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Sung-ki,14-445,Hakmu,445,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Tok-yong,14-570,Sinchang,570,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Yong-su,14-620,Kyongsong,620,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Yong-suk,14-63,Rihyon,63,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chong Yong-won,14-265,Sonchon,265,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Jong-kyong,14-319,Thaethan,319,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Kyu-chang,14-54,Ryongkung,54,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Myong-son,14-198,Ryongo,198,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Su-yong,14-200,Kunja,200,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Thae-kyong,14-647,Samjiyon,647,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
Chu Yong-sik,14-257,Yomju,257,13,"","https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014"
