id,name,constituency,state,chamber,party,party_id,image,term,source,area
893,Abiodun Olasupo,Iseyin/Itesiwaju/Kajola/Iwajowa,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/893.jpg,2015,http://www.nass.gov.ng/mp/profile/893,"Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State"
770,Abubakar Adamu,Shiroro/Rafi/Munya,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/770.jpg,2015,http://www.nass.gov.ng/mp/profile/770,"Shiroro/Rafi/Munya, Niger State"
598,ABUBAKAR AMUDA-KANNIKE,Ilorin East/South,Kwara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/598.jpg,2015,http://www.nass.gov.ng/mp/profile/598,"Ilorin East/South, Kwara State"
586,ABUBAKAR DAHIRU,Lafia/Obi,Nassarawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/586.jpg,2015,http://www.nass.gov.ng/mp/profile/586,"Lafia/Obi, Nassarawa State"
656,ABUBAKAR LADO,Gurara/Suleja/Tafa,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/656.jpg,2015,http://www.nass.gov.ng/mp/profile/656,"Gurara/Suleja/Tafa, Niger State"
642,ABUBAKAR LAWAL,Yola North/Yola South/Girei,Adamawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/642.jpg,2015,http://www.nass.gov.ng/mp/profile/642,"Yola North/Yola South/Girei, Adamawa State"
504,ACHARU OCHIJENU,"",State,NASS,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/504,", State"
950,Adabah Christian,Ado/Obadigbo/Opkokwu,Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/950,"Ado/Obadigbo/Opkokwu, Benue State"
797,ADAMS JAGABA,Kachia/Kagarko,Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/797.jpg,2015,http://www.nass.gov.ng/mp/profile/797,"Kachia/Kagarko, Kaduna State"
900,ADAMU GURAI,Shira/Giade,Bauchi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/900.jpg,2015,http://www.nass.gov.ng/mp/profile/900,"Shira/Giade, Bauchi State"
903,ADAMU KAMALE,Michika/Madagali,Adamawa State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/903,"Michika/Madagali, Adamawa State"
687,ADAMU MUHAMMADU,Babura/Garki,Jigawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/687.jpg,2015,http://www.nass.gov.ng/mp/profile/687,"Babura/Garki, Jigawa State"
788,ADAMU SALIHU,BOSSO/PAIKORO,Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/788.jpg,2015,http://www.nass.gov.ng/mp/profile/788,"BOSSO/PAIKORO, Niger State"
674,ADEBUTU OLADIPUPO,Ikenne/Shagamu/Remo North,Ogun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/674.jpg,2015,http://www.nass.gov.ng/mp/profile/674,"Ikenne/Shagamu/Remo North, Ogun State"
795,ADEDAPO LAM-ADESINA,Ibadan North- East/South- East,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/795.jpg,2015,http://www.nass.gov.ng/mp/profile/795,"Ibadan North- East/South- East, Oyo State"
703,ADEKOYA ADESEGUN,Ijebu North/Ijebu East/Ogun Waterside,Ogun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/703.jpg,2015,http://www.nass.gov.ng/mp/profile/703,"Ijebu North/Ijebu East/Ogun Waterside, Ogun State"
623,ADEKUNLE AKINLADE,Egbado South and Ipokia,Ogun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/623.jpg,2015,http://www.nass.gov.ng/mp/profile/623,"Egbado South and Ipokia, Ogun State"
915,Adewale Oluwatayo,Ifako-Ijaiye,Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/915.jpg,2015,http://www.nass.gov.ng/mp/profile/915,"Ifako-Ijaiye, Lagos State"
782,ADEYEMI ADEPOJU,Ibarapa East/Ido,Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/782,"Ibarapa East/Ido, Oyo State"
917,ADO ALHASSAN,Tudun-Wada/Doguwa,Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/917.jpg,2015,http://www.nass.gov.ng/mp/profile/917,"Tudun-Wada/Doguwa, Kano State"
553,ADO MUSA,Gezawa/Gabasawa,Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/553.jpg,2015,http://www.nass.gov.ng/mp/profile/553,"Gezawa/Gabasawa, Kano State"
754,AFE OLOWOOKERE,Akure North/South,Ondo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/754.jpg,2015,http://www.nass.gov.ng/mp/profile/754,"Akure North/South, Ondo State"
680,AGBEDI YEITIEMONE,Sagbama/Ekeremor,Bayelsa State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/680.jpg,2015,http://www.nass.gov.ng/mp/profile/680,"Sagbama/Ekeremor, Bayelsa State"
