id,name,sort_name,party,constituency,area,term,wikiname,source,notes,end_date,start_date,death_date
hans_geiger_(spd),Hans Geiger,Geiger!,SPD,"",Baden-Württemberg,5,Hans Geiger (SPD),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
ingeborg_geisendörfer,Ingeborg Geisendörfer,Geisendorfer!,CSU,"",Bayern,5,Ingeborg Geisendörfer,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
franz_xaver_geisenhofer,Franz Xaver Geisenhofer,Geisenhofer!,CSU,"",Bayern,5,Franz Xaver Geisenhofer,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 3. Mai 1967 für Maria Probst,,1967-05-03,
heiner_geißler,Heiner Geißler,Geissler!,CDU,Reutlingen,Baden-Württemberg,5,Heiner Geißler,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 11. Oktober 1967,1967-10-11,,
karl_geldner_(politiker),Karl Geldner,Geldner!,FDP,"",Bayern,5,Karl Geldner (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
gustav_freiherr_von_gemmingen-hornberg,Gustav Freiherr von Gemmingen-Hornberg,Gemmingen!,FDP,"",Baden-Württemberg,5,Gustav Freiherr von Gemmingen-Hornberg,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 11. Oktober 1967 für Hans Lenz,,1967-10-11,
hans-dietrich_genscher,Hans-Dietrich Genscher,Genscher!,FDP,"",Nordrhein-Westfalen,5,Hans-Dietrich Genscher,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
horst_gerlach_(politiker),Horst Gerlach,Gerlach!,SPD,"",Niedersachsen,5,Horst Gerlach (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
eugen_gerstenmaier,Eugen Gerstenmaier,Gerstenmaier!,CDU,Schwäbisch Gmünd – Backnang,Baden-Württemberg,5,Eugen Gerstenmaier,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hans_gertzen,Hans Gertzen,Gertzen!,SPD,Gelsenkirchen II,Nordrhein-Westfalen,5,Hans Gertzen,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
heinrich_gewandt,Heinrich Gewandt,Gewandt!,CDU,"",Hamburg,5,Heinrich Gewandt,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
paul_gibbert,Paul Gibbert,Gibbert!,CDU,Cochem,Rheinland-Pfalz,5,Paul Gibbert,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),verstorben am 30. Dezember 1967,1967-12-30,,1967-12-30
karl_heinz_gierenstein,Karl Heinz Gierenstein,Gierenstein!,CSU,Ingolstadt,Bayern,5,Karl Heinz Gierenstein,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
udo_giulini,Udo Giulini,Giulini!,CDU,"",Rheinland-Pfalz,5,Udo Giulini,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
franz_gleissner,Franz Gleissner,Gleissner!,CSU,Miesbach,Bayern,5,Franz Gleissner,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
eugen_glombig,Eugen Glombig,Glombig!,SPD,Hamburg-Mitte,Hamburg,5,Eugen Glombig,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hermann_glüsing,Hermann Glüsing,Glusing!,CDU,Husum,Schleswig-Holstein,5,Hermann Glüsing,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
leo_gottesleben,Leo Gottesleben,Gottesleben!,CDU,Ottweiler,Saarland,5,Leo Gottesleben,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hermann_götz_(cdu),Hermann Götz,Gotz!,CDU,Fulda,Hessen,5,Hermann Götz (CDU),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
carlo_graaff,Carlo Graaff,Graaff!,FDP,"",Niedersachsen,5,Carlo Graaff,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
johann_baptist_gradl,Johann Baptist Gradl,Gradl!,CDU,"",Berlin,5,Johann Baptist Gradl,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
annemarie_griesinger,Annemarie Griesinger,Griesinger!,CDU,"",Baden-Württemberg,5,Annemarie Griesinger,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
kurt_gscheidle,Kurt Gscheidle,Gscheidle!,SPD,"",Hessen,5,Kurt Gscheidle,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
max_güde,Max Güde,Gude!,CDU,Karlsruhe,Baden-Württemberg,5,Max Güde,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl_theodor_freiherr_von_und_zu_guttenberg,Karl Theodor Freiherr von und zu Guttenberg,Guttenberg!,CSU,Kulmbach,Bayern,5,Karl Theodor Freiherr von und zu Guttenberg,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hermann_haage,Hermann Haage,Haage!,SPD,"",Bayern,5,Hermann Haage,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
ernst_haar,Ernst Haar,Haar!,SPD,Stuttgart II,Baden-Württemberg,5,Ernst Haar,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
albrecht_haas,Albrecht Haas,Haas!,FDP,"",Bayern,5,Albrecht Haas,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
detlef_haase,Detlef Haase,"Haase, Detlef!",SPD,"",Schleswig-Holstein,5,Detlef Haase,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
lothar_haase,Lothar Haase,"Haase, Lothar!",CDU,"",Hessen,5,Lothar Haase,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl_haehser,Karl Haehser,Haehser!,SPD,"",Rheinland-Pfalz,5,Karl Haehser,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hansjörg_häfele,Hansjörg Häfele,Hafele!,CDU,Donaueschingen,Baden-Württemberg,5,Hansjörg Häfele,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl_hahn_(politiker),Karl Hahn,Hahn!,CDU,"",Nordrhein-Westfalen,5,Karl Hahn (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
heinrich_hamacher,Heinrich Hamacher,Hamacher!,SPD,Köln IV,Nordrhein-Westfalen,5,Heinrich Hamacher,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
ludwig_hamm,Ludwig Hamm,Hamm!,FDP,"",Rheinland-Pfalz,5,Ludwig Hamm,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 12. Mai 1966,1966-05-12,,
hugo_hammans,Hugo Hammans,Hammans!,CDU,Kempen-Krefeld,Nordrhein-Westfalen,5,Hugo Hammans,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hermann_hansing,Hermann Hansing,Hansing!,SPD,Bremen-Ost,Bremen,5,Hermann Hansing,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
august_hanz,August Hanz,Hanz!,CDU,Montabaur,Rheinland-Pfalz,5,August Hanz,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
kurt_härzschel,Kurt Härzschel,Harzschel!,CDU,"",Baden-Württemberg,5,Kurt Härzschel,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 19. Oktober 1967 für Heiner Geißler,,1967-10-19,
kai-uwe_von_hassel,Kai-Uwe von Hassel,Hassel!,CDU,Steinburg – Dithmarschen-Süd,Schleswig-Holstein,5,Kai-Uwe von Hassel,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
rudolf_hauck,Rudolf Hauck,Hauck!,SPD,"",Niedersachsen,5,Rudolf Hauck,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
herbert_hauffe,Herbert Hauffe,Hauffe!,SPD,"",Bayern,5,Herbert Hauffe,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
alo_hauser,Alo Hauser,"Hauser, Alo!",CDU,"",Nordrhein-Westfalen,5,Alo Hauser,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hugo_hauser,Hugo Hauser,"Hauser, Hugo!",CDU,Rastatt,Baden-Württemberg,5,Hugo Hauser,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
erwin_häussler,Erwin Häussler,Haussler!,CDU,"",Baden-Württemberg,5,Erwin Häussler,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
bruno_heck,Bruno Heck,Heck!,CDU,Rottweil,Baden-Württemberg,5,Bruno Heck,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
udo_hein,Udo Hein,Hein!,SPD,"",Nordrhein-Westfalen,5,Udo Hein,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 22. Dezember 1966,1966-12-22,,
gustav_heinemann,Gustav Heinemann,Heinemann!,SPD,Bochum – Witten,Nordrhein-Westfalen,5,Gustav Heinemann,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 24. Juni 1969,1969-06-24,,
josef_hellenbrock,Josef Hellenbrock,Hellenbrock!,SPD,"",Nordrhein-Westfalen,5,Josef Hellenbrock,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
walther_hellige,Walther Hellige,Hellige!,FDP,"",Niedersachsen,5,Walther Hellige,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),"ab 13. Oktober 1967 fraktionslos, ab 24. Oktober 1967 CDU/CSU",,,
hermann_herberts,Hermann Herberts,Herberts!,SPD,Wuppertal I,Nordrhein-Westfalen,5,Hermann Herberts,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
luise_herklotz,Luise Herklotz,Herklotz!,SPD,"",Rheinland-Pfalz,5,Luise Herklotz,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hans_hermsdorf,Hans Hermsdorf,Hermsdorf!,SPD,"",Niedersachsen,5,Hans Hermsdorf,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl_herold,Karl Herold,Herold!,SPD,"",Bayern,5,Karl Herold,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
carl_hesberg,Carl Hesberg,Hesberg!,CDU,Köln II,Nordrhein-Westfalen,5,Carl Hesberg,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hedda_heuser-schreiber,Hedda Heuser,Heuser!,FDP,"",Nordrhein-Westfalen,5,Hedda Heuser-Schreiber,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 11. März 1968 für Josef Effertz,,1968-03-11,
anton_hilbert,Anton Hilbert,Hilbert!,CDU,Waldshut,Baden-Württemberg,5,Anton Hilbert,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
martin_hirsch,Martin Hirsch,Hirsch!,SPD,Hof,Bayern,5,Martin Hirsch,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
hermann_höcherl,Hermann Höcherl,Hocherl!,CSU,Regensburg,Bayern,5,Hermann Höcherl,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
josef_hofmann_(mdb),Josef Hofmann,"Hofmann, Josef!",CDU,Mainz,Rheinland-Pfalz,5,Josef Hofmann (MdB),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
karl_hofmann_(spd),Karl Hofmann,"Hofmann, Karl!",SPD,Coburg,Bayern,5,Karl Hofmann (SPD),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
egon_höhmann,Egon Höhmann,Hohmann!,SPD,Eschwege,Hessen,5,Egon Höhmann,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
franz_höhne_(politiker),Franz Höhne,Hohne!,SPD,"",Bayern,5,Franz Höhne (Politiker),https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),,,,
heinrich_holkenbrink,Heinrich Holkenbrink,Holkenbrink!,CDU,Trier,Rheinland-Pfalz,5,Heinrich Holkenbrink,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),ausgeschieden am 17. Juli 1967,1967-07-17,,
ernst_hölzle,Ernst Hölzle,Holzle!,SPD,"",Baden-Württemberg,5,Ernst Hölzle,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 20. Februar 1967 für Friedrich Schäfer,,1967-02-20,
lieselotte_holzmeister,Lieselotte Holzmeister,Holzmeister!,CDU,"",Rheinland-Pfalz,5,Lieselotte Holzmeister,https://de.wikipedia.org/wiki/Liste_der_Mitglieder_des_Deutschen_Bundestages_(5._Wahlperiode),eingetreten am 5. Februar 1968 für Paul Gibbert,,1968-02-05,
