statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term,identifier__wikidata
Q28085936-1a8ec542-4c0b-bd74-8c11-35a39f8f2175,Q28085936,Vasile Axinte,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085936
Q28085981-c3f981e9-41eb-60ac-63e0-4c17666b37a9,Q28085981,Vasile Cîtea,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085981
Q28085990-31690139-4475-4ccf-a713-6cf89548727a,Q28085990,Silviu-Nicu Macovei,Q182888,Iași County,Q752435,Social Democratic Party,2016-12-20,"",8,Q28085990
Q28086072-6dcde32b-49dc-7eb4-d04b-025dfacfd578,Q28086072,Marius Bodea,Q182888,Iași County,Q686228,National Liberal Party,2016-12-20,"",8,Q28086072
Q28086245-d10723e8-41b5-0d01-e09f-182d335813ce,Q28086245,Cosette-Paula Chichirău,Q182888,Iași County,Q27108508,Save Romania Union,2016-12-20,"",8,Q28086245
Q28110340-f18c938c-400f-49b8-5c61-fcf127f50452,Q28110340,Alexandra-Corina Bogaciu,Q191670,Ilfov County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28110340
Q28111241-c241d2af-409c-386c-f0cd-c15f91bd2e75,Q28111241,Mihai Culeafă,Q191670,Ilfov County,Q686228,National Liberal Party,2016-12-21,"",8,Q28111241
Q28111296-b9c97f48-4c63-22d4-00e9-2833e074ba4c,Q28111296,Cornel Zainea,Q191670,Ilfov County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28111296
Q28111440-a2a05678-4242-3b60-5562-7c5f7c282932,Q28111440,Constantin-Cătălin Zamfira,Q191670,Ilfov County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28111440
Q28111482-d16d1b72-44c5-90e1-cec1-71af8dddc9e1,Q28111482,Norbert Apjok,Q188813,Maramureș County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28111482
Q28111681-9a0d4789-43c6-e192-dfe1-6dfaa92ed48d,Q28111681,Viorica Cherecheș,Q188813,Maramureș County,Q686228,National Liberal Party,2016-12-21,"",8,Q28111681
Q28112537-789ff5dd-48b7-cfe0-f50c-c38d71248200,Q28112537,Adrian-Mihăiță Todoran,Q188813,Maramureș County,Q15732550,People's Movement Party,2016-12-21,"",8,Q28112537
Q28112640-5f810065-4182-784d-6c8a-32dce42409b6,Q28112640,Alexandru Bălănescu,Q191717,Mehedinți County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28112640
Q28113694-963946d4-4203-d6d6-a6fe-e1d28d1ae4aa,Q28113694,Vlad Bontea,Q191717,Mehedinți County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113694
Q28113715-7ba07065-4ffa-7a9b-134b-e70d965bef26,Q28113715,Virgil-Daniel Popescu,Q191717,Mehedinți County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113715
Q28113793-60372e84-4778-962b-8694-ceb0b7bd5c0f,Q28113793,Lavinia-Corina Abu-Amra,Q190711,Mureș County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28113793
Q28113795-5d981d53-499f-3a89-8ad6-5379e08dccf5,Q28113795,Daniela Oteșanu,,,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113795
Q28113799-554c9ab6-4db3-816b-601f-7f938d35ec2f,Q28113799,Éva-Andrea Csép,Q190711,Mureș County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28113799
Q28113801-037a1f16-405e-53ed-2d78-e82acf864d08,Q28113801,Bianca-Miruna Gavriliță,Q185586,Timiș County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113801
Q28113802-50f46883-45b2-1819-7135-8361b1c940f6,Q28113802,Tudorița-Rodica Boboc,Q182778,Vrancea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113802
Q28113804-56784aa9-4722-2958-402c-57792560f03c,Q28113804,Mariana-Venera Popescu,Q3409357,Macedonians of Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113804
Q28113805-ae2bab45-4a73-ee12-7d44-d840088bc216,Q28113805,Petronela-Mihaela Csokany,Q3656818,Bulgarians in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113805
Q28113808-e18815da-475a-1816-fee7-3c855799c952,Q28113808,Mara-Daniela Calista,Q191653,Teleorman County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113808
Q28113810-09ca4cb2-4659-c123-b7ee-0d78143a6937,Q28113810,Laura-Mihaela Moagher,Q188665,Prahova County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113810
Q28113813-5e6150ef-44f1-b053-b50a-c4829e28c5b8,Q28113813,Maricela Cobuz,Q181209,Suceava County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113813
Q28113814-743c2669-4fd7-957d-b410-c7885d74cd15,Q28113814,Nicoleta-Cătălina Bozianu,Q188665,Prahova County,Q15732550,People's Movement Party,2016-12-21,"",8,Q28113814
Q28113816-c8d855cc-44c0-295c-ac53-4bbe6c39eba8,Q28113816,Ioana Bran,Q165459,Satu Mare County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113816
Q28113870-80a38867-4c89-c697-c9bb-100b684072df,Q28113870,Andaluzia Luca,Q191078,Tulcea County,Q752435,Social Democratic Party,2016-12-21,2017-01-04,8,Q28113870
Q28113874-e3e6b2b5-49d8-0da0-c3bc-c9f4d51986b3,Q28113874,Liviu-Ioan Balint,Q190690,Sălaj County,Q15732550,People's Movement Party,2016-12-21,"",8,Q28113874
Q28113875-912af774-4a37-16b6-0d81-7deb33c4ea3e,Q28113875,Marius-Ionel Iancu,Q188945,Olt County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113875
Q28113876-d2f94512-472a-afb9-f947-c3f2a61d96ee,Q28113876,Doru-Petrișor Coliu,Q2091237,Romanian diaspora,Q15732550,People's Movement Party,2016-12-21,"",8,Q28113876
Q28113877-c25ef62d-4ea5-f072-cf90-3075bfe6df3f,Q28113877,Ioan Terea,Q184797,Sibiu County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113877
Q28113880-246e4815-4756-5993-bcc2-de06cf16ee88,Q28113880,Nicușor Halici,Q182778,Vrancea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113880
Q28113882-44cb9a2f-4449-6673-5efb-a3e4cca57c2b,Q28113882,Călin-Ionel Dobra,Q185586,Timiș County,Q752435,Social Democratic Party,2016-12-21,2017-01-04,8,Q28113882
Q28113884-5549865c-4a6a-3485-1bfc-c9bfd84b9868,Q28113884,George Șișcu,Q191078,Tulcea County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113884
Q28113889-3623685c-4f11-0a37-894f-f07241c7cc7b,Q28113889,Rodica Paraschiv,Q188665,Prahova County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113889
Q28113890-fa2a3d83-4111-e4a5-1d6c-0f0cb1ff5e1e,Q28113890,Loránd-Bálint Magyar,Q165459,Satu Mare County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28113890
Q28113892-ae1cf744-4658-feeb-f817-8b5f051f9590,Q28113892,Vasile Cocoș,Q186838,Vâlcea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113892
Q28113895-8609d40c-4217-4ff9-0b57-40865108e07e,Q28113895,Gheorghe-Dinu Socotar,Q190711,Mureș County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113895
Q28113897-4dcbc4cd-4bc8-cfb0-d18c-aec5d133b767,Q28113897,Bogdan-Alin Stoica,Q719847,Albanians of Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113897
Q28113900-355d1b7e-4a75-e921-cb0b-6a458380a3d0,Q28113900,Ilie-Dan Barna,Q184797,Sibiu County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28113900
Q28113906-f6335c24-404f-f15a-8dbd-30959431c7c9,Q28113906,Constantin Codreanu,Q2091237,Romanian diaspora,Q15732550,People's Movement Party,2016-12-21,"",8,Q28113906
Q28113924-ec4de24d-4a26-135e-5bbe-00d90d4095bb,Q28113924,Zsolt-Istvan Biro,Q190711,Mureș County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28113924
Q28113930-86e76123-4ead-1215-5e8a-cc0caeb5dec5,Q28113930,Neculai Iftimie,Q188661,Neamț County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113930
Q28113936-cd37f74a-4314-4852-af08-7d097be87c6c,Q28113936,Constantin Șovăială,Q184797,Sibiu County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113936
Q28113940-c4f0d840-484c-f3b8-5cb4-bc9879fc7ec1,Q28113940,Mihai-Cătălin Botez,Q167199,Vaslui County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28113940
Q28113942-17c06fe8-47b2-97ed-fae3-05d6af6db443,Q28113942,Andi-Gabriel Grosaru,Q1990195,Italians of Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113942
Q28113944-9fea7a63-4282-e2b2-2ba9-986899bf53d7,Q28113944,Marian-Gheorghe Cucșa,,,Q26934816,Alliance of Liberals and Democrats Party,2016-12-21,"",8,Q28113944
Q28113947-6c24d1d8-4fb3-9a09-5a85-a450e12f685e,Q28113947,Eugen Neață,Q186838,Vâlcea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113947
Q28113950-37c0bd41-40a9-5037-7966-fafb6b61f4a4,Q28113950,Nicolae-Miroslav Petrețchi,Q369739,Ukrainians of Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113950
Q28113951-31f761b8-4a77-a439-16e4-120106335fa3,Q28113951,Alfred-Robert Simonis,Q185586,Timiș County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113951
Q28113952-987ddf21-4f74-223f-a677-fe960b27a4b9,Q28113952,Dumitru Mihalescul,Q181209,Suceava County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113952
Q28113953-e5bc77fb-4ef9-b258-2d7c-154d2c1d229f,Q28113953,Dănuț Andrușcă,Q188661,Neamț County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113953
Q28113954-9b756b9d-40e5-4928-3b90-d72b11dda01e,Q28113954,Slavoliub Adnagi,Q1064264,Serbs in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113954
Q28113956-f7874eb1-42f7-6e4f-f772-abf86e7f85b9,Q28113956,Marilen-Gabriel Pirtea,Q185586,Timiș County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113956
Q28113958-3dc51e83-4e78-116b-8d1d-8d499dcff969,Q28113958,Aurel Căciulă,Q167199,Vaslui County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113958
Q28113959-c3e865d3-4e65-def2-1ecf-8fa609cd4303,Q28113959,Lucian-Eduard Simion,Q191078,Tulcea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113959
Q28113962-01264117-4512-5da5-34ff-8cb2eee25cc9,Q28113962,Adrian-Ionuț Gâdea,Q191653,Teleorman County,Q752435,Social Democratic Party,2016-12-21,2017-01-27,8,Q28113962
Q28113964-1d51f5b4-4f6f-60a4-b561-6286449fbde4,Q28113964,Bogdan Gheorghiu,Q181209,Suceava County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113964
Q28113965-0b822019-40e6-8042-83db-33c344b10404,Q28113965,Andrei Nicolae,Q188665,Prahova County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113965
Q28113967-b160ff48-44ec-93dc-6865-701fef8fb39c,Q28113967,Dragoș-Petruț Bârlădeanu,Q182778,Vrancea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113967
Q28113983-abc07a96-4eed-1f1b-584a-6a3c898f3c9b,Q28113983,Ovidiu-Ioan Sitterli,Q184797,Sibiu County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113983
Q28113985-06125394-4e69-36e6-6125-88f64e557525,Q28113985,Radu-Adrian Pau,Q185586,Timiș County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113985
Q28113987-1026ca1a-480e-fac3-8eb5-3ed4e4f09f0e,Q28113987,Daniel Olteanu,Q167199,Vaslui County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113987
Q28113988-c4c79efb-4d40-2b68-49cc-b9b679428c29,Q28113988,Pavel Popescu,Q185586,Timiș County,Q686228,National Liberal Party,2016-12-21,"",8,Q28113988
Q28113990-beaa8a5c-4478-aba5-4531-269c9601ded3,Q28113990,Iulian Bulai,Q188661,Neamț County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28113990
Q28113991-70bb1aeb-4d4c-8316-114a-0dcc3d59ce2e,Q28113991,Ciprian-Constantin Șerban,Q188661,Neamț County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28113991
Q28113995-077bfa83-4188-f6de-0e3b-78f9a2b2c016,Q28113995,Iulius Marian Firczak,Q28194448,Ruthenians in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28113995
Q28114000-37f65bb6-4a11-4c98-9b24-792fab0cf9bc,Q28114000,Mihai Doru Oprișcan,Q190711,Mureș County,Q686228,National Liberal Party,2016-12-21,"",8,Q28114000
Q28114002-a48544ce-4429-80e3-7134-f43adc0e462c,Q28114002,Răzvan Sorin Prișcă,Q188665,Prahova County,Q686228,National Liberal Party,2016-12-21,"",8,Q28114002
Q28114005-6e7fd863-4fc9-607f-9012-a012c5f06071,Q28114005,Emanuel-Iuliu Havrici,Q181209,Suceava County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28114005
Q28114007-e544f7d6-4dcb-b56c-aaa1-79a6d0113515,Q28114007,Silviu Vexler,Q28195536,Jewish people in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28114007
Q28114023-3cb54355-4ecd-3b42-3217-23aa0d16be59,Q28114023,Dan-Răzvan Rădulescu,Q188665,Prahova County,Q27108508,Save Romania Union,2016-12-21,"",8,Q28114023
Q28114025-b2d59ee4-4153-4e1b-b23d-c3742db0846a,Q28114025,Dumitru Lovin,Q186838,Vâlcea County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-21,"",8,Q28114025
Q28114028-606c5887-482b-fa4a-85c4-2218b452888a,Q28114028,Manuel Costescu,Q2091237,Romanian diaspora,Q27108508,Save Romania Union,2016-12-21,2017-03-06,8,Q28114028
Q28114030-a0209005-47ba-ddab-bacc-6ee23472d644,Q28114030,Levente Vass,Q190711,Mureș County,Q266582,Democratic Union of Hungarians in Romania,2016-12-21,"",8,Q28114030
Q28114033-d172eb81-4553-b50b-f89c-15ae5ff476c2,Q28114033,Daniel Vasile,Q923163,Roma in Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28114033
Q28114035-14bf671d-4541-5590-1047-923513971c63,Q28114035,Ștefan-Ovidiu Popa,Q186838,Vâlcea County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28114035
Q28114059-ba19b6c6-452f-231e-d357-8e07bb3b7527,Q28114059,Alexandru Rădulescu,Q181209,Suceava County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28114059
Q28114061-dca39217-4964-3062-d0c0-39b10f26400a,Q28114061,Alexandru Rotaru,Q188661,Neamț County,Q752435,Social Democratic Party,2016-12-21,"",8,Q28114061
Q28193538-c5dcf941-4cb9-77d2-6016-8939160f10a2,Q28193538,Ion Ștefan,Q182778,Vrancea County,Q686228,National Liberal Party,2016-12-21,"",8,Q28193538
Q28194698-3ef31e39-44de-e78b-6d24-5e6dce8fd2a3,Q28194698,Iarco Furic,Q2989388,Slovaks of Romania,Q2989342,Minorities of Romania,2016-12-21,"",8,Q28194698
Q28379851-d0864b7f-46a0-ffc1-caf7-f17def569130,Q28379851,Andreea Cosma,Q188665,Prahova County,Q752435,Social Democratic Party,2017-01-16,"",8,Q28379851
Q28379856-d919201e-448a-e2ae-7513-736e2f18ddf0,Q28379856,Răzvan-Ion Ursu,Q188665,Prahova County,Q752435,Social Democratic Party,2017-01-16,"",8,Q28379856
Q28379858-600b7c4a-4a12-7566-8c7c-64272863ddf3,Q28379858,Anișoara Radu,Q191078,Tulcea County,Q752435,Social Democratic Party,2017-01-16,"",8,Q28379858
Q28913068-02e2c301-4889-029a-a30e-8fc58de0b5b2,Q28913068,Nicolae Daniel Popescu,Q2091237,Romanian diaspora,Q27108508,Save Romania Union,2017-04-19,"",8,Q28913068
Q28914210-4a5a3cb1-48c8-bc17-c11e-9decffbad201,Q28914210,Violeta Răduț,Q191653,Teleorman County,Q752435,Social Democratic Party,2017-02-21,"",8,Q28914210
Q38082933-67dfcdc0-4e14-1f50-5863-553dd4ef974e,Q38082933,Cristina Trăilă,Q19660,Bucharest,Q686228,National Liberal Party,2017-06-27,"",8,Q38082933
Q4775647-feeb04f5-4b3c-34b3-c007-bb85079ac853,Q4775647,Anton Anton,Q19660,Bucharest,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q4775647
Q532674-7141f37a-47a8-23b2-e649-674f0a022cbf,Q532674,Varujan Vosganian,Q182888,Iași County,Q26934816,Alliance of Liberals and Democrats Party,2016-12-20,"",8,Q532674
Q5406958-33ef3b49-41ea-5867-44ff-4a602025f85d,Q5406958,Eugen Nicolăescu,Q19660,Bucharest,Q686228,National Liberal Party,"",2017-06-01,8,Q5406958
Q7114143-f2c0a74d-47d3-2b05-8343-8510763e4072,Q7114143,Ovidiu Raețchi,Q19660,Bucharest,Q686228,National Liberal Party,2016-12-20,"",8,Q7114143
Q7350501-3b00b085-46b3-880f-412d-dcf5949c268b,Q7350501,Robert Turcescu,Q188505,Constanța County,Q15732550,People's Movement Party,2016-12-20,"",8,Q7350501
Q804026-1a331bb1-4d7a-c64a-883b-fa645bb97084,Q804026,Rozália Biró,Q179588,Bihor County,Q266582,Democratic Union of Hungarians in Romania,2016-12-20,"",8,Q804026
Q9200268-7F8248E5-7539-49F4-AB81-725219498CBB,Q9200268,Cătălin Ioan Nechifor,Q181209,Suceava County,Q752435,Social Democratic Party,2016-12-21,"",8,Q9200268
Q9212924-b4d72e23-4502-41a5-3ae6-9e533dfe61e6,Q9212924,Dumitru Oprea,Q182888,Iași County,Q686228,National Liberal Party,2016-12-20,"",8,Q9212924
