name,image,term,area,party
Ibrahim Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520IBRAHIM%2520KAMARA%2520CONST%2520105%2520WESTERN%2520AREA%2520URBAN%2520ID%2520105.JPG,2-4,"Western Urban, Western Rural",APC
Ajibola E. Manly Spaine,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520AJIBOLA%2520EMANUEL%2520MANLY%2520SPAIN%2520CONST%2520106%2520WESTERN%2520AREA%2520URBAN%2520APC.JPG,2-4,"Western Urban, Western Area",APC
Bliss Osho Williams,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520BLISS%2520EUGENE%2520OSHO-WILLIAMS%2520CONST%2520107%2520WETERN%2520AREA%2520URBAN%2520ID%2520107.JPG,2-4,"Western Urban, Western Area",APC
Michael Sho Sawyerr,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520MICHEL%2520SHO-SAWYER%2520CONST%2520108%2520WESTERN%2520AREA%2520URBAN%2520ID%2520108.JPG,2-4,"Western Urban, Western Area",APC
Amadu Fofana,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520AMADU%2520FOFANA%2520CONST%2520109%2520WEASTREN%2520UNBAN%2520AREA.JPG,2-4,"Western Urban, Western Area",APC
Chernor R.M. Bah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DEPUTY%2520SPEAKER%2520CHERNOR%2520%2520R.%2520M.%2520BAH%2520CONST%2520110%2520WEASTERN%2520AREA%2520URBAN%2520ID%2520110.JPG,2-4,"Western Urban, Western Area",APC
David Johnson,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520DAVID%2520JOHNSON%2520CONST%2520111%2520WESTERN%2520AREA%2520URBAN%2520ID%2520111.JPG,2-4,"Western Urban, Western Area",APC
Sheku Sannoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520SHEKU%2520SANNOH%2520CONST%2520112%2520WESTERN%2520AREA%2520URBAN%2520%2520ID%2520112.JPG,2-4,"Western Urban, Western Area",APC
P.C Bai Shebora Yek II,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520ALHAJI%2520BAI%2520SHEBORA%2520YEK%2520%255B11%255D%2520KAMBIA%2520DISTRICT.JPG,2-4,"Kambia District, Northern Region",Paramount Chief
P.C Bai Bureh Sallu Lugbu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520BAI%2520BUREH%2520SALLU%2520LUGBU%2520%255B11%255D%2520PORT%2520LOKO%2520DISTRICT%2520NORTHERN.JPG,2-4,"Port Loko District, Northern Region",Paramount Chief
P.C Mansa Paki Kabombor,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520MANSA%2520PAKI%2520KEBOMBOR%252011%2520BAMBALI%2520DISTRICT.JPG,2-4,"Bombali District, Northern Region",Paramount Chief
P.C Prince Mambu Pewa III,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520PRINCE%2520MAMBU%2520PEWA%2520%255B111%255D%2520KENEMA%2520DISTRICT%2520EASTERN%2520REGION.JPG,2-4,"Kenema District, Eastern Region",Paramount Chief
P.C Joseph Ali Kavura Kongomoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520JOSEPH%2520ALI%2520KAVURA%2520KONGOMOH%2520%255B11%255D%2520%2520MOYAMBA.JPG,2-4,"Moyamba District, Southern Region",Paramount Chief
P.C Sheku A.T Fasuluku,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520SHEKU%2520AMADU%2520TEJAN%2520FASULUKU%2520SONSIAMA%2520%255B11%255D%2520KONO%2520DISTRICT.JPG,2-4,"Sonsiama III, Kono District",Paramount Chief
P.C Alex M.J.J. Kainpumu II,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520ALEX%2520M.J.J%2520KAINPUMU%255B%252011%255D%2520BONTHE%2520DISTRICT%2520ID.JPG,2-4,"Bonthe District, Southern Region",Paramount Chief
P.C Alie B. Marah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520ALIE%2520.B.%2520MARRAH%2520KOINADUGU%2520DISTRICT.JPG,2-4,"Koinadugu District, Northern Region",Paramount Chief
P.C Prince Lappia Boima III,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520%2520ALEX%2520M.JJ.%2520KAINPUMU%2520%255B11%255D%2520BONTH%2520DISTRICT%2520SOUTHERN.JPG,2-4,"Bo District, Southern Region",Paramount Chief
P.C Mohamed Sama,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520OHAMED%2520SAMA%2520KAILONDO%2520BANYA%25201V%2520KAILAHUN%2520DISTRICT.JPG,2-4,"Kailondo Banya IV, Kailhun District",Paramount Chief
P.C Victor Brima Kebbie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520VITOR%2520KEBBIE%2520PUJEHUN%2520DISTRICT.JPG,2-4,"Pujehun District, Southern Region",Paramount Chief
P.C Bai Kurr Kanagbaro,http://www.parliament.gov.sl/dnn5/Portals/0/2014%2520DOCUMENT/MPS%2520PICTURES/HON%2520PC%2520BAI%2520KURR%2520KANGBARO%2520SANKA%2520III.JPG,2-4,"Sanka III, Tonkolili District",Paramount Chief
