id,type,start_date,name__fr,name__en,name__zh,name__zh_hant,name__ja,name__pl,identifier__freebase,replaces,name__ru,name__bn,name__ms,name__vi,end_date,replaced_by,name__zh_cn,name__ar,name__de,name__it,name__nl,name__sc,name__ca,name__zh_hans,name__en_ca,name__en_gb,website,name__zh_hk,name__zh_sg,name__sv,name__zh_tw,name__id,name__gd,identifier__geonames
Q2973816,division of the Australian House of Representatives,1922,circonscription de Reid,Reid,瑞德 (澳大利亞國會選區),,,Okręg wyborczy Reid,/m/06rrwt,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973820,division of the Australian House of Representatives,1901,circonscription de Robertson,Robertson,羅伯森 (澳大利亞國會選區),,,Okręg wyborczy Robertson,/m/06n_68,,,,,,,,,,Wahlbezirk Robertson,,,,,,,,,,,,,,,
Q2973824,division of the Australian House of Representatives,1984,circonscription de Ryan,Ryan,賴恩 (澳大利亞國會選區),,,Okręg wyborczy Ryan,/m/05tcpq,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973832,division of the Australian House of Representatives,1968,circonscription de Scullin,Scullin,斯卡林 (澳大利亞國會選區),,,Okręg wyborczy Scullin,/m/06rdj6,Darebin,,,,,,,,,,,,,,,,,,,,,,,,
Q2973851,division of the Australian House of Representatives,1949,circonscription de Shortland,Shortland,蘇特蘭 (澳大利亞國會選區),,,Okręg wyborczy Shortland,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973852,division of the Australian House of Representatives,2000,circonscription de Solomon,Solomon,所羅門 (澳大利亞國會選區),所羅門,,,,Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,
Q2973853,division of the Australian House of Representatives,1955,circonscription de Stirling,Stirling,斯特靈 (澳大利亞國會選區),斯特靈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973854,division of the Australian House of Representatives,1949,circonscription de Sturt,Sturt,史都華 (澳大利亞國會選區),史都華,,Okręg wyborczy Sturt,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973857,division of the Australian House of Representatives,1901,circonscription de Swan,Swan,斯旺 (澳大利亞國會選區),斯旺,,Okręg wyborczy Swan,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973863,division of the Australian House of Representatives,1901,circonscription de Sydney Nord,North Sydney,北悉尼 (澳大利亞國會選區),,,Okręg wyborczy North Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973868,division of the Australian House of Representatives,1974,circonscription de Tangney,Tangney,譚格尼 (澳大利亞國會選區),譚格尼,,Okręg wyborczy Tangney,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973885,division of the Australian House of Representatives,1901,circonscription de Wannon,Wannon,旺農 (澳大利亞國會選區),,,Okręg wyborczy Wannon,/m/06n7yj,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973888,division of the Australian House of Representatives,1992,circonscription de Watson,Watson,沃森 (澳大利亞國會選區),,,Okręg wyborczy Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973891,division of the Australian House of Representatives,1901,circonscription de Wentworth,Wentworth,溫特沃思 (澳大利亞國會選區),溫特沃思,,Okręg wyborczy Wentworth,,,,,,Đơn vị bầu cử Wentworth,,,温特沃斯,ونتوورث,,divisione di Wentworth,Wentworth,divisione de Wentworth,Wentworth,,,,,,,,,,,
Q2973900,division of the Australian House of Representatives,1903,circonscription de Wilmot,Wilmot,,威爾莫特選區,,,,Tasmania,,,,,1984,Lyons,威尔莫特选区,,,,,,,威尔莫特选区,,,,,,,,,,
Q2973901,division of the Australian House of Representatives,1901,circonscription de Werriwa,Werriwa,韋里瓦,韋里瓦,,Okręg wyborczy Werriwa,,,,,,,,,,,Werriwa,,,,,韦里瓦,,,,,,,,,,
Q2973903,division of the Australian House of Representatives,1901,circonscription de Wide Bay,Wide Bay,懷德灣 (澳大利亞國會選區),,,Okręg wyborczy Wide Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973906,division of the Australian House of Representatives,1949,circonscription de Wills,Wills,威爾斯 (澳大利亞國會選區),,,Okręg wyborczy Wills,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973913,division of the Australian House of Representatives,1901,Circonscription de Yarra,Yarra,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q2973915,division of the Australian House of Representatives,2009,circonscription de Wright,Wright,萊特 (澳大利亞國會選區),,,Okręg wyborczy Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2973933,division of the Australian House of Representatives,1993,circonscription de la Riverina,Riverina,瑞福利納 (澳大利亞國會選區),,,Okręg wyborczy Riverina,/m/06n75s,Riverina-Darling,,,,,,,,,Wahlbezirk Riverina,,,,,,,,,,,,,,,
Q3032417,division of the Australian House of Representatives,1949,circonscription de Kingston,Kingston,金斯敦,金斯敦,,Okręg wyborczy Kingston,,,,,,,,,,كينغستون,,,,,,,,,,,,,,,,
Q368340,division of the Australian House of Representatives,1969,circonscription de Cook,Cook,庫克,庫克,,Okręg wyborczy Cook,/m/0440fv,,,,,,,,,,Cook,divisione di Cook,Cook,divisione de Cook,,,,,,,,,,,,
Q427232,division of the Australian House of Representatives,1901,,Bland,,,,,,,,,,,1906,,,,,divisione di Bland,Division of Bland,divisione de Bland,,,,,,,,,,,,
Q47485973,division of the Australian House of Representatives,1901,,Riverina,,,,,,,,,,,1984,Riverina-Darling,,,,,,,,,,,,,,,,,,
Q509342,division of the Australian House of Representatives,1984,circonscription de Dobell,Dobell,多貝爾,多貝爾,,Okręg wyborczy Dobell,/m/0441b8,,,,,,,,,,,divisione di Dobell,Dobell,divisione de Dobell,,,,,,,,,,,,
Q5284488,division of the Australian House of Representatives,1949,,Angas,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,,,
Q5284489,division of the Australian House of Representatives,1903,,Angas,,,,,,South Australia,,,,,1934,,,,,,,,,,,,,,,,,,,
Q5284491,division of the Australian House of Representatives,1949,,Australian Capital Territory,,,,,,,,,,,1974,Canberra,,,,,,,,,,,,,,,,,,
Q5284492,division of the Australian House of Representatives,1901,,Balaclava,,,,,,,,,,,1984,Goldstein,,,Balaclava,,,,,,,,,,,,,,,
Q5284493,division of the Australian House of Representatives,1901,,Barrier,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,
Q5284495,division of the Australian House of Representatives,1901,,Bourke,,,,,,,,,,,1949,Burke,,,,,,,,,,,,,,,,,,
Q5284496,division of the Australian House of Representatives,1955,,Bonython,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,
Q5284499,division of the Australian House of Representatives,1949,,Burke,,,,,,Bourke,,,,,1955,,,,,,,,,,,,,,,,,,,
Q5284500,division of the Australian House of Representatives,1969,,Burke,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,
Q5284501,division of the Australian House of Representatives,1901,,Canobolas,,,,,,,,,,,1906,Calare,,,Canobolas,,,,,,,,,,,,,,,
Q5284505,division of the Australian House of Representatives,1901,,Coolgardie,,,,,,,,,,,1913,,,,,,,,,,,,,,,,,,,
Q5284506,division of the Australian House of Representatives,1906-12-12,,Cook,,,,,,,,,,,1955-11-07,,,,,,,,,,,,,,,,,,,
Q5284508,division of the Australian House of Representatives,1901,,Corinella,,,,,,,,,,,1906,,,,,,,,,,,,,,,,,,,
Q5284509,division of the Australian House of Representatives,1949,circonscription de Chisholm,Chisholm,奇澤姆,奇澤姆,,Okręg wyborczy Chisholm,,,,,,,,,,,,,,,,奇泽姆,,,,,,,,,,
Q5284510,division of the Australian House of Representatives,1990,,Corinella,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,,
Q5284512,division of the Australian House of Representatives,1949,,Darebin,,,,,,,,,,,1969,Scullin,,,,,,,,,,,,,,,,,,
Q5284513,division of the Australian House of Representatives,1901,,Dalley,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284514,division of the Australian House of Representatives,1913,,Dampier,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,
Q5284515,division of the Australian House of Representatives,1901,,Darling,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,,,
Q5284516,division of the Australian House of Representatives,1901,,Darling Downs,,,,,,,,,,,1984,Groom,,,,,,,,,,,,,,,,,,
Q5284517,division of the Australian House of Representatives,1903,circonscription de Darwin,Darwin,,,,,,Tasmania,,,,,1955,Braddon,,,,,,,,,,,,,,,,,,
Q5284519,division of the Australian House of Representatives,1969,,Diamond Valley,,維多利亞州鑽石谷選區,,,,,,,,,1984,Jagajaga,维多利亚州钻石谷选区,,,,,,,维多利亚州钻石谷选区,,,,,,,,,,
Q5284520,division of the Australian House of Representatives,1977,,Dundas,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,,
Q5284521,division of the Australian House of Representatives,1901,,East Sydney,,,,,,,,,,,1969,,,,East Sydney,,,,,,Division of East Sydney,Division of East Sydney,,,,,,,,
Q5284522,division of the Australian House of Representatives,1901,,Echuca,,伊丘卡選區議員,,,,,,,,,1937,,伊丘卡选区议员,,,,,,,伊丘卡选区,,,,,,,,,,
Q5284523,division of the Australian House of Representatives,1949,,Evans,,新南威爾士州埃文斯選區,,,,,,,,,1977,,新南威尔士州埃文斯选区,إيفانز,,,,,,新南威尔士州埃文斯选区,,,,,,,,,,
Q5284525,division of the Australian House of Representatives,1906,,Fawkner,,,,,,Southern Melbourne,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284528,division of the Australian House of Representatives,1901,,Grampians,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,
Q5284529,division of the Australian House of Representatives,1901,,Gwydir,,,,Okręg wyborczy Gwydir,,,,,,,2007,,,,,,,,,,,,,,,,,,,
Q5284530,division of the Australian House of Representatives,1913,,Henty,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,
Q5284531,division of the Australian House of Representatives,1969,,Hawker,,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,,
Q5284532,division of the Australian House of Representatives,1949,,Higinbotham,,,,,,,,,,,1969,Hotham,,,,,,,,,,,,,,,,,,
Q5284534,division of the Australian House of Representatives,1949,,Hoddle,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,
Q5284535,division of the Australian House of Representatives,1901,,Illawarra,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,
Q5284538,division of the Australian House of Representatives,1949,,Isaacs,,,,Okręg wyborczy Isaacs,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284539,division of the Australian House of Representatives,1901,,Kalgoorlie,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,
Q5284541,division of the Australian House of Representatives,1901,,Laanecoorie,,,,,,,,,,,1913,,,,,,,,,,,,,,,,,,,
Q5284542,division of the Australian House of Representatives,1901,,Lang,,,,,,,,,,,1977,,,لانغ,,,,,,,,,,,,,,,,
Q5284544,division of the Australian House of Representatives,1949,,Lawson,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284551,division of the Australian House of Representatives,1901,,Mernda,,,,,,,,,,,1913,,,,,,,,,,,,,,,,,,,
Q5284552,division of the Australian House of Representatives,1901,,Moira,,,,,,,,,,,1906,,,,,,,,,,,,,,,,,,,
Q5284553,division of the Australian House of Representatives,1996,,Namadgi,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,
Q5284554,division of the Australian House of Representatives,1906,,Nepean,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,
Q5284555,division of the Australian House of Representatives,1901,,Northern Melbourne,,,,,,,,,,,1906,Batman,,,,,,,,,,,,,,,,,,
Q5284556,division of the Australian House of Representatives,1922,,Northern Territory,,,,,,,,,,,2001,Lingiari,,,,,,,,,,,,,,,,,,
Q5284557,division of the Australian House of Representatives,1901,,Oxley,,,,Okręg wyborczy Oxley,,,,,,,1934,Griffith,,,,,,,,,,,,,,,,,,
Q5284558,division of the Australian House of Representatives,1901,,Parkes,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284559,division of the Australian House of Representatives,1949,,Phillip,,新南威爾士州菲利普選區,,,,,,,,,1993,,新南威尔士州菲利普选区,,,,,,,新南威尔士州菲利普选区,,,,,,,,,,
Q5284560,division of the Australian House of Representatives,1969,,Prospect,,,,,,,,,,,2010,McMahon,,,,,,,,,,,,,,,,,,
Q5284562,division of the Australian House of Representatives,1984,,Riverina-Darling,,,,,,Riverina,,,,,1993,Riverina,,,,,,,,,,,,,,,,,,
Q5284563,division of the Australian House of Representatives,1955,,Scullin,,,,Okręg wyborczy Scullin,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284565,division of the Australian House of Representatives,1901,,Southern Melbourne,,,,,,,,,,,1906,Fawkner,,,,,,,,,,,,,,,,,,
Q5284566,division of the Australian House of Representatives,1901,,South Australia,,,,,,,,,,,1903-12-15,Adelaide,,,South Australia,,,,,,,,,,,,,,,
Q5284568,division of the Australian House of Representatives,1901,,South Sydney,,,,,,,,,,,1934,Watson,,,South Sydney,,,,,,,,,,,,,,,
Q5284570,division of the Australian House of Representatives,1949,,St George,,,,,,,,,,,1993,Watson,,,,,,,,,,,,,,,,,,
Q5284571,division of the Australian House of Representatives,1984,,Streeton,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,
Q5284572,division of the Australian House of Representatives,1901,,Tasmania,,,,,,,,,,,1903,Bass,,,,,,,,,,,,,,,,,,
Q5284574,division of the Australian House of Representatives,1934,,Watson,,,,Okręg wyborczy Watson,,South Sydney,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284575,division of the Australian House of Representatives,1901,,West Sydney,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,
Q5284576,division of the Australian House of Representatives,1901,,Wimmera,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,,,
Q550273,division of the Australian House of Representatives,1949,circonscription de Leichhardt,Leichhardt,萊卡特,,,Okręg wyborczy Leichhardt,/m/04jdc8,,,,,,,,,,Leichhardt (Wahlkreis),,,,,,,,,,,,,,,
Q55609742,division of the Australian House of Representatives,2019,,Clark,,,,,,Denison,,,,,,,,,,,,,,,,,,,,,,,,
Q55887412,division of the Australian House of Representatives,2019-05-18,,Spence,,,,,,Wakefield,,,,,,,,,,,,,,,,,https://www.aec.gov.au/profiles/sa/spence.htm,,,,,,,
Q56040740,division of the Australian House of Representatives,2019,,Macnamara,,,,,,Melbourne Ports,,,,,,,,,,,,,,,,,,,,,,,,
Q56040847,division of the Australian House of Representatives,2019,,Cooper,,,,,,Batman,,,,,,,,,,,,,,,,,,,,,,,,
Q56040910,division of the Australian House of Representatives,2019,,Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q56040976,division of the Australian House of Representatives,2019,,Monash,,,,,,McMillan,,,,,,,,,,,,,,,,,,,,,,,,
Q56041034,division of the Australian House of Representatives,2019,,Nicholls,,,,,,Murray,,,,,,,,,,,,,,,,,,,,,,,,
Q56041098,division of the Australian House of Representatives,2019,,Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q577770,division of the Australian House of Representatives,1992,circonscription de Paterson,Paterson,帕特森,,,Okręg wyborczy Paterson,/m/06rnvv,,,,,,,,,,Paterson,,,,,,,,,,,,,,,
Q666416,division of the Australian House of Representatives,1949,circonscription de Lowe,Lowe,,勞選區議員,,,,,,,,,2010,,劳选区议员,,Division of Lowe,,,,,劳选区议员,,,,,,,,,,
Q784520,division of the Australian House of Representatives,1903,circonscription de Denison,Denison,丹尼生,丹尼生,,Okręg wyborczy Denison,,Tasmania,,,,,2019,Clark,,,,,,,,,,,,,,,,,,
Q817830,division of the Australian House of Representatives,1949,circonscription de Bennelong,Bennelong,本尼朗 (澳大利亞國會選區),本尼朗,,Okręg wyborczy Bennelong,/m/04408s,,,,,,,,,,Bennelong (Wahlkreis),divisione di Bennelong,Bennelong,divisione de Bennelong,Bennelong,本尼朗,,,,,,,,,,
Q897736,division of the Australian House of Representatives,1984,circonscription de Brand,Brand,布蘭德 (澳大利亞國會選區),布蘭德,,,/m/043_vb,,,,,,,,,,Brand (Wahlkreis),,,,,,,,,,,,,,,
Q917665,division of the Australian House of Representatives,1901,circonscription de Brisbane,Brisbane,布里斯班 (澳大利亞國會選區),,,Okręg wyborczy Brisbane,/m/049_gt,,,,,,,,,,Brisbane,,,,,,,,,,,,,,,
Q918989,division of the Australian House of Representatives,1949,circonscription de Mackellar,Mackellar,麥凱勒,麥凱勒,,Okręg wyborczy Mackellar,/m/06rq6m,,,,,,,,,,Curtin,,,,,,,,,,,,,,,
Q924832,division of the Australian House of Representatives,1955,circonscription de Braddon,Braddon,布萊登,布萊登,,,,Darwin,,,,,,,,,,,,,,,,,,,,,,,,
Q966318,division of the Australian House of Representatives,1901,circonscription de Newcastle,Newcastle,紐卡斯爾,紐卡斯爾,,Okręg wyborczy Newcastle,/m/06n_v_,,,,,,,,,,,,,,,纽卡斯尔,,,,紐卡素,,,,,,
