id,name,image,area,area_id,party,party_id,term,source,last_seen
417,PÉREZ LINARES CONRADO ANTONIO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_40c8a6f17cd1480bb6bf8d01023d13c6e14bb013.jpg,Trujillo,3,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/417,2016-07-28
418,VALERO MONCADA MILAGRO DE,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c5e0d0d4bffeab7b8bdd712b3451a46c945db017.jpg,Mérida,14,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/418,2016-07-28
419,ALCALÁ ARELLÁN ROBERT JOSÉ,http://www.asambleanacional.gob.ve/uploads/diputado/dip_00944f4c457f5fa03b9044544b167fd2ee592af9.jpg,Sucre,9,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/419,2016-07-28
420,SIRIT ELIÉZER RAMÓN,http://www.asambleanacional.gob.ve/uploads/diputado/dip_c2cfb4638756d25dcee465ff09dc49f212ed39a3.jpg,Falcón,16,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/420,2016-07-28
421,VALERA MEDINA FREDDY RAFAEL,http://www.asambleanacional.gob.ve/uploads/diputado/dip_95c02a6954ded63644fc57dadeaff8200e541d2c.jpg,Bolivar,17,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/421,2016-07-28
422,SUPERLANO ADOLFO RAMÓN,http://www.asambleanacional.gob.ve/images/frontend/varios/sinfoto_diputado.jpg,Barinas,21,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/422,2016-07-28
423,BRACHO PARRA NORA CECILIA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_14e6c06fb9ad95169838054528afc92ff361419c.jpg,Zulia,15,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/423,2016-07-28
424,BERRIZBEITIA GILIBERTI CARLOS EDUARDO,http://www.asambleanacional.gob.ve/uploads/diputado/dip_70496e01c42621fbdabc1aaba4e6b39c4eeb3d3a.jpg,Carabobo,6,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/424,2016-07-28
425,MAGALLANES DE LONGONI MARIELA,http://www.asambleanacional.gob.ve/uploads/diputado/dip_7953f5de39e2f599f511e61b44d7718d596b55d6.jpg,Aragua,2,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/425,2016-07-28
426,GONZÁLEZ MONTAÑO IVÁN STALIN,http://www.asambleanacional.gob.ve/uploads/diputado/dip_fd77e227b404a30c9188ad1b36725f658dbf8b07.jpg,Distrito Capital,5,MUD,21,4,http://www.asambleanacional.gob.ve/diputado/id/426,2016-07-28
