id,name,name__ru,party,party__ru,image,term,source
31665,Mombekov Ryskeldi CHynybekovich,Момбеков Рыскелди Чыныбекович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31665-Mombekov_Ryskeldi_CHynybekovich__Frakciya_SDPK.aspx
31681,Musabekova ZHyldyz Amanbekovna,Мусабекова Жылдыз Аманбековна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31681-Musabekova_ZHyldyz_Amanbekovna__Frakciya_SDPK.aspx
35640,Nazarov Ajtmamat Koshoevich,Назаров Айтмамат Кошоевич,Kyrgyzstan,«Кыргызстан»,"",6,http://www.kenesh.kg/RU/Articles/35640-Nazarov_Ajtmamat_Koshoevich__Frakciya_Kyrgyzstan.aspx
31684,Nikitenko Natalya Vladimirovna,Никитенко Наталья Владимировна,Ata Meken,"""Ата Мекен""","",6,http://www.kenesh.kg/RU/Articles/31684-Nikitenko_Natalya_Vladimirovna__Frakciya_Ata_Meken.aspx
31688,Nishanov Nurgazy Nurlanovich,Нишанов Нургазы Нурланович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31688-Nishanov_Nurgazy_Nurlanovich_Frakciya_Respublika__Ata_ZHurt.aspx
31694,Nurbaev Abdyvaxap Mamadrasulovich,Нурбаев Абдывахап Мамадрасулович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31694-Nurbaev_Abdyvaxap_Mamadrasulovich__Frakciya_SDPK.aspx
31695,Nurmatov Kubanychbek Sovetovich,Нурматов Кубанычбек Советович,Kyrgyzstan,"""Кыргызстан""","",6,http://www.kenesh.kg/RU/Articles/31695-Nurmatov_Kubanychbek_Sovetovich__Frakciya_Kyrgyzstan.aspx
31697,Nyshanov Sajdulla Kanbolotovich,Нышанов Сайдулла Канболотович,Ata Meken,"""Ата Мекен""","",6,http://www.kenesh.kg/RU/Articles/31697-Nyshanov_Sajdulla_Kanbolotovich__Frakciya_Ata_Meken.aspx
31698,Omurbekova Altynaj Sejtbekovna,Омурбекова Алтынай Сейтбековна,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31698-Omurbekova_Altynaj_Sejtbekovna__Frakciya_Respublika__Ata_ZHurt.aspx
31699,Omurkulov Isa SHejshenkulovich,Омуркулов Иса Шейшенкулович,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31699-Omurkulov_Isa_SHejshenkulovich_Frakciya_SDPK.aspx
31653,Ormonov Ulugbek Zulpukarovich,Ормонов Улугбек Зулпукарович,Bir Bol,"""Бир Бол""","",6,http://www.kenesh.kg/RU/Articles/31653-Ormonov_Ulugbek_Zulpukarovich__Frakciya_Bir_Bol.aspx
31701,Orozova Karamat Babashevna,Орозова Карамат Бабашевна,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31701-Orozova_Karamat_Babashevna__Frakciya_SDPK.aspx
31702,Pirmatov Isxak Ajtbaevich,Пирматов Исхак Айтбаевич,Bir Bol,"""Бир Бол""",http://www.kenesh.kg/MyFiles/image/%D0%9F%D0%B8%D1%80%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%20%D0%98.%20%D0%90.(1).jpg,6,http://www.kenesh.kg/RU/Articles/31702-Pirmatov_Isxak_Ajtbaevich__Frakciya_Bir_Bol.aspx
31703,Primov Ulan Berdibaevich,Примов Улан Бердибаевич,SDPK,СДПК,"",6,http://www.kenesh.kg/RU/Articles/31703-Primov_Ulan_Berdibaevich__Frakciya_SDPK.aspx
31704,Rajymkulov Baktybek Kemelbekovich,Райымкулов Бактыбек Кемелбекович,Respublika Ata ZHurt,"""Республика - Ата Журт""","",6,http://www.kenesh.kg/RU/Articles/31704-Rajymkulov_Baktybek_Kemelbekovich__Frakciya_Respublika__Ata_ZHurt.aspx
