id,name,position_id,position,label,start_date,end_date,ordinal
Q983508,Phil Hogan,Q983508-2F9D7DD5-D96B-47F3-A807-E2FE5D58404D,Q6866004,"Minister for Housing, Planning and Local Government",2011-03-09,2014-07-11,0
Q983508,Phil Hogan,Q983508-91433c95-4744-498c-b968-927acf969e5e,Q957986,European Commissioner for Agriculture and Rural Development,2014-11-01,"",0
Q995633,Michael Woods,Q995633-07C9AC3B-8E1B-4928-AA59-B4AA7629C5FE,Q6865750,"Minister for Agriculture, Food and the Marine",1991-11-14,1992-02-11,0
Q995633,Michael Woods,Q995633-9C481947-5812-4301-89B9-2A4616336633,Q6865770,"Minister for Communications, Energy and Natural Resources",1992-02-11,1993-01-12,0
Q995633,Michael Woods,Q995633-560D36E7-20FB-4E55-BCC8-0E2C562A2D2D,Q6865770,"Minister for Communications, Energy and Natural Resources",1997-06-26,2000-01-27,0
Q995633,Michael Woods,Q995633-7E9DE52E-D6E3-497C-B0B1-6BA56BC840D3,Q6865816,Minister for Education and Skills,2000-01-27,2002-06-06,0
Q995633,Michael Woods,Q995633-23090a7d-4828-2dbf-d340-6357ecd742ab,Q6865864,Minister for Health,1979-12-12,1981-06-30,0
Q995633,Michael Woods,Q995633-c55d07c2-439e-2f57-99ea-3b44a6c5a372,Q6865864,Minister for Health,1982-03-09,1982-12-14,0
Q995633,Michael Woods,Q995633-f6109367-4afc-c7a5-180d-eb19c7931033,Q6865864,Minister for Health,1994-11-17,1994-12-15,0
Q995633,Michael Woods,Q995633-bb6e17ba-4d75-58dc-dbe9-1933a8fd56f6,Q6865958,Minister for Social Protection,1979-12-12,1981-06-30,0
Q995633,Michael Woods,Q995633-986b8b9a-41cf-8083-31f5-424c7366f2e1,Q6865958,Minister for Social Protection,1982-03-09,1982-12-14,0
Q995633,Michael Woods,Q995633-f4f91a27-4a97-8043-869f-29c485bb791b,Q6865958,Minister for Social Protection,1987-03-10,1991-11-13,0
Q995633,Michael Woods,Q995633-60E8EBF1-9DAF-4D47-987B-524B4562551A,Q6865958,Minister for Social Protection,1993-01-12,1994-12-15,0
Q999706,Vincent Brady,Q999706-174E900E-F3B8-4EDB-BE25-E6624F07EC21,Q6865781,Minister for Defence,1991-11-14,1992-02-11,0
