id,type,name__en,name__mr,name__hi,name__or,name__ar,name__pa,name__ta,name__as,name__bn,name__nl,identifier__quora,name__mai,name__zh_hant,name__zh_cn,name__it,name__fr,name__zh,start_date,name__te,name__ur,end_date,name__zh_hans,name__pt,name__es,name__de,name__ru,name__ko,name__ja,name__gu,name__kn,replaces,name__sa,identifier__lcauth,name__fa,name__ml,identifier__viaf,name__ne,name__ms,name__en_ca,name__en_gb,name__ca,identifier__britannica,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,replaced_by,name__bho,identifier__geonames,identifier__bnf,identifier__gnd
Q3534088,Lok Sabha constituency,Arakkonam Lok Sabha constituency,अरक्कोणम,अर्कोनम लोक सभा निर्वाचन क्षेत्र,ଅରକ୍କୋନମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,அரக்கோணம்,,,Arakkonam,,,,,,,,,,,,,,,Lok-Sabha-Wahlkreis Arakkonam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534098,Lok Sabha constituency,Vellore Lok Sabha constituency,वेल्लोर,वेल्लौर लोक सभा निर्वाचन क्षेत्र,ଭେଲ୍ଲୋର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,வேலூர்,,,,,,,,,,,,,,,,,,Lok-Sabha-Wahlkreis Vellore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534106,Lok Sabha constituency,Mayiladuturai Lok Sabha constituency,मयिलादुतुराई,मयिलादुतुरई लोक सभा निर्वाचन क्षेत्र,ମୟିଲାଦୁତୁରାଇ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,மயிலாடுதுறை,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534118,Lok Sabha constituency,Coimbatore Lok Sabha constituency,कोइम्बतुर,कोयम्बटूर लोक सभा निर्वाचन क्षेत्र,କୋୟମ୍ବଟୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கோயம்புத்தூர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534127,Lok Sabha constituency,Virudhunagar Lok Sabha constituency,शिवकाशी,विरुधुनगर लोक सभा निर्वाचन क्षेत्र,ବିରୁଧୁନଗର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,விருதுநகர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534136,Lok Sabha constituency,Sivaganga Lok Sabha constituency,शिवगंगा,शिवगंगा लोक सभा निर्वाचन क्षेत्र,ଶିବଗଙ୍ଗା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,சிவகங்கை,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534177,Lok Sabha constituency,Nilgiris Lok Sabha constituency,निलगिरी,नीलगिरि लोक सभा निर्वाचन क्षेत्र,ନୀଳଗିରି ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,நீலகிரி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534183,Lok Sabha constituency,Pudukkottai Lok Sabha constituency,पुदुकोट्टाई,,,,,புதுக்கோட்டை,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534197,Lok Sabha constituency,Sriperumbudur Lok Sabha constituency,श्रीपेरुम्बुदुर,श्रीपेरूम्बुदूर लोक सभा निर्वाचन क्षेत्र,ଶ୍ରୀପରମ୍ବୁଦୂର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,திருப்பெரும்புதூர்,,,,,,,,,,,,,,,,,,Lok-Sabha-Wahlkreis Sriperumbudur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534206,Lok Sabha constituency,Thoothukudi Lok Sabha Constituency in Tamil Nadu,तूतुकुडी भारताच्या तमिळनाडू राज्यातील एक लोकसभा मतदारसंघ,थूथुक्कुडी,ଥୂଥୁକ୍କୁଡ଼ୀ,,,தூத்துக்குடி தமிழ்நாடு மக்களவைத் தொகுதி,,টুতিকোরিন লোকসভা কেন্দ্র,Thoothukudi Tamil Nadu Lok Sabha kiesdistrict,,,,,,,,,టుటికోరిన్ తమిళనాడు లోక్సభ నియోజకవర్గం,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534214,Lok Sabha constituency,Perambalur Lok Sabha constituency,पेराम्बलुर,पैरम्बलूर लोक सभा निर्वाचन क्षेत्र,ପେରମ୍ବଲୂର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,பெரம்பலூர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534217,Lok Sabha constituency,Pollachi Lok Sabha constituency,पोल्लाची,पोल्लाची लोक सभा निर्वाचन क्षेत्र,ପୋଲ୍ଲାଚୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,பொள்ளாச்சி,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534221,Lok Sabha constituency,Cuddalore Lok Sabha constituency,कड्डलोर,कुड्डालोर लोक सभा निर्वाचन क्षेत्र,କୁଡ୍ଡାଲୋର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கடலூர்,,,Cuddalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534230,Lok Sabha constituency,Thanjavur Lok Sabha constituency,तंजावर,तंजावूर लोक सभा निर्वाचन क्षेत्र,ତାଞ୍ଜାବୂର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,தஞ்சாவூர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3534247,Lok Sabha constituency,Tirupattur Lok Sabha constituency,तिरुप्पट्टुर,,,,,திருப்பத்தூர்,,,,Tirupattur,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595199,Lok Sabha constituency,Thrissur Lok Sabha constituency,थ्रिसुर,त्रिस्सूर लोक सभा निर्वाचन क्षेत्र,ତ୍ରିସୂର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,திருச்சூர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,തൃശ്ശൂർ ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595235,Lok Sabha constituency,Ponnani Lok Sabha constituency,पोन्नानी,पोन्नानी लोक सभा निर्वाचन क्षेत्र,ପୋନ୍ନାନୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,பொன்னானி,,,Ponnani,,,,,,,,,,,,,,,,,,,,,,,,,പൊന്നാനി ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595239,Lok Sabha constituency,Kozhikode Lok Sabha Constituency,कोळिकोड,कोष़िक्कोड लोक सभा निर्वाचन क्षेत्र,କୋଷିକୋଡ଼େ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கோழிக்கோடு,,,,,,,,,,,,,,,,,,,,,,,,,,,,കോഴിക്കോട് ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595248,Lok Sabha constituency,Chalakudy Lok Sabha constituency,मुकुंदपुरम,चालाकुडी लोक सभा निर्वाचन क्षेत्र,ଚାଲାକୁଡ଼ୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,சாலக்குடி மக்களவைத் தொகுதி,,,,,,,,,,,,,,,,,,,,,,,,,,,,ചാലക്കുടി ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595257,Lok Sabha constituency,Kasaragod Lok Sabha constituency,कासारगोड,कासरगोड लोक सभा निर्वाचन क्षेत्र,କାସରଗୋଡ଼ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,காசர்கோடு,,,Kasaragod,,,,,,,,,,,,,,,,,,,,,,,,,കാസർഗോഡ് ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595261,Lok Sabha constituency,Kannur Lok Sabha constituency,कण्णुर,कन्नूर लोक सभा निर्वाचन क्षेत्र,କନ୍ନୂର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கண்ணூர்,,,,,,,,,,,,,,,,,,,,,,,,,,,,കണ്ണൂർ ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595264,Lok Sabha constituency,Vadakara Lok Sabha constituency,वडकरा,वडकरा लोक सभा निर्वाचन क्षेत्र,ବଡକରା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,வடகரை,,,,,,,,,,,,,,,,,,,,,,,,,,,,വടകര ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595286,Lok Sabha constituency,Kollam Lok Sabha constituency,क्विलोन,कोल्लम लोक सभा निर्वाचन क्षेत्र,କୋଲ୍ଲମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கொல்லம்,,,,,,,,,,,,,,,,,,,,,,,,,,,,കൊല്ലം ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595483,Lok Sabha constituency,Mavelikara Lok Sabha constituency,मावेलीकरा,मवेलीकारा लोक सभा निर्वाचन क्षेत्र,ମବେଲୀକରା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,மாவேலிக்கரை,,,,,,,,,,,,,,,,,,,,,,,,,,,,മാവേലിക്കര ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595497,Lok Sabha constituency,Ernakulam Lok Sabha constituency,एर्नाकुलम,एर्णाकुलम लोक सभा निर्वाचन क्षेत्र,ଏର୍ଣ୍ଣାକୁଲମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,எர்ணாகுளம்,,,,,,,,,,,,,,,,,Ernakulam,,,,,,,,,,,എറണാകുളം ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595503,Lok Sabha constituency,Idukki Lok Sabha constituency,इडुक्की,इदुक्की लोक सभा निर्वाचन क्षेत्र,ଇଦୁକ୍କୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,இடுக்கி,,,,,,,,,,,,,,,,,,,,,,,,,,,,ഇടുക്കി ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595510,Lok Sabha constituency,Alappuzha Lok Sabha constituency,अलप्पुळा,अलप्पुझा लोक सभा निर्वाचन क्षेत्र,ଅଲପ୍ପୁଝା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஆலப்புழா,,,,,,,,,,,,,,,,,,,,,,,,,,,,ആലപ്പുഴ ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595511,Lok Sabha constituency,Palakkad Lok Sabha constituency,पालघाट,पलक्काड लोक सभा निर्वाचन क्षेत्र,ପଲକ୍କାଡ଼ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,பாலக்காடு மக்களவைத் தொகுதி,,,,,,,,,,,,పలక్కాడ్,,,,,,,,,,,,,,,,പാലക്കാട് ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3595519,Lok Sabha constituency,Kottayam Lok Sabha constituency,कोट्टायम,कोट्टायम लोक सभा निर्वाचन क्षेत्र,କୋଟ୍ଟାୟମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,கோட்டயம்,,,,,,,,,,,,కొట్టాయం,,,,,,,,,,,,,,,,കോട്ടയം ലോക് സഭാ നിയോജകമണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630009,Lok Sabha constituency,Nagarkurnool Lok Sabha constituency,नागरकुर्नूल,नगर कुरनूल लोक सभा निर्वाचन क्षेत्र,ନଗରକୁର୍ନୂଲ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,நாகர்‌கர்னூல்,,,,,,,,,,,,నాగర్ కర్నూల్ లోకసభ నియోజకవర్గం,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630014,Lok Sabha constituency,Adilabad Lok Sabha constituency,अदिलाबाद,अदीलाबाद लोक सभा निर्वाचन क्षेत्र,ଅଦୀଲାବାଦ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,அதிலாபாத்,,,,,,,,,,,,ఆదిలాబాదు లోకసభ నియోజకవర్గం,,,,,,,,,,,,,,,,ആദിലാബാദ്,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630032,Lok Sabha constituency,Bapatla Lok Sabha constituency,बापटला,बापतला लोक सभा निर्वाचन क्षेत्र,ବାପତଲା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,பாபட்ல,,,,,,,,,,,,బాపట్ల లోకసభ నియోజకవర్గం,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630204,Lok Sabha constituency,Amalapuram Lok Sabha Constituency,अमलापुरम,अमलापुरम लोक सभा निर्वाचन क्षेत्र,ଅମଲାପୁରମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,அமலாபுரம்,,,Amalapuram,,,,,,,,,అమలాపురం లోకసభ నియోజకవర్గం,,,,,,,,,,,ಅಮಲಾಪುರಂ,,,,,അമലാപുരം ലോക്സഭാ മണ്ഡലം,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630208,Lok Sabha constituency,Mahabubnagar Lok Sabha constituency,महबूबनगर,महबूबनगर लोक सभा निर्वाचन क्षेत्र,ମହବୂବନଗର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,மஹபூப்‌நகர்,,,,,,,,,,,,మహబూబ్ నగర్ లోకసభ నియోజకవర్గం,,,,,,,,,,,ಮಹಬೂಬ್‍ನಗರ,,,no99008478,,,235710205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630236,Lok Sabha constituency,Anakapalli Lok Sabha constituency,अनकापल्ली,अनकापल्ली लोक सभा निर्वाचन क्षेत्र,ଅନକାପଲ୍ଲୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,அனகாபல்லி,,,,,,,,,,,,అనకాపల్లి లోకసభ నియోజకవర్గం,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630239,Lok Sabha constituency,Anantapuramu Lok Sabha constituency,अनंतपूर,अनन्तपुर लोक सभा निर्वाचन क्षेत्र,ଅନନ୍ତପୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,அனந்தபுரம் மக்களவைத் தொகுதி,,,,,,,,,,,,అనంతపురం లోకసభ నియోజకవర్గం,,,,,,,,,,,ಅನಂತಪುರ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630242,Lok Sabha constituency,Hanamkonda Lok Sabha constituency,हनामकोंडा,हनमकोंडा,ହନମକୋଣ୍ଡା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,,,2008,,,,Hanamkonda,,,,,,,,,,,,हनमकोंडा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630669,Lok Sabha constituency,Muzaffarnagar Lok Sabha constituency,मुझफ्फरनगर,मुजफ्फरनगर लोक सभा निर्वाचन क्षेत्र,ମୁଜଫରନଗର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਮੁਜੱਫਰਨਗਰ ਲੋਕ ਸਭਾ ਹਲਕਾ,முசாபர்நகர்,,,,,,,,,,,,ముజఫర్‍నగర్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630705,Lok Sabha constituency,Varanasi Lok Sabha constituency,वाराणसी,वाराणसी लोक सभा निर्वाचन क्षेत्र,ବାରଣସୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਵਾਰਾਣਸੀ ਲੋਕ ਸਭਾ ਹਲਕਾ,வாரணாசி,,,Varanasi,,,,,,,,,వారణాసి,وارانسی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630725,Lok Sabha constituency,Ujjain Lok Sabha constituency,उज्जैन,उज्जैन लोक सभा निर्वाचन क्षेत्र,ଉଜ୍ଜଇନୀ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,ఉజైన్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630763,Lok Sabha constituency,Mandla Lok Sabha constituency,मंडला,मण्डला लोक सभा निर्वाचन क्षेत्र,ମାଣ୍ଡଲା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,మండ్ల,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3630783,Lok Sabha constituency,Sitapur Lok Sabha constituency,सीतापूर,सीतापुर लोक सभा निर्वाचन क्षेत्र,ସୀତାପୁର ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,ਸੀਤਾਪੁਰ ਲੋਕ ਸਭਾ ਹਲਕਾ,,,,Sitapur,,,,,,,,,సితాపుర్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632253,Lok Sabha constituency,Rajgarh Lok Sabha constituency,राजगढ,राजगढ़ लोक सभा निर्वाचन क्षेत्र,ରାଜଗଡ଼ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,রাজগড় লোকসভা কেন্দ্র,,,,,,,,,,రాజ్‍గఢ్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632303,Lok Sabha constituency,Singhbhum Lok Sabha constituency,सिंगभूम,सिंहभूम लोक सभा निर्वाचन क्षेत्र,ସିଂହଭୂମ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,சிங்பூம் மக்களவைத் தொகுதி,,,Singhbhum,,,,,,,,,సింగ్‍భూమ్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632585,Lok Sabha constituency,Hazaribagh Lok Sabha constituency,हजारीबाग,हजारीबाग लोक सभा निर्वाचन क्षेत्र,ହଜାରୀବାଗ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஹசாரிபாக் மக்களவைத் தொகுதி,,,,,,,,,,,,హజారిబాగ్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632592,Lok Sabha constituency,Almora Lok Sabha constituency,अलमोडा,अल्मोड़ा लोक सभा निर्वाचन क्षेत्र,ଅଲ୍ମୋରା ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,అల్మొర,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632604,Lok Sabha constituency,Arrah Lok Sabha constituency,अराह,आरा लोक सभा निर्वाचन क्षेत्र,ଆରାଃ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,ஆரா மக்களவைத் தொகுதி,,,,,,,,,,,,అర్ర,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632618,Lok Sabha constituency,Garhwal Lok Sabha constituency,गढवाल,गढ़वाल लोक सभा निर्वाचन क्षेत्र,ଗଡ଼ବାଲ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,గఢ్‍వాల్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3632662,Lok Sabha constituency,Durg Lok Sabha constituency,दुर्ग,दुर्ग लोक सभा निर्वाचन क्षेत्र,ଦୁର୍ଗ ଲୋକ ସଭା ନିର୍ବାଚନ ମଣ୍ଡଳୀ,,,,,,,,,,,,,,,దుర్గ్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
