id,position,label,description,start_date,constituency,term,election,end_date,replaced_by,replaces
Q1652493,Q42529900,Member of the 11th Lok Sabha,"","",South Delhi Lok Sabha constituency,,,,,
Q16556653,Q42509248,Member of the 16th Lok Sabha,"","",Jalore Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jalore Lok Sabha constituency,,,
Q16556653,Q56051771,Member of the 17th Lok Sabha,"","",Jalore Lok Sabha constituency,17th Lok Sabha,,,,
Q16604114,Q13119774,Member of the Maharashtra Legislative Assembly,political position in India,"",,,,,,
Q16604114,Q42509248,Member of the 16th Lok Sabha,"","",Palghar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Palghar Lok Sabha constituency,2018-01-30,Rajendra Gavit,
Q16604114,Q42510875,Member of the 13th Lok Sabha,"","",Dahanu Lok Sabha constituency,,,,,
Q16727502,Q42509248,Member of the 16th Lok Sabha,"","",Balaghat Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Balaghat Lok Sabha constituency,,,
Q16727503,Q42509248,Member of the 16th Lok Sabha,"","",Dhule Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Dhule Lok Sabha constituency,,,
Q16727503,Q56051771,Member of the 17th Lok Sabha,"","",Dhule Lok Sabha constituency,17th Lok Sabha,,,,
Q16728004,Q42509248,Member of the 16th Lok Sabha,"","",Jamui Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Jamui (sc) Lok Sabha constituency,,,
Q16728004,Q56051771,Member of the 17th Lok Sabha,"","",Jamui Lok Sabha constituency,17th Lok Sabha,,,,
Q16728021,Q24457068,Member of the Bihar Legislative Assembly,political position in India,"",,,,,,
Q16728021,Q42509248,Member of the 16th Lok Sabha,"","",Buxar Lok Sabha constituency,16th Lok Sabha,2014 Indian general election in Buxar Lok Sabha constituency,,,
Q16728021,Q56051771,Member of the 17th Lok Sabha,"","",Buxar Lok Sabha constituency,17th Lok Sabha,,,,
Q16728047,Q17582810,Member of the Gujarat Legislative Assembly,political position in India,"",,,,,,
