name,name_mn,party,constituency,term,wikipedia,source
Luvsanvandangiin Bold,Лувсанвандангийн Болд,Democratic Party,Ulan Bator — Baganuur•Bagakhangai•Khan-Uul,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsogtyn Batbayar,Цогтын Батбаяр,Mongolian People's Party,Ulan Bator — Bayanzürkh•Nalaikh,2008,http://en.wikipedia.org/wiki/Tsogtyn_Batbayar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Davaajavyn Gankhuyag,Даваажавын Ганхуяг,Democratic Party,Ulan Bator — Bayanzürkh•Nalaikh,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Chimediin Saikhanbileg,Чимэдийн Сайханбилэг,Democratic Party,Ulan Bator — Bayanzürkh•Nalaikh,2008,http://en.wikipedia.org/wiki/Chimediin_Saikhanbileg,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Zorigiin Altai,Зоригийн Алтай,Independent,Ulan Bator — Bayanzürkh•Nalaikh,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sanjaagiin Bayar,Санжаагийн Баяр,Mongolian People's Party,Ulan Bator — Sükhbaatar,2008,http://en.wikipedia.org/wiki/Sanjaagiin_Bayar,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sükhbaataryn Batbold,Сүхбаатарын Батболд,Mongolian People's Party,Ulan Bator — Sükhbaatar,2008,http://en.wikipedia.org/wiki/S%C3%BCkhbaataryn_Batbold,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Luvsannyamyn Gantömör,Лувсаннямын Гантөмөр,Democratic Party,Ulan Bator — Sükhbaatar,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsakhiagiin Elbegdorj,Цахиагийн Элбэгдорж,Democratic Party,Ulan Bator — Chingeltei,2008,http://en.wikipedia.org/wiki/Tsakhiagiin_Elbegdorj,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Garidkhüügiin Bayarsaikhan,Гарьдхүүгийн Баярсайхан,Democratic Party,Ulan Bator — Chingeltei,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dagvadorjiin Ochirbat,Дагвадоржийн Очирбат,Mongolian People's Party,Ulan Bator — Chingeltei,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dashdorjiin Zorigt,Дашдоржийн Зоригт,Mongolian People's Party,Ulan Bator — Chingeltei,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Tsendiin Mönkh-Orgil,Цэндийн Мөнх-Оргил,Mongolian People's Party,Ulan Bator — Bayangol,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Khishigdembereliin Temüüjin,Хишигдэмбэрэлийн Тэмүүжин,Democratic Party,Ulan Bator — Bayangol,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dangaasurengiin Enkhbat,Дангаасүрэнгийн Энхбат,Civil Will-Green Party,Ulan Bator — Bayangol,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sodnomzunduin Erdene,Содномзундуйн Эрдэнэ,Democratic Party,Ulan Bator — Bayangol,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Dendeviin Terbishdagva,Дэндэвийн Тэрбишдагва,Mongolian People's Party,Ulan Bator — Songino Khairkhan,2008,"","http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Norovyn Altankhuyag,Норовын Алтанхуяг,Democratic Party,Ulan Bator — Songino Khairkhan,2008,http://en.wikipedia.org/wiki/Norovyn_Altankhuyag,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Davaagiin Batbayar,Даваагийн Батбаяр,Democratic Party,Ulan Bator — Songino Khairkhan,2008,http://en.wikipedia.org/wiki/Kyokush%C5%ABzan_Noboru,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
Sanjaasürengiin Oyuun,Санжаасүрэнгийн Оюун,Civil Will-Green Party,Ulan Bator — Songino Khairkhan,2008,http://en.wikipedia.org/wiki/Sanjaas%C3%BCrengiin_Oyuun,"http://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2008"
