id,temp_name,twitter,image
381611850,Paolo Parentela,PaoloParentela,https://pbs.twimg.com/profile_images/1564061127/247396_2048060490988_1528718978_2194030_6699541_n.jpg
384881122,Andrea De Maria,andreademaria_,https://pbs.twimg.com/profile_images/473075598072356864/jtvA-_o6.jpeg
385923471,Chiara Braga,bragachiara,https://pbs.twimg.com/profile_images/728251298001342465/aRjQz7KU.jpg
390007456,Filippo Fossati,filippofossati,https://pbs.twimg.com/profile_images/3003290475/bfaa6c9eff843c0f8df880c21562778e.jpeg
390069406,Mario Tullo,tullomario,https://pbs.twimg.com/profile_images/1592467671/TulloM.jpg
390868112,Giorgio Airaudo,GAiraudo,https://pbs.twimg.com/profile_images/1619254424/image.jpg
391338911,Eleonora Cimbro,CimbroEleonora,https://pbs.twimg.com/profile_images/735090059741954048/EnPxubDe.jpg
391945446,Simona Bonafè,simonabonafe,https://pbs.twimg.com/profile_images/574508803481272320/t0naNh4K.jpeg
392347271,Aris Prodani,ArisProdani,https://pbs.twimg.com/profile_images/378800000250577654/54ba82469077f27c47c2a25f260500e3.jpeg
393974023,Marco Fedi,MarcoFedi58,https://pbs.twimg.com/profile_images/460731797286834176/nZlX17me.jpeg
394233849,Vinicio Peluffo,Vpeluffo,https://pbs.twimg.com/profile_images/1645228724/294750_2376968671035_1455171551_2519198_226143274_n.jpg
394787464,David Ermini,DavidErmini1,https://pbs.twimg.com/profile_images/378800000553026775/2da555822b2eff1378e3ba273c12016d.jpeg
395183088,Matteo Richetti,MatteoRichetti,https://pbs.twimg.com/profile_images/745005706013728770/wD_14bfg.jpg
397245294,Gianluca Rizzo,gianlucarizzo46,https://pbs.twimg.com/profile_images/721808897611276289/Qm-66Kw7.jpg
398603525,Emanuela Corda,Emanuela_Corda,https://pbs.twimg.com/profile_images/641722073744867328/Xy1PFgaD.jpg
398611235,Chiara Gagnarli,chiara_201181,https://pbs.twimg.com/profile_images/669647186221735936/Yw28dME3.jpg
398726169,enzoamendola,amendolaenzo,https://pbs.twimg.com/profile_images/1607609400/amendola.jpg
401332098,Veronica Tentori,VeronicaTentori,https://pbs.twimg.com/profile_images/582767834952003584/AcfOrWYR.jpg
402997564,Ermete Realacci,erealacci,https://pbs.twimg.com/profile_images/1617809043/realacci63648_img.jpg
406552900,Mariano Rabino,MarianoRabino,https://pbs.twimg.com/profile_images/708593376719937536/ueb824-y.jpg
406869976,Paolo Gentiloni,PaoloGentiloni,https://pbs.twimg.com/profile_images/1632026962/foto.jpg
406907214,Gianluca Pini,GLPini,https://pbs.twimg.com/profile_images/726837561021321217/a_B1efV6.jpg
406971457,Angelo Cera,angelocera,https://pbs.twimg.com/profile_images/1628787180/image.jpg
407699712,angelo senaldi,angelo_senaldi,https://pbs.twimg.com/profile_images/3767353139/4cce5932c7eeaf94c997f7c0adda0d51.jpeg
408615010,susanna cenni,susannacenni,https://pbs.twimg.com/profile_images/1630681271/susanna_e_raffaella_ad_Alberese_luglio_2011.jpg
409600788,Davide Caparini,davidecaparini,https://pbs.twimg.com/profile_images/2714313219/72b549c1eec714354631f50f740a46b0.jpeg
412371227,Annagrazia Calabria,AngieCalabria,https://pbs.twimg.com/profile_images/595348699603144704/GXtKaQOL.jpg
414634390,Pier Paolo Baretta,PPBaretta,https://pbs.twimg.com/profile_images/378800000433107258/acf53715c97b95f572bbf4fa1d0a6083.jpeg
414930127,Marco Carra,onMarcoCarra,https://pbs.twimg.com/profile_images/1648793914/twit-small.png
416123085,Mino Taricco,MinoTaricco,https://pbs.twimg.com/profile_images/1646454370/Mino_Taricco_8.JPG
416923575,Caterina Pes,caterinapes,https://pbs.twimg.com/profile_images/441631054609547265/KJwCoO9e.jpeg
417150886,Milena Santerini,MilenaSanterini,https://pbs.twimg.com/profile_images/3098024582/89b811032f568a5876cbb7a6c8171178.jpeg
417962415,Paolo Grimoldi,GrimoldiPaolo,https://pbs.twimg.com/profile_images/698984729924780032/SjSce_1l.jpg
418114289,Cristian Invernizzi,cristianinve,https://pbs.twimg.com/profile_images/1689659798/image.jpg
418814614,Francesco Bonifazi,FrancescoBonif1,https://pbs.twimg.com/profile_images/624333256134144000/_ntCJU5-.jpg
419416134,Giancarlo Galan,GiancarloGalan,https://pbs.twimg.com/profile_images/1833727247/twitter2.jpg
419431278,Michele Piras,MichelePiras2,https://pbs.twimg.com/profile_images/519885299573620737/bzwar1Nm.jpeg
419622371,Enrico Letta,EnricoLetta,https://pbs.twimg.com/profile_images/719240879748313088/hsyeKqj0.jpg
420332560,Mariastella Gelmini,msgelmini,https://pbs.twimg.com/profile_images/595888711319068674/oB_4Xlwi.jpg
420335251,Luisa Bossa,LuisaBlive,https://pbs.twimg.com/profile_images/542342103960133632/acFTjBhb.jpeg
420374996,Daniele Farina,DanieleFarina3,https://pbs.twimg.com/profile_images/3498716352/e51b929fa225be778fb03b8cff6b1c98.jpeg
423780098,claudia mannino,ManninoClaudia,https://pbs.twimg.com/profile_images/465499607049719808/2hnilEdP.jpeg
424520974,Adriana Galgano,AdrianaGalgano,https://pbs.twimg.com/profile_images/746757817562988544/Z2ntffvS.jpg
425033450,Massimo Corsaro,MassimoCorsaro,https://pbs.twimg.com/profile_images/1665952572/Photo_25-11-11_15_14_00.png
425646064,MarcelloTaglialatela,taglialatel,https://pbs.twimg.com/profile_images/1667471358/marcello_taglialatela.jpg
425686235,nicola fratoianni,NFratoianni,https://pbs.twimg.com/profile_images/414393482506436608/a0q3tMK-.jpeg
425933041,Ignazio La Russa,Ignazio_LaRussa,https://pbs.twimg.com/profile_images/378800000638829052/11e4ca8266bd6f71c734dc598cab8aba.jpeg
426056687,Antonio Decaro,Antonio_Decaro,https://pbs.twimg.com/profile_images/482516536335163392/CU9j9-bj.jpeg
428062604,MAURO PILI,MAURO_PILI,https://pbs.twimg.com/profile_images/594012106841792512/zZDZbau5.jpg
428436324,Daniele Montroni,DanieleMontroni,https://pbs.twimg.com/profile_images/3124238280/2465ec0ed396747a9e84ca1f60b9ebff.jpeg
428521248,simona malpezzi,megmalp,https://pbs.twimg.com/profile_images/726858516980441089/frclrwRB.jpg
429312499,Alessia Morani,AlessiaMorani,https://pbs.twimg.com/profile_images/531105483365838848/SUv-VIW0.jpeg
429433691,Marco Baldassarre,kitoBaldassarre,https://pbs.twimg.com/profile_images/741948978082811904/vS-xzqGJ.jpg
429565076,Vincenzo Garofalo,vigarofalo,https://pbs.twimg.com/profile_images/3584718246/b774ad32fb271c0740795bb9b060524c.jpeg
429778026,Cosimo Latronico,CosimoLatronico,https://pbs.twimg.com/profile_images/535437087240368128/cXcb6ubH.jpeg
430127505,Cesare Damiano,Cesare_Damiano,https://pbs.twimg.com/profile_images/656861697521688576/-U8bVwtB.jpg
431757232,Rondini Marco,rondini_marco,https://pbs.twimg.com/profile_images/1681149712/image.jpg
434505068,Dario Nardella,DarioNardella,https://pbs.twimg.com/profile_images/712421410606551040/VqJuOC_q.jpg
435740653,elena carnevali,ElenaCarnevali,https://pbs.twimg.com/profile_images/429751577901948929/9aiaFzK0.jpeg
438385480,Patrizia Terzoni,PatriziaTerzoni,https://pbs.twimg.com/profile_images/464378311812980736/n-hMExyr.jpeg
440382143,Valentina Paris,paris_valentina,https://pbs.twimg.com/profile_images/695003227738210304/e6d9AYOz.jpg
440724583,Marina Sereni,MarinaSereni,https://pbs.twimg.com/profile_images/752889352360001536/rwJjm-BV.jpg
440815818,Daniela Santanchè,DSantanche,https://pbs.twimg.com/profile_images/1702081824/34.jpg
442677409,Diego Zardini,DiegoZardini,https://pbs.twimg.com/profile_images/657200552208678912/vKHKj9my.jpg
447846362,marco miccoli,marcomiccoli1,https://pbs.twimg.com/profile_images/578894026876784640/vP45Fe1y.jpeg
448039159,Ileana Argentin,IleanaArgentin,https://pbs.twimg.com/profile_images/1717531785/Ile.jpg
450140855,Massimo Parisi,mparisi68,https://pbs.twimg.com/profile_images/378800000383895898/fb35ddfbff6bc7ea5b8a519c9c005bec.jpeg
453168575,vincenzo folino,vincenzofolino,https://pbs.twimg.com/profile_images/2387578602/g540gpjsalckztidtvwx.jpeg
453267107,mario marazziti,mariomarazziti,https://pbs.twimg.com/profile_images/3169386227/01b31f0a68a25c4f71945e5aed249498.jpeg
453983111,gianni melilla,GianniMelilla,https://pbs.twimg.com/profile_images/1797344686/foto_di_sfondo.jpg
455667847,Filippo Busin,FilippoBusin,https://pbs.twimg.com/profile_images/574950474845028352/IxG21C-y.jpeg
458503181,Celeste Costantino,CelesteCost,https://pbs.twimg.com/profile_images/673785099490623488/LjKf4PEH.jpg
460163041,Federica Mogherini,FedericaMog,https://pbs.twimg.com/profile_images/619872271386193920/6dEMqQZY.jpg
461229005,Francesco Boccia,F_Boccia,https://pbs.twimg.com/profile_images/754720260662685696/UwEZr2wj.jpg
461306712,paolademicheli,paola_demicheli,https://pbs.twimg.com/profile_images/1748266640/foto__8_.JPG
463064441,Francesco P. Sisto,f_p_sIsto,https://pbs.twimg.com/profile_images/600900740085846016/OqfPl408.jpg
466630937,Ferdinando Adornato,adornatoliberal,https://pbs.twimg.com/profile_images/1761921978/adornato_gubbio_low.jpg
467434265,giorgio piccolo,giorgiopiccolo2,https://pbs.twimg.com/profile_images/1768405350/giorgio_bassolino.jpg
468259769,IGNAZIO ABRIGNANI,abrignani_i,https://pbs.twimg.com/profile_images/1766037527/d302940.jpg
472109265,Gianni Dal Moro,giannidalmoro,https://pbs.twimg.com/profile_images/449617094900846592/EG4b0mL6.jpeg
472149764,Luca Pastorino,lucapasto71,https://pbs.twimg.com/profile_images/2698058682/18ea71ebec4bbb8a496e1e002754db82.png
473107684,Dalila Nesci,DalilaNesci,https://pbs.twimg.com/profile_images/738117785075732480/_mIHKBx-.jpg
473842449,alfredo bazoli,alfredobazoli,https://pbs.twimg.com/profile_images/3671040322/7d7bd18c8680bf5fdaea36765192715c.jpeg
474021846,Alfredo D'Attorre,alfredodattorre,https://pbs.twimg.com/profile_images/701003071757885440/cB51JGag.png
474175425,Enrico Borghi,EnricoBorghi1,https://pbs.twimg.com/profile_images/1780873579/borghi_enrico.jpg
476836933,Enrico Zanetti,enrico_zanetti,https://pbs.twimg.com/profile_images/3753246112/6cec84acd4e98fa293687863427f4211.jpeg
480023608,Antonello Giacomelli,Antonellogiac,https://pbs.twimg.com/profile_images/665499340656480256/VWpTnpLF.jpg
485685744,Elvira Savino,elvirasavino,https://pbs.twimg.com/profile_images/725945416508829696/ycHSpYH_.jpg
488706755,Lara Ricciatti,LaraRicciatti,https://pbs.twimg.com/profile_images/3625435260/cc5c6f1c9a20441b6190a8f44b24740b.jpeg
488750612,Giulio Sottanelli,sottanelli,https://pbs.twimg.com/profile_images/525297540560744450/fC3oHy1b.jpeg
490373717,Sergio Boccadutri,boccadutri,https://pbs.twimg.com/profile_images/3092101963/888494067604511233d549630073a366.jpeg
490756518,vincenzo piso,vincenzopiso,https://pbs.twimg.com/profile_images/487237474192613376/IMAViv69.jpeg
491417328,umberto d'ottavio,umbertodott,https://pbs.twimg.com/profile_images/636069826788724736/baqhFn-M.jpg
