localid,id,name,constituency,website,photograph,party,source,term
75,2075,Afaz Uddin Ahmed,Kushtia,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=723,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2075.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
76,2076,Hasanul Haq Inu,Kushtia,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=724,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2076.jpg,Jatiya Samajtantrik Dal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
77,2077,K.H. Rashiduzzaman,Kushtia,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=725,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2077.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
78,2078,Begum Sultana Tarun,Kushtia,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=726,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2078.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
79,2079,Solaiman Haque Joarder (Selun),Chuadanga,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=727,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2079.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
80,2080,Md.Ali Azgar,Chuadanga,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=728,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2080.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
81,2081,Md. Abdul Hyee,Jhenaidah,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=729,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2081.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
82,2082,Md. Shofiqul Islam,Jhenaidah,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=730,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2082.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
83,2083,Advocate Md. Shafiqul Azam Khan,Jhenaidah,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=731,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2083.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
84,2084,Abdul Mannan,Jhenaidah,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=732,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2084.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
85,2085,Sk. Afil Uddin,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=733,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2085.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
86,2086,Mostafa Faruque Mohammed,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=734,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2086.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
87,2087,Md.Khaledur Rahman Tito,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=735,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2087.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
88,2088,Ranajit Kumar Roy,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=736,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2088.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
89,2089,Khan Tipu Sultan,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=737,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2089.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
90,2090,Sk.Abdul Wohab,Jessore,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=738,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2090.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
91,2091,Prof.(Dr.) Muhammad Serajul Akbar,Magura,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=739,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2091.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
92,2092,Shri Biren Sikder,Magura,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=740,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2092.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
93,2093,Md. Kabirul Haque,Narail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=741,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2093.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
94,2094,Brig. General Sk Abu Bakr(Retd.),Narail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=742,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2094.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
95,2095,Sheikh Helal Uddin,Bagerhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=743,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2095.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
96,2096,Advocate Mir Showkat Ali Badsha,Bagerhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=744,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2096.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
97,2097,Habibun Nahar,Bagerhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=745,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2097.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
98,2098,Alhaj Dr. Mozammel Hossain,Bagerhat,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=746,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2098.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
99,2099,Nani Gopal Mondal,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=747,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2099.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
100,2100,Nazrul Islam Monju,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=748,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2100.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
101,2101,Begum Monnuzan Sufian,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=749,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2101.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
102,2102,Molla Jalal Uddin,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=750,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2102.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
103,2103,Narayon Chandra Chanda,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=751,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2103.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
104,2104,Md. Sohrab Ali Sana,Khulna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=752,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2104.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
105,2105,Shaikh Muzibur Rahman,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=753,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2105.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
106,2106,M.A. Jabbar,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=755,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2106.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
107,2107,Dr.A.FM. Ruhul Haque,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=756,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2107.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
108,2108,H.M.Golam Reza,Satkhira,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=757,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2108.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
109,2109,Dhirendro Debnath Shambhu,Barguna,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=758,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2109.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
110,Z,Shawkat Hachanur Rahman (Remon),Barguna,,,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
111,2111,Md. Shahjahan Mia,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=760,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2111.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
112,2112,A.S.M. Feroz,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=761,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2112.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
113,2113,Md. Golam Maula Rony,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=762,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2113.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
114,2114,Md. Mahabubur Rahman,Patuakhali,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=763,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2114.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
115,2115,Barrister Andaleeve Rahman,Bhola,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=764,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2115.jpg,Bangladesh Jatiya Partye,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
116,2116,Tofail Ahmed,Bhola,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=765,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2116.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
117,2117,Nurunnabi Chowdhury,Bhola,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=766,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2117.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
118,2118,Abdullah Al Islam Jakob,Bhola,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=767,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2118.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
119,2119,Talukder Md.Yunus,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=768,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2119.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
120,2120,Md.Monirul Islam,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=769,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2120.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
121,2121,Golam Kibria Tipu,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=770,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2121.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
122,2122,Md.Mejba Uddin Farhad,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=771,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2122.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
123,2123,Md. Mazibar Rahman Sarwar,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=772,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2123.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
124,2124,ABM Ruhul Amin Howlader,Barisal,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=773,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2124.jpg,Jatiya Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
125,2125,Bazlul Haque Haroon,Jhalokathi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=774,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2125.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
126,2126,Amir Hossain Amu,Jhalokathi,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=775,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2126.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
127,2127,A.K.M.A. Awal,Pirojpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=776,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2127.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
128,2128,Md. Shah Alam,Pirojpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=777,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2128.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
129,2129,Dr.Md.Anowar Hossain,Pirojpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=778,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2129.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
130,2130,Dr. Md. Abdur Razzak,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=779,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2130.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
131,2131,Khandaker Asaduzzaman,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=780,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2131.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
132,2132,Amanur Rahman Khan,Tangail,,,Independent,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
133,2133,Abdul Latif Siddique,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=782,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2133.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
134,2134,Major Gen (Rtd.) Mahmudul Hasan,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=783,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2134.jpg,Bangladesh Nationalist Party,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
135,2135,Khandaker Abdul Baten,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=784,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2135.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
136,2136,Md. Akabbar Hossain,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=785,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2136.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
137,2137,Krishibid Shawkat Momen Shahjahan,Tangail,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=786,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2137.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
138,2138,Abul Kalam Azad,Jamalpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=787,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2138.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
139,2139,Md. Faridul Haque Khan,Jamalpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=788,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2139.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
140,2140,Mirza Azam,Jamalpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=789,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2140.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
141,2141,Md. Murad Hassan,Jamalpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=790,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2141.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
142,2142,Md. Rezaul Karim Hira,Jamalpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=791,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2142.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
143,2143,Md. Atiur Rahman Atik,Sherpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=792,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2143.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
144,2144,Begum Matia Chowdhury,Sherpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=793,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2144.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
145,2145,A K M Fazlul Haque,Sherpur,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=794,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2145.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
146,2146,Promode Mankin,Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=795,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2146.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
147,2147,Hayatur Rahman Khan,Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=796,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2147.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
148,2148,Dr. Capt. Mujibur Rahman Fakir (Retd.),Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=797,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2148.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
149,2149,Md. Matior Rahman,Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=798,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2149.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
150,2150,K.M. Khalid,Mymensingh,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english?id=799,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2150.jpg,Bangladesh Awami League,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/former-mp-s/list-of-9th-parliament-members-english,9
