uuid,female,male,other,skip,total
cd3aa5c1-6547-4c04-a6ae-7cb02dfc6d84,0,4,0,1,5
cdc78d69-7762-4ee0-a6ce-0416412f12a8,0,17,0,0,17
ce3ab57e-8da1-459e-a502-5d008ba73fe9,17,0,0,0,17
cf6899e5-c7a1-4e57-9774-9dbb86f8f605,15,0,0,1,16
d01202f7-8abe-4b45-93be-a05fdcc7e1b2,0,5,0,1,6
d070e2ca-35e1-41d3-850a-ecc5c83d3b8a,0,17,0,0,17
d085db18-aaf7-4658-8537-f6277cfd176a,17,0,0,0,17
d1199cf3-965e-4816-8940-2da5179ad1e0,0,17,0,0,17
d1607fe0-d2a2-4b04-bc33-cf0fad98f6ba,0,17,0,0,17
d30e5a0d-dcbc-4b4b-b060-bd64f6bfd999,0,16,0,0,16
d34ec3c0-c36d-4eb7-ac88-d07f403bb5c7,0,17,0,0,17
d36f7e24-26ed-4bc7-bf4f-cf349724b6ef,0,16,0,0,16
d4dfb556-14e5-4405-9366-9367d88818b6,0,17,0,0,17
d5283108-e94e-4395-82e1-da1b444dfc7c,16,0,0,0,16
d5509d94-4664-4dbc-a28f-0e2c42678b17,0,17,0,0,17
d60a1c14-3dd0-4988-84cc-8df6980b6892,0,5,0,2,7
d65a8be4-a8a4-4ba2-8034-2a919f1817de,0,17,0,0,17
d7b94cc8-e4b2-4499-b414-e6fe0bfac7ef,16,0,0,0,16
da069f87-efed-43ec-81a8-c2220ba3f376,0,5,0,2,7
dac018ed-b46e-46ce-a07c-170dff80d15b,0,5,0,0,5
dc73a471-aa92-4955-8edb-610f76b0d727,0,16,0,0,16
ddc25aaf-8fb6-42cf-a64d-8b4e03b434fc,0,16,0,0,16
df9eb64b-8fd2-469e-a263-9b2a1afac7b8,17,0,0,0,17
e027dfba-68c8-4a8f-a549-9f247e571e4f,16,0,1,0,17
e06ef10a-a26f-46d5-80e7-3cc3f20a5ec7,16,0,0,0,16
e07b0880-5c0b-429b-a04a-b0cda9cb9de3,16,0,0,0,16
e1c5d35c-6dfb-4af3-bcff-510de5da7b8f,1,6,0,6,13
e34f91bc-f10b-4ee1-aa33-9b5aaa63eb24,0,16,0,0,16
e482d853-f396-4983-bc4f-a0b1d8a972d2,0,17,0,0,17
e57fa52d-8d76-40c1-8f50-a3747c5a7622,0,17,0,0,17
e76f0a49-4386-48a0-bc83-a667ca2f0f57,15,0,0,0,15
e83d3567-501e-4584-98b0-64eab48bb18e,16,0,0,0,16
e963dbd7-fcc7-4b44-8fc2-96bd1611adb9,16,0,1,0,17
e9652315-056c-4890-a92f-4d31a96dfa40,0,2,0,0,2
e9cf3409-c0fd-4507-8025-aa1807b0a9f9,1,0,0,0,1
ebdfbe9d-74d7-4dc5-a272-aa18e3bcabf1,0,16,0,0,16
ec1647e6-3e1d-44d4-9ea9-cda423c95d6b,17,0,0,0,17
ec30572e-75e2-4cc8-9f30-7cca1b71a880,0,17,0,0,17
ee90c2af-d234-4976-8a79-140804ab7ed4,17,0,0,0,17
f04de65d-4e50-4bf8-8017-e4fed49ed47c,0,16,0,0,16
f0a45c5c-548f-4870-a684-9f752ba7f8e7,0,16,1,0,17
f46dbbb5-102f-4250-92bc-5ba5076351f2,17,0,0,0,17
f8a35e7c-76d1-4de0-8752-703259e3d2d9,16,1,0,0,17
f8c771cc-19dd-43b9-af7d-c77dae89d9ec,0,17,0,0,17
f968bfc9-8b98-49b8-ba69-8f8c1cb512fd,0,16,0,0,16
f9a3272a-9bf6-4791-a036-1b20c7c25cb9,17,0,0,0,17
fa33994e-dd21-4087-a697-1ba405db9da7,1,16,0,0,17
faa6207b-478a-45d3-89b9-2c1c7d6aef99,0,17,0,0,17
fad80f7c-3451-4ea9-9cab-45e764bb87b7,0,5,0,1,6
faf46682-d614-43bc-a54b-252b69ed8894,0,9,0,1,10
fb4306bc-075e-464e-8565-09824749b54c,17,0,0,0,17
fb45d933-5932-488f-bf90-8cc53c79aa9b,0,5,0,2,7
fb978498-45d1-475c-8d3d-c10d357d4764,17,0,0,0,17
fbf7ae2b-a7c3-4dd8-8ac9-0f0ee1ae7874,16,0,0,0,16
fc218edf-1906-4066-9d54-327ac0628fa3,16,0,0,0,16
fdde2375-79d9-4110-b139-910a7ebcf9bc,17,0,0,0,17
fef29949-51c2-4fb8-8dce-c16537f30e53,5,0,0,2,7
ff2056cc-3376-438f-8cec-47dcfda853e3,0,14,1,1,16
ff834769-9c98-4864-8f3e-d87c6af5928d,0,16,1,0,17
