name,wikiname,area,area_id,party,party_id,term,source,last_seen
Nəriman Əliyev,Nəriman Əliyev (səhifə mövcud deyil),Masallı şəhər seçki dairəsi,70,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Elmira Axundova,Elmira Axundova,Masallı kənd seçki dairəsi,71,Independent,IND,5,,2016-04-28
Musa Qasımlı,Musa Qasımlı,Yardımlı-Masallı seçki dairəsi,72,Independent,IND,5,,2016-04-28
Rüfət Quliyev,Rüfət Quliyev,Lənkəran şəhər seçki dairəsi,73,Independent,IND,5,,2016-04-28
Hadı Rəcəbli,Hadı Rəcəbli,Lənkəran kənd seçki dairəsi,74,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Cavanşir Paşazadə,Cavanşir Paşazadə,Lənkəran-Masallı seçki dairəsi,75,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Ziyafət Əsgərov,Ziyafət Əsgərov,Lənkəran-Astara seçki dairəsi,76,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Rəşad Mahmudov,Rəşad Mahmudov,Astara seçki dairəsi,77,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
İqbal Məmmədov,İqbal Məmmədov,Lerik seçki dairəsi,78,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Əsabil Qasımov,Əsabil Qasımov,İmişli seçki dairəsi,79,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Çingiz Qənizadə,Çingiz Qənizadə,İmişli-Beyləqan seçki dairəsi,80,Independent,IND,5,,2016-04-28
Şahin İsmayilov,Şahin İsmayilov,Beyləqan seçki dairəsi,81,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Tahir Rzayev,Tahir Rzayev,Ağcabədi seçki dairəsi,82,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Aqil Abbas,Aqil Abbas,Ağcabədi-Füzuli seçki dairəsi,83,Independent,IND,5,,2016-04-28
Bahar Muradova,Bahar Muradova,Füzuli seçki dairəsi,84,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Elxan Süleymanov,Elxan Süleymanov,Şamaxı seçki dairəsi,85,Independent,IND,5,,2016-04-28
Novruzəli Aslanov,Novruzəli Aslanov,İsmayıllı seçki dairəsi,86,Independent,IND,5,,2016-04-28
Tahir Kərimli,Tahir Kərimli,Ağsu-İsmayıllı seçki dairəsi,87,Vəhdət Partiyası,VP,5,,2016-04-28
Sabir Hacıyev,Sabir Hacıyev (millət vəkili),Göyçay seçki dairəsi,88,Vətəndaş Birliyi Partiyası,VBP,5,,2016-04-28
Elman Nəsirov,Elman Nəsirov,Göyçay-Ağdaş seçki dairəsi,89,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Vüsal Hüseynov,Vüsal Hüseynov,Ucar seçki dairəsi,91,YAP,YAP,5,,2016-04-28
Jalə Əliyeva,Jalə Əliyeva,Zərdab-Ucar seçki dairəsi,92,Independent,IND,5,,2016-04-28
Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,Bərdə şəhər seçki dairəsi,93,Independent,IND,5,,2016-04-28
Zahid Oruc,Zahid Oruc,Bərdə kənd seçki dairəsi,94,Independent,IND,5,,2016-04-28
Sahib Alıyev,Sahib Alıyev,Tərtər seçki dairəsi,95,Independent,IND,5,,2016-04-28
Mahir Aslanov,Mahir Aslanov,Goranboy-Naftalan seçki dairəsi,96,Independent,IND,5,,2016-04-28
Ağalar Vəliyev,Ağalar Vəliyev,Goranboy-Ağdam-Tərtər seçki dairəsi,97,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Sahibə Qafarova,Sahibə Qafarova,Şəmkir şəhər seçki dairəsi,98,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Sona Əliyeva,Sona Əliyeva (deputat) (səhifə mövcud deyil),Şəmkir kənd seçki dairəsi,99,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Kamran Bayramov,Kamran Bayramov (səhifə mövcud deyil),Şəmkir-Daşkəsən seçki dairəsi,100,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Rövşən Rzayev,Rövşən Rzayev,Göygöl-Daşkəsən seçki dairəsi,101,Independent,IND,5,,2016-04-28
Valeh Ələsgərov,Valeh Ələsgərov,Samux-Şəmkir seçki dairəsi,102,Independent,IND,5,,2016-04-28
Sevinc Hüseynova,Sevinc Hüseynova,Gədəbəy seçki dairəsi,103,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Rafiq Məmmədhəsənov,Rafiq Məmmədhəsənov,Gədəbəy-Tovuz seçki dairəsi,104,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Qənirə Paşayeva,Qənirə Paşayeva,Tovuz seçki dairəsi,105,Independent,IND,5,,2016-04-28
Ülviyyə Ağayeva,Ülviyyə Ağayeva (səhifə mövcud deyil),Tovuz-Qazax-Ağstafa seçki dairəsi,106,Independent,IND,5,,2016-04-28
Kamran Nəbizadə,Kamran Nəbizadə (səhifə mövcud deyil),Qazax seçki dairəsi,107,Independent,IND,5,,2016-04-28
Nizami Cəfərov,Nizami Cəfərov,Ağstafa seçki dairəsi,108,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Nəsib Məhəməliyev,Nəsib Məhəməliyev,Balakən seçki dairəsi,109,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Elşən Musayev,Elşən Musayev (səhifə mövcud deyil),Zaqatala seçki dairəsi,110,Azərbaycan Demokratik Maarifçilik Partiyası,ADMP,5,,2016-04-28
Kamilə Əliyeva,Kamilə Əliyeva,Zaqatala-Balakən seçki dairəsi,111,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Azər Kərimli,Azər Kərimli,Qax seçki dairəsi,112,Independent,IND,5,,2016-04-28
Yaqub Mahmudov,Yaqub Mahmudov,Şəki şəhər seçki dairəsi,113,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Əli Məsimli,Əli Məsimli,Şəki kənd birinci seçki dairəsi,114,Independent,IND,5,,2016-04-28
Cavanşir Feyziyev,Cavanşir Feyziyev,Şəki kənd ikinci seçki dairəsi,115,Independent,IND,5,,2016-04-28
Fəttah Heydərov,Fəttah Heydərov,Qəbələ seçki dairəsi,116,Independent,IND,5,,2016-04-28
Aqiyə Naxçıvanlı,Aqiyə Naxçıvanlı,Oğuz-Qəbələ seçki dairəsi,117,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Bəxtiyar Əliyev,Bəxtiyar Əliyev,Ağdam şəhər seçki dairəsi,118,Independent,IND,5,,2016-04-28
Bəxtiyar Sadıqov,Bəxtiyar Sadıqov,Ağdam kənd seçki dairəsi,119,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Astan Şahverdiyev,Astan Şahverdiyev,Cəbrayıl-Qubadlı seçki dairəsi,120,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Mahir Abbaszadə,Mahir Abbaszadə,Laçın seçki dairəsi,121,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Flora Qasımova,Flora Qasımova,Xankəndi seçki dairəsi,122,Independent,IND,5,,2016-04-28
Cavid Qurbanov,Cavid Qurbanov,Kəlbəcər seçki dairəsi,123,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
Elman Məmmədov,Elman Məmmədov,Şuşa-Ağdam-Xocalı-Xocavənd seçki dairəsi,124,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
İmamverdi İsmayılov,İmamverdi İsmayılov,Zəngilan-Qubadlı seçki dairəsi,125,Yeni Azərbaycan Partiyası,YAP,5,,2016-04-28
