id,name,type,party,area_id,area,gender,image,term,source
160,BOUAZZA MOHAMED,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:30,Ouargla,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/150.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/160-bouazza-mohamed
161,BOUBEGHLA NEE CHOUITEM NADIA,National,PARTI DES TRAVAILLEURS,ocd-division/country:dz/wilayah:16,Alger,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/103.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/161-boubeghla-nee-chouitem-nadia
162,BOUBEKEUR MOHAMED,National,FRONT NATIONAL POUR LA JUSTICE SOCIALE,ocd-division/country:dz/wilayah:8,Bechar,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/104.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/162-boubekeur-mohamed
163,BOUCENNA ABDELHAMID,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:7,Biskra,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/138.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/163-boucenna-abdelhamid
164,BOUCETTA NOUREDDINE,National,AHD 54,ocd-division/country:dz/wilayah:20,Saida,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/135.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/164-boucetta-noureddine
165,BOUCHACHE EL HANI,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:43,Mila,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/140.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/165-bouchache-el-hani
166,BOUCHACHI MOSTEFA,Députés démissionnaires,FRONT DES FORCES SOCIALISTES,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/141.jpg,7,http://www.apn.dz/fr/les-membres/deputes-demissionnaires/166-bouchachi-mostefa
167,BOUCHAREB MAAD,National,FRONT DE LIBERATION NATIONALE,ocd-division/country:dz/wilayah:19,Setif,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/139.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/167-bouchareb-maad
168,BOUCHIBA NEE BENHAMOU ZOHRA,National,ALLIANCE ALGERIE VERTE,ocd-division/country:dz/wilayah:48,Relizane,female,http://www.apn.dz/fr/media/com_mtree/images/listings/s/143.jpg,7,http://www.apn.dz/fr/les-membres/les-membres-de-l-apn-7-eme-legislature/presentation-nominative-individuelle/168-bouchiba-nee-benhamou-zohra
169,BOUCHOUAREB ABDESSELAM,Députés nommés au gouvernement,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,ocd-division/country:dz/wilayah:16,Alger,male,http://www.apn.dz/fr/media/com_mtree/images/listings/s/142.jpg,7,http://www.apn.dz/fr/les-membres/deputes-nommes-au-gouvernement/169-bouchouareb-abdesselam
