party,page_id,district,term_id,image,name,region,details_url,chamber,term,constituency
Indépendant,randrianarisoa-nee-ramahatodisolomanana-vaonalaroy-vaonalaroy,Antananarivo II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/99.jpg,RANDRIANARISOA Stanislas,Analamanga,http://www.assemblee-nationale.mg/?depute=randrianarisoa-nee-ramahatodisolomanana-vaonalaroy-vaonalaroy,National Assembly,2013,Antananarivo II
MAPAR,randrianasolo-dera-louis-charles,Antanifotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/100.jpg,RANDRIANASOLO Dera Louis Charles,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randrianasolo-dera-louis-charles,National Assembly,2013,Antanifotsy
MAPAR,randrianasolo-jean-nicolas,Betroka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/101.jpg,RANDRIANASOLO Jean Nicolas,Anosy,http://www.assemblee-nationale.mg/?depute=randrianasolo-jean-nicolas,National Assembly,2013,Betroka
MAPAR,randrianasolo-volatiana-pauline,Vondrozo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/102.jpg,RANDRIANASOLO Volatiana Pauline,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=randrianasolo-volatiana-pauline,National Assembly,2013,Vondrozo
Indépendant,randrianasoloniaiko-siteny-thierry,Toliary I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/103.jpg,RANDRIANASOLONIAIKO Siteny Thierry,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=randrianasoloniaiko-siteny-thierry,National Assembly,2013,Toliary I
Indépendant,randrianatoavina-jean-martin,Vohibato,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/104.jpg,RANDRIANATOAVINA Jean Martin,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=randrianatoavina-jean-martin,National Assembly,2013,Vohibato
Indépendant,randrianjanahary-soloniaina-olivier,Ambatolampy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/105.jpg,RANDRIANJANAHARY Soloniaina Olivier,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randrianjanahary-soloniaina-olivier,National Assembly,2013,Ambatolampy
Indépendant,randrianoelina-razafimahefa-mamimalala-marie-josue-daniel,Ivohibe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/106.jpg,RANDRIANOELINA RAZAFIMAHEFA Mamimalala Marie Josué Daniel,Ihorombe,http://www.assemblee-nationale.mg/?depute=randrianoelina-razafimahefa-mamimalala-marie-josue-daniel,National Assembly,2013,Ivohibe
Indépendant,randriarimalala-harijaona,Antananarivo Atsimondrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/107.jpg,RANDRIARIMALALA Harijaona,Analamanga,http://www.assemblee-nationale.mg/?depute=randriarimalala-harijaona,National Assembly,2013,Antananarivo Atsimondrano
Indépendant,raphaelien-solofoniaina-emilien-narison,Mampikony,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/108.jpg,RAPHAELIEN Solofoniaina Emilien Narison,Sofia,http://www.assemblee-nationale.mg/?depute=raphaelien-solofoniaina-emilien-narison,National Assembly,2013,Mampikony
MAPAR,rasalama-leon,Mahajanga II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/109.jpg,RASALAMA Léon,Boeny,http://www.assemblee-nationale.mg/?depute=rasalama-leon,National Assembly,2013,Mahajanga II
VP-MMM,rasoaherinjatovo-bodovoahangy-dimitrine,Ambato Boeny,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/110.jpg,RASOAHERINJATOVO Bodovoahangy Dimitrine,Boeny,http://www.assemblee-nationale.mg/?depute=rasoaherinjatovo-bodovoahangy-dimitrine,National Assembly,2013,Ambato Boeny
M. RAVALOMANANA,rasoanoromalala-marie-horace,Antananarivo VI,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/111.jpg,RASOANOROMALALA Marie Horace,Analamanga,http://www.assemblee-nationale.mg/?depute=rasoanoromalala-marie-horace,National Assembly,2013,Antananarivo VI
M. RAVALOMANANA,rasoarimalala-georgette,Maevatanàna,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/112.jpg,RASOARIMALALA Georgette,Betsiboka,http://www.assemblee-nationale.mg/?depute=rasoarimalala-georgette,National Assembly,2013,Maevatanàna
Indépendant,rasolonjatovo-honore,Faratsiho,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/113.jpg,RASOLONJATOVO Honoré,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=rasolonjatovo-honore,National Assembly,2013,Faratsiho
M. RAVALOMANANA,rasolonomenjanahary-fidelis-justin,Ambohimahasoa,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/114.jpg,RASOLONOMENJANAHARY Fidélis Justin,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=rasolonomenjanahary-fidelis-justin,National Assembly,2013,Ambohimahasoa
Indépendant,ratefiarivony-jaona,Tsaratanàna,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/115.jpg,RATEFIARIVONY Jaona,Betsiboka,http://www.assemblee-nationale.mg/?depute=ratefiarivony-jaona,National Assembly,2013,Tsaratanàna
Indépendant,ratsimbazafy-luc,Ambohidratrimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/116.jpg,RATSIMBAZAFY Luc,Analamanga,http://www.assemblee-nationale.mg/?depute=ratsimbazafy-luc,National Assembly,2013,Ambohidratrimo
MAPAR,ratsivalaka-nee-raheriarivo-marie-michelle-marie-michelle,Antananarivo I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/117.jpg,RATSIVALAKA née RAHERIARIVO Marie Michelle,Analamanga,http://www.assemblee-nationale.mg/?depute=ratsivalaka-nee-raheriarivo-marie-michelle-marie-michelle,National Assembly,2013,Antananarivo I
M. RAVALOMANANA,ravahimanana-guillaume-marie-ubald,Miarinarivo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/118.jpg,RAVAHIMANANA Guillaume Marie Ubald,Itasy,http://www.assemblee-nationale.mg/?depute=ravahimanana-guillaume-marie-ubald,National Assembly,2013,Miarinarivo
Indépendant,raveloarivonjy-behavana-behavana,Sambava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/119.jpg,RAVELOARIVONJY Behavana,Sava,http://www.assemblee-nationale.mg/?depute=raveloarivonjy-behavana-behavana,National Assembly,2013,Sambava
M. RAVALOMANANA,ravelohanitra-nirina-nirina,Antsirabe II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/120.jpg,RAVELOHANITRA Nirina,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=ravelohanitra-nirina-nirina,National Assembly,2013,Antsirabe II
-,ravelonanosy-mamy-tiana-telesphore-gerard,Ankazobe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/121.jpg,RAVELONANOSY Mamy Tiana Télésphore Gérard,Analamanga,http://www.assemblee-nationale.mg/?depute=ravelonanosy-mamy-tiana-telesphore-gerard,National Assembly,2013,Ankazobe
MAPAR,raveloson-ludovic-adrien,Mahabo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/122.jpg,RAVELOSON Ludovic Adrien,Menabe,http://www.assemblee-nationale.mg/?depute=raveloson-ludovic-adrien,National Assembly,2013,Mahabo
Indépendant,razafimahatratra-jean-daniel-christian,Ambalavao,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/123.jpg,RAZAFIMAHATRATRA Jean Daniel Christian,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=razafimahatratra-jean-daniel-christian,National Assembly,2013,Ambalavao
M. RAVALOMANANA,razafimanantsoa-lobo-hanitriniaina,Antananarivo I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/124.jpg,RAZAFIMANANTSOA Lobo Hanitriniaina,Analamanga,http://www.assemblee-nationale.mg/?depute=razafimanantsoa-lobo-hanitriniaina,National Assembly,2013,Antananarivo I
Indépendant,razafimandimby-germain-boniface,Ihosy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/125.jpg,RAZAFIMANDIMBY Germain Boniface,Ihorombe,http://www.assemblee-nationale.mg/?depute=razafimandimby-germain-boniface,National Assembly,2013,Ihosy
Leader Fanilo,razafimily-constance,Vangaindrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/126.jpg,RAZAFIMILY Constance,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=razafimily-constance,National Assembly,2013,Vangaindrano
Indépendant,razafinandrasana-raulan,Vatomandry,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/127.jpg,RAZAFINANDRASANA Raulan,Atsinanana,http://www.assemblee-nationale.mg/?depute=razafinandrasana-raulan,National Assembly,2013,Vatomandry
Indépendant,razafindrafito-lova-narivelo,Ifanadina,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/128.jpg,RAZAFINDRAFITO Lova Narivelo,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=razafindrafito-lova-narivelo,National Assembly,2013,Ifanadina
Indépendant,razafindrakoto-harifanja-francette,Beroroha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/129.jpg,RAZAFINDRAKOTO Harifanja Francette,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=razafindrakoto-harifanja-francette,National Assembly,2013,Beroroha
MAPAR,razafindravelo-hermann,Fénérive Est,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/130.jpg,RAZAFINDRAVELO Hermann,Analanjirofo,http://www.assemblee-nationale.mg/?depute=razafindravelo-hermann,National Assembly,2013,Fénérive Est
MAPAR,razafintsiandraofa-jean-brunelle,Ikongo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/131.jpg,RAZAFINTSIANDRAOFA Jean Brunelle,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=razafintsiandraofa-jean-brunelle,National Assembly,2013,Ikongo
MAPAR,razanadrabearimanana-jacques-aurelien,Vavatenina,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/132.jpg,RAZANADRABEARIMANANA Jacques Aurélien,Analanjirofo,http://www.assemblee-nationale.mg/?depute=razanadrabearimanana-jacques-aurelien,National Assembly,2013,Vavatenina
Leader Fanilo,razanakoto,Andramasina,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/133.jpg,RAZANAKOTO -,Analamanga,http://www.assemblee-nationale.mg/?depute=razanakoto,National Assembly,2013,Andramasina
MAPAR,razanamahasoa-christine-harijaona,Ambatofinandrahana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/134.jpg,RAZANAMAHASOA Christine Harijaona,Amoronimania,http://www.assemblee-nationale.mg/?depute=razanamahasoa-christine-harijaona,National Assembly,2013,Ambatofinandrahana
Indépendant,razaranaina-nomenirina,Fianarantsoa I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/135.jpg,RAZARANAINA Nomenirina,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=razaranaina-nomenirina,National Assembly,2013,Fianarantsoa I
VP-MMM,remi,Antsohihy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/136.jpg,REMI,Sofia,http://www.assemblee-nationale.mg/?depute=remi,National Assembly,2013,Antsohihy
Indépendant,rivotiana-richard-jean-bosco,Lalangina,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/137.jpg,RIVOTIANA Richard Jean Bosco,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=rivotiana-richard-jean-bosco,National Assembly,2013,Lalangina
Indépendant,rochelin-houssen,Toliary II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/138.jpg,ROCHELIN Houssen,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=rochelin-houssen,National Assembly,2013,Toliary II
MAPAR,roilahy,Toamasina II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/139.jpg,ROILAHY,Atsinanana,http://www.assemblee-nationale.mg/?depute=roilahy,National Assembly,2013,Toamasina II
MAPAR,sebany-mouhamed,Ambilobe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/140.jpg,SEBANY Mouhamed,Diana,http://www.assemblee-nationale.mg/?depute=sebany-mouhamed,National Assembly,2013,Ambilobe
Indépendant,tody-arnaud,Soanierana Ivongo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/141.jpg,TODY Arnaud,Analanjirofo,http://www.assemblee-nationale.mg/?depute=tody-arnaud,National Assembly,2013,Soanierana Ivongo
Indépendant,tsabotokay-honore,Vohipeno,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/142.jpg,TSABOTOKAY Honoré,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=tsabotokay-honore,National Assembly,2013,Vohipeno
MAPAR,vanovason-jean-adrien,Vangaindrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/143.jpg,VANOVASON Jean Adrien,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=vanovason-jean-adrien,National Assembly,2013,Vangaindrano
Indépendant,velontsara-paul-bert,Port Berger,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/144.jpg,VELONTSARA Paul Bert,Sofia,http://www.assemblee-nationale.mg/?depute=velontsara-paul-bert,National Assembly,2013,Port Berger
VP-MMM,volahaingo-marie-therese,Bealanana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/145.jpg,VOLAHAINGO Marie Thérèse,Sofia,http://www.assemblee-nationale.mg/?depute=volahaingo-marie-therese,National Assembly,2013,Bealanana
MAPAR,volony-jimmy,Nosy Varika,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/146.jpg,VOLONY Jimmy,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=volony-jimmy,National Assembly,2013,Nosy Varika
MAPAR,zafimahatratra-abel,Manakara,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/147.jpg,ZAFIMAHATRATRA Abel,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=zafimahatratra-abel,National Assembly,2013,Manakara
VPM-MMM,5519,Ambanja,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/148.jpg,SOLAIMANA Mahamodo,Diana,http://www.assemblee-nationale.mg/?depute=5519,National Assembly,2013,Ambanja
HIARAKA ISIKA,5520,Belo Tsiribihina,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/149.jpg,RAKOTOZANAKOLONA Paul,Menabe,http://www.assemblee-nationale.mg/?depute=5520,National Assembly,2013,Belo Tsiribihina
Indépendant,5521,Sainte Marie,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/150.jpg,RAVONINJATOVO Sahoby,,http://www.assemblee-nationale.mg/?depute=5521,National Assembly,2013,Sainte Marie
Indépendant,5522,Sainte Marie,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/151.jpg,TSIVOULANGNE Maximin,Analanjirofo,http://www.assemblee-nationale.mg/?depute=5522,National Assembly,2013,Sainte Marie
