name,party,wikiname,term,type,source
Ndeye Dieynaba Ndiaye,Benno Bok Yaakaar,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikh Ahmadou Kara Mbacké,Parti de la Vérité pour le développement,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Sokhna Dieng,Parti de la Vérité pour le développement,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Pape Diop,Bokk Gis Gis,Pape Diop,2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Khadidiatou Diedhiou,Bokk Gis Gis,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Seck,Bokk Gis Gis,Mamadou Seck (homme politique),2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Seynabou Wade,Bokk Gis Gis,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Diop de Croix,AJ/PADS,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Djibo Ka,URD,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Alassane Ndoye,Deggo Souxali Transport Ak Commerce,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Serigne Khadim Thioune,Mouvement patriotique du Sénégal / Faxas,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
El Hadji Mansour Sy,Mouvement citoyen pour la refondation nationale (Bes du Naak),"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Elene Marie Ndione,Mouvement citoyen pour la refondation nationale (Bes du Naak),"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Cheikhou Oumar Sy,Mouvement citoyen pour la refondation nationale (Bes du Naak),"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ndeye Awa Mboj,Mouvement citoyen pour la refondation nationale (Bes du Naak),"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Lamine Diallo,Parti de l'émergence citoyenne (Tekki 2012),"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Oumar Sarr,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Fatou Thiam,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Souleymane Ndéné Ndiaye,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Awa Diop,Parti démocratique sénégalais,Awa Diop,2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Ousmane Alioune Ngom,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Aïssatou Mbodji,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mamadou Lamine Thiam,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Woré Sarr,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Modou Diagne,Parti démocratique sénégalais,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mbaye Niang,MRDS,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Mame Mbayame Gueye Dione,MRDS,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Elhadji Moustapha Diouf,Leeral,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
Demba Diop,Convergence patriotique pour la justice et l'équité,"",2012,Au scrutin de liste nationale,https://fr.wikipedia.org/wiki/Liste_des_d%C3%A9put%C3%A9s_du_S%C3%A9n%C3%A9gal_%C3%A9lus_en_2012
