id,position,label,description,start_date,term,end_date,replaces,replaced_by,of,constituency
Q4459965,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4465306,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4480363,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4481561,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4482170,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4482170,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4493964,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4494832,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4495345,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4497838,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4498598,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4499836,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4502219,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4506723,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4512985,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4514964,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4515877,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4519529,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4519585,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4524043,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4525242,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4525391,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4525925,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4527170,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4527351,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4527351,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4528002,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4528002,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q4531578,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4532483,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4533884,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4535202,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4535396,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4536413,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q4538691,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q461807,Q20113740,ISS Expedition Commander,"",2014-09-10,,2014-11-10,Steven Swanson,Barry E. Wilmore,Expedition 41,
Q48947405,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",2016,,,,,
Q502224,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q503151,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q504137,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q504137,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q504137,Q4151339,Governor of Moscow Oblast,"","",,,,,,
Q508929,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q51667982,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q520016,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q550670,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q553302,Q19399742,member of the Federation Council of Russia,member of the upper house of the Federal Assembly of Russia,"",,,,,,
Q57735,Q14805701,Deputy Chairman of the Government of the Russian Federation,"",2004-03-09,,2011-12-20,,,,
Q57735,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q714637,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q729257,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q7454103,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q822805,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q8990421,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q982461,Q14805701,Deputy Chairman of the Government of the Russian Federation,"","",,,,,,
Q982461,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q982461,Q4376663,Chairman of the State Duma,presiding officer of the lower house of the Russian parliament,2016-12-05,,,,,,
Q983654,Q14805701,Deputy Chairman of the Government of the Russian Federation,"","",,,,,,
Q983654,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q983654,Q1965788,First Deputy Chairman of the Government of the Russian Federation,"",2007-02-15,,2008-05-12,,,,
Q983654,Q4376663,Chairman of the State Duma,presiding officer of the lower house of the Russian parliament,2011-12-21,,,Boris Gryzlov,,,
Q983654,Q4488944,Kremlin Chief of Staff,Wikimedia list article,2008-05-12,,2011-12-20,Sergey Sobyanin,Sergei Ivanov,,
Q983851,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
Q984154,Q17276321,member of the State Duma,member of the lower house of the Russian parliament,"",,,,,,
