id,name,image,source,faction,area,birth_date,start_date,end_date,area_id,term
1756617,Савицкая Светлана Евгеньевна,http://www.duma.gov.ru/upload/iblock/4ee/4ee611badc40cf839e93e0d9647a11b5.jpg,http://www.duma.gov.ru/structure/deputies/1756617/,КПР,все субъекты Российской Федерации,1948-08-08,2016-09-18,,,7
1756618,Савельев Дмитрий Иванович,http://www.duma.gov.ru/upload/iblock/e82/e82f7ea60c8b9486c8f7c32f113a8ae0.jpg,http://www.duma.gov.ru/structure/deputies/1756618/,ЛДПР,Новосибирская областьОмская область,1971-05-25,2016-09-18,,,7
1756619,Саблин Дмитрий Вадимович,http://www.duma.gov.ru/upload/iblock/c4d/c4d4ad7f9daa6bcf04566ce6b0154fe2.jpg,http://www.duma.gov.ru/structure/deputies/1756619/,«ЕДИНАЯРОССИЯ»,г.Москва,1968-09-05,2016-09-18,,0202,7
1756620,Романенко Роман Юрьевич,http://www.duma.gov.ru/upload/iblock/4fc/4fc0c75db8800a97c8c424c78fd20e68.jpg,http://www.duma.gov.ru/structure/deputies/1756620/,«ЕДИНАЯРОССИЯ»,Оренбургская областьСамарская областьУльяновская область,1971-08-09,2016-09-18,,,7
1756622,Ресин Владимир Иосифович,http://www.duma.gov.ru/upload/iblock/5fd/5fd8df2b62253f502c701ab7d465b15c.jpg,http://www.duma.gov.ru/structure/deputies/1756622/,«ЕДИНАЯРОССИЯ»,город Москва,1936-02-21,2016-09-18,,,7
1756623,Ремезков Александр Александрович,http://www.duma.gov.ru/upload/iblock/98a/98a567688b115af1eb181c300ebc4678.jpg,http://www.duma.gov.ru/structure/deputies/1756623/,«СПРАВЕДЛИВАЯРОССИЯ»,Курганская областьТюменская областьКраснодарский край,1962-04-07,2016-09-18,,,7
1756624,Резник Владислав Матусович,http://www.duma.gov.ru/upload/iblock/c7a/c7a3d0f66c12f33a0a8be2b196bbe899.jpg,http://www.duma.gov.ru/structure/deputies/1756624/,«ЕДИНАЯРОССИЯ»,Республика Адыгея (Адыгея),1954-05-17,2016-09-18,,0001,7
1756625,Рашкин Валерий Федорович,http://www.duma.gov.ru/upload/iblock/e55/e553d41aa970c52122577039428ee82f.jpg,http://www.duma.gov.ru/structure/deputies/1756625/,КПР,город Москва,1955-03-14,2016-09-18,,,7
1756626,Рахматуллина Зугура Ягануровна,http://www.duma.gov.ru/upload/iblock/6e7/6e77fc2a125225e2a14a42910a57314b.JPG,http://www.duma.gov.ru/structure/deputies/1756626/,«ЕДИНАЯРОССИЯ»,Республика Башкортостан,1961-08-26,2016-09-18,,0005,7
1756627,Прокопьев Александр Сергеевич,http://www.duma.gov.ru/upload/iblock/135/1354c7fba00b01c844d5895ac31647ed.jpg,http://www.duma.gov.ru/structure/deputies/1756627/,«ЕДИНАЯРОССИЯ»,Алтайский край,1986-08-05,2016-09-18,,0041,7
1756628,Пономарев Аркадий Николаевич,http://www.duma.gov.ru/upload/iblock/16a/16a0fc77586194adb52234d8e7b09a82.jpg,http://www.duma.gov.ru/structure/deputies/1756628/,«ЕДИНАЯРОССИЯ»,Воронежская область,1956-05-16,2016-09-18,,0087,7
1756629,Поздняков Владимир Георгиевич,http://www.duma.gov.ru/upload/iblock/55e/55edd9c84cdcbf0c036b867f0e26ae0e.jpg,http://www.duma.gov.ru/structure/deputies/1756629/,КПР,Республика Саха (Якутия)Забайкальский крайКамчатский крайАмурская областьМагаданская областьЧукотский автономный округ,1946-06-30,2016-09-18,,,7
1756630,Плотников Владимир Николаевич,http://www.duma.gov.ru/upload/iblock/3e3/3e37a774b49a822cd5e63342c37d4e2d.jpg,http://www.duma.gov.ru/structure/deputies/1756630/,«ЕДИНАЯРОССИЯ»,Волгоградская область,1961-11-30,2016-09-18,,0083,7
1756631,Плетнева Тамара Васильевна,http://www.duma.gov.ru/upload/iblock/37e/37ef762f47a8657882532406dc5ef0b5.jpg,http://www.duma.gov.ru/structure/deputies/1756631/,КПР,Липецкая областьПензенская областьТамбовская область,1947-11-22,2016-09-18,,,7
1756632,Пинский Виктор Витальевич,http://www.duma.gov.ru/upload/iblock/6de/6def272d86dd78763b0595a7900d6488.jpg,http://www.duma.gov.ru/structure/deputies/1756632/,«ЕДИНАЯРОССИЯ»,Приморский крайСахалинская область,1964-02-06,2016-09-18,,,7
1756633,Пимашков Петр Иванович,http://www.duma.gov.ru/upload/iblock/4b4/4b4b363710cd709f5b9f723145d7b364.jpg,http://www.duma.gov.ru/structure/deputies/1756633/,«ЕДИНАЯРОССИЯ»,Красноярский край,1948-07-02,2016-09-18,,0055,7
1756634,Петров Сергей Валериевич,http://www.duma.gov.ru/upload/iblock/4eb/4eb36614d356442a9082961153dadb9e.jpg,http://www.duma.gov.ru/structure/deputies/1756634/,«ЕДИНАЯРОССИЯ»,Ленинградская область,1965-04-19,2016-09-18,,0113,7
