id,type,start_date,name__de,name__en,name__nl,name__gd,name__fr,end_date,name__it,name__sv,name__ru,name__ja,name__en_gb,name__cy,name__es,replaces,replaced_by,name__zh,name__zh_hant,name__zh_cn,name__de_ch,name__en_ca
Q1961874,region or constituency of the Scottish Parliament,1999,"Na h-Eileanan an Iar (Wahlkreis, Schottland)",Na h-Eileanan an Iar,Na h-Eileanan an Iar,Na h-Eileanan an Iar (sgìre Phàrlamaid na h-Alba),Na h-Eileanan an Iar,,,,,,,,,,,,,,,
Q2000826,region or constituency of the Scottish Parliament,1999,"North Tayside (Wahlkreis, Schottland)",North Tayside,North Tayside,Taobh Tatha a Tuath,North Tayside,2011,,,,,,,,,,,,,,
Q2013461,region or constituency of the Scottish Parliament,1999,Ochil,Ochil,Ochil,Ochail,,2011,,,,,,,,,,,,,,
Q2046519,region or constituency of the Scottish Parliament,,"Paisley (Wahlkreis, Schottland)",Paisley,,Pàislig,,,,,,,,,,,,,,,,
Q2046526,region or constituency of the Scottish Parliament,1999,"Paisley North (Wahlkreis, Schottland)",Paisley North,Paisley North,Pàislig a Tuath,,2011,,,,,,,,,,,,,,
Q2072556,region or constituency of the Scottish Parliament,1999,Perth,Perth,,Peairt,Perth,2011,Perth,Perth,Перт,,,,,,,,,,,
Q2143939,region or constituency of the Scottish Parliament,,Renfrewshire South,Renfrewshire South,Renfrewshire South,Siorrachd Rinn Friù a Deas,Renfrewshire South,,,,,,,,,,,,,,,
Q2170724,region or constituency of the Scottish Parliament,1999,"Roxburgh and Berwickshire (Wahlkreis, Schottland)",Roxburgh and Berwickshire,Roxburgh and Berwickshire,Rosbrog is Siorrachd Bearaig,,2011,,,,,,,,,,,,,,
Q2177847,region or constituency of the Scottish Parliament,2011,Rutherglen,Rutherglen,,An Ruadh-ghleann,,,,,,,,,,,,,,,,
Q2278508,region or constituency of the Scottish Parliament,1999,Shetland,Shetland,Shetland,Sealtainn,Shetland,,,,Шетланд,シェトランド,Shetland,Shetland,Shetland,,,,,,,
Q2293327,region or constituency of the Scottish Parliament,2011,"Skye, Lochaber and Badenoch","Skye, Lochaber and Badenoch",,"An t-Eilean Sgitheanach, Loch Abar agus Bàideanach",,,,,,,,,,"Ross, Skye and Inverness West",,,,,,
Q2350325,region or constituency of the Scottish Parliament,1999,"Stirling (Wahlkreis, Schottland)",Stirling,Stirling,,Stirling,,,,,スターリング,,,,,,,,,,
Q2353886,region or constituency of the Scottish Parliament,1999,"Strathkelvin and Bearsden (Wahlkreis, Schottland)",Strathkelvin and Bearsden,Strathkelvin and Bearsden,Srath Chelbhinn agus Bearsden,,,,,,,,,,,,,,,,
Q2462129,region or constituency of the Scottish Parliament,1999,"Tweeddale, Ettrick and Lauderdale (Wahlkreis, Schottland)","Tweeddale, Ettrick and Lauderdale","Tweeddale, Ettrick and Lauderdale",,,2011,,,,,,,,,,,,,,
Q2564346,region or constituency of the Scottish Parliament,1999,"West Renfrewshire (Wahlkreis, Schottland)",West Renfrewshire,West Renfrewshire,,,2011,,,,,,,,,,,,,,
Q2564353,region or constituency of the Scottish Parliament,2011,West Scotland,West Scotland,West Scotland,Alba an Iar,Écosse de l'ouest,,,,,,,,,,,,,,,
Q287509,region or constituency of the Scottish Parliament,,Dumfriesshire,Dumfriesshire,,Siorrachd Dhùn Phris,,,,,,,,,,,,,,,,
Q319474,region or constituency of the Scottish Parliament,1999,"Aberdeen Central (Wahlkreis, Schottland)",Aberdeen Central,,Obar Dheathain Meadhain,Aberdeen Central,,,,,,,,,,,,,,,
Q319480,region or constituency of the Scottish Parliament,2011,Aberdeen Donside,Aberdeen Donside,Aberdeen Donside,Obar Dheathain Oir Dheathain,Aberdeen Donside,,,,,,,,,,,,,,,
Q319490,region or constituency of the Scottish Parliament,1999,"Aberdeen North (Wahlkreis, Schottland)",Aberdeen North,,,,,,,,,,,,,,,,,,
Q319503,region or constituency of the Scottish Parliament,1999,"Aberdeen South (Wahlkreis, Schottland)",Aberdeen South,,Obar Dheathain a Deas,,2011,,,,,,,,,,,,,,
Q319507,region or constituency of the Scottish Parliament,,Aberdeen South and North Kincardine,Aberdeen South and North Kincardine,Aberdeen South and North Kincardine,Obar Dheathain a Deas agus Ceann Chàrdainn a Tuath,Aberdeen South and North Kincardine,,,,,,,,,,,,,,,
Q319516,region or constituency of the Scottish Parliament,,Aberdeenshire East,Aberdeenshire East,Aberdeenshire East,Siorrachd Obar Dheathain an Ear,Aberdeenshire East,,,,,,,,,,,阿伯丁郡東 (蘇格蘭議會選區),,,,
Q319521,region or constituency of the Scottish Parliament,2011,Aberdeenshire West,Aberdeenshire West,Aberdeenshire West,Siorrachd Obar Dheathain an Iar,Aberdeenshire West,,,,,,,,,,,,,,,
Q408547,region or constituency of the Scottish Parliament,1999,"Airdrie and Shotts (Wahlkreis, Schottland)",Airdrie and Shotts,,An t-Àrd-Ruigh agus Shotts,Airdrie and Shotts,,,,,,,,,,,,,,,
Q477746,region or constituency of the Scottish Parliament,1999,East Kilbride,East Kilbride,East Kilbride,Cille Bhrìghde an Ear,,,,,,,,,,,,,,,,
Q519563,region or constituency of the Scottish Parliament,1999,Livingston,Livingston,,,,2011,,,,,,,,,,,,,,
Q5338228,region or constituency of the Scottish Parliament,1999,,Edinburgh North and Leith,Edinburgh North and Leith,,,2011-05-05,,,,,,,,,Edinburgh Northern and Leith,,,,,
Q5338259,region or constituency of the Scottish Parliament,2011,Edinburgh Southern,Edinburgh Southern,,Dùn Èideann a Deas,,,,,,,,,,Edinburgh South,,,,,,
Q5338286,region or constituency of the Scottish Parliament,1999,,Edinburgh West,Edinburgh West,,,2011,,,,,,,,,,,,,,
Q544339,region or constituency of the Scottish Parliament,1999,"Angus (Wahlkreis, Schottland)",Angus,,,,2011,,,,,,,,,,,,,,
Q544582,region or constituency of the Scottish Parliament,,Angus North and Mearns,Angus North and Mearns,Angus North and Mearns,Aonghas a Tuath agus a' Mhaoirne,,,,,,,,,,,,,,,,
Q544610,region or constituency of the Scottish Parliament,,Angus South,Angus South,Angus South,Aonghas a Deas,,,,,,,,,,,,,,,,
Q597563,region or constituency of the Scottish Parliament,1999,Edinburgh Central,Edinburgh Central,Edinburgh Central,Dùn Èideann Meadhain,,,,,,,,,,,,愛丁堡中 (蘇格蘭議會選區),,,,
Q652587,region or constituency of the Scottish Parliament,1999,"Argyll and Bute (Wahlkreis, Schottland)",Argyll and Bute,,Earra-Ghàidheal agus Bòd,Argyll and Bute,,,,,,,,,,,,,,,
Q6684773,region or constituency of the Scottish Parliament,1999,,Lothians,Lothians,Lodainn,,2011,,,,,,,,,Lothian,,,,,
Q7569048,region or constituency of the Scottish Parliament,1999,,South of Scotland,South of Scotland,Taobh a Deas na h-Alba,Écosse du sud,2011,,,,,,,,,South Scotland,蘇格蘭南部 (蘇格蘭議會選區),,,,
Q781509,region or constituency of the Scottish Parliament,1999,Glasgow Maryhill,Glasgow Maryhill,Glasgow Maryhill,,,2011,,,,,,,,,,,,,,
Q793213,region or constituency of the Scottish Parliament,1999,"Ayr (Wahlkreis, Schottland)",Ayr,,Inbhir Àir,,,,,,,,,,,,,,,,
Q7987073,region or constituency of the Scottish Parliament,1999,West of Scotland,West of Scotland,,Alba Taobh an Iar,,2011,,,,,,,,,,,,,,
Q806428,region or constituency of the Scottish Parliament,1999,"Banff and Buchan (Wahlkreis, Schottland)",Banff and Buchan,,Banbh is Buchan,,2011,,,,,,,,,,班夫和布臣 (蘇格蘭議會選區),,,,
Q806431,region or constituency of the Scottish Parliament,,Banffshire and Buchan Coast,Banffshire and Buchan Coast,Banffshire and Buchan Coast,Siorrachd Bhanbh is Costa Bhuchan,,,,,,,,,,,,,,,,
Q914974,region or constituency of the Scottish Parliament,1999,North East Fife,North East Fife,North East Fife,Fìobh an Ear-Thuath,North East Fife,,,,,,,,,,,東北法夫 (蘇格蘭議會選區),東北法夫 (蘇格蘭議會選區),东北法夫 (苏格兰议会选区),,
Q925833,region or constituency of the Scottish Parliament,1999,"Carrick, Cumnock and Doon Valley","Carrick, Cumnock and Doon Valley","Carrick, Cumnock and Doon Valley","Carraig, Cumnaig agus Srath Dhùn",,,,,,,,,,,,,,,,
Q956266,region or constituency of the Scottish Parliament,1999,Dundee West,Dundee West,Dundee West,Dùn Dè an Iar,,2011,,,,,,,,,,,,,,
Q959590,region or constituency of the Scottish Parliament,,Renfrewshire North and West,Renfrewshire North and West,Renfrewshire North and West,Siorrachd Rinn Friù a Tuath agus an Iar,,,,,,,,,,,,,,,,
Q976545,region or constituency of the Scottish Parliament,1999,"Ross, Skye and Inverness West","Ross, Skye and Inverness West","Ross, Skye and Inverness West","Ros, an t-Eilean Sgitheanach is Inbhir Nis an Iar",,2011,,,,,,,,,,,,,,
Q999244,region or constituency of the Scottish Parliament,,Mid Fife and Glenrothes,Mid Fife and Glenrothes,Mid Fife and Glenrothes,Fìobh Meadhanach agus Gleann Rathais,,,,,,,,,,,,,,,,
