id,name,twitter,area
earl_dreeshen,Earl Dreeshen,@earl_dreeshen,Red Deer
electdavidwilks,David Wilks,@electdavidwilks,Kootenay—Columbia
emichaudNPD,Élaine Michaud,@emichaudNPD,Portneuf—Jacques-C
evepeclet,Ève Péclet,@evepeclet,La Pointe-de-l'Île
fboivinnpd,Françoise Boivin,@fboivinnpd,Gatineau
fortjf,Jean-François Fortin,@fortjf,Haute-Gaspésie—La
francoispilon,François Pilon,@francoispilon,Laval—Les Îles
geoffregan,Geoff Regan,@geoffregan,Halifax West
gordbrown,Gordon Brown,@gordbrown,Leeds—Grenville
hoangmai_npd,Hoang Mai,@hoangmai_npd,Brossard—La Prairi
irenemathyssen,Irene Mathyssen,@irenemathyssen,London—Fanshawe
jamesbezan,James Bezan,@jamesbezan,Selkirk—Interlake
jameslunneymp,James Lunney,@jameslunneymp,Nanaimo—Alberni
jasbirsandhu,Jasbir Sandhu,@jasbirsandhu,Surrey North
jimhillyer,Jim Hillyer,@jimhillyer,Lethbridge
jimkarygiannis,Jim Karygiannis,@jimkarygiannis,Scarborough—Aginco
jinnysims,Jinny Sims,@jinnysims,Newton—North Delta
joecomartin,Joe Comartin,@joecomartin,Windsor—Tecumseh
joeoliver1,Joe Oliver,@joeoliver1,Eglinton—Lawrence
johnwestonmp,John Weston,@johnwestonmp,West Vancouver—Sun
joycemurray,Joyce Murray,@joycemurray,Vancouver Quadra
kennedystewart,Kennedy Stewart,@kennedystewart,Burnaby—Douglas
kenneyjason,Jason Kenney,@kenneyjason,Jeanne-Mance-Viger
laurinliu,Laurin Liu,@laurinliu,Rivire-des-Mille-
leonaaglukkaq,Leona Aglukkaq,@leonaaglukkaq,Nunavut
lraitt,Lisa Raitt,@lraitt,Halton
markstrahl,Mark Strahl,@markstrahl,Chilliwack—Fraser 
mpcharmaineborg,Charmaine Borg,@mpcharmaineborg,Terrebonne—Blainvi
mpdeandelmastro,Dean Del Mastro,@mpdeandelmastro,Peterborough
mpeveadams,Eve Adams,@mpeveadams,Mississauga—Brampt
mploisbrown,Lois Brown,@mploisbrown,Newmarket—Aurora
mpmikea,Mike Allen,@mpmikea,Tobique—Mactaquac
nathancullen,Nathan Cullen,@nathancullen,Skeena—Bulkley Val
nikiashton,Niki Ashton,@nikiashton,Nelligan
nwtdennis,Dennis Bevington,@nwtdennis,Western Arctic
nycole_turmel,Nycole Turmel,@nycole_turmel,Hull—Aylmer
paulinaayalaNPD,Paulina Ayala,@paulinaayalaNPD,Honoré-Mercier
peterbraid,Peter Braid,@peterbraid,Kitchener—Waterloo
pierrenantel,Pierre Nantel,@pierrenantel,Longueuil—Pierre-B
pmharper,Stephen Harper,@pmharper,La Peltrie
r_garrison,Randall Garrison,@r_garrison,Esquimalt—Juan de 
robertrgoguen,Robert Goguen,@robertrgoguen,MonctonRiverview
rodbruinooge,Rod Bruinooge,@rodbruinooge,Winnipeg South
rodneywestonsj,Rodney Weston,@rodneywestonsj,Saint John
scottbrison,Scott Brison,@scottbrison,Kings—Hants
seancaseymp,Sean Casey,@seancaseymp,Charlottetown
stephanedion,Stéphane Dion,@stephanedion,Saint-Laurent—Cart
stevenjfletcher,Steven Fletcher,@stevenjfletcher,Charleswood—St. Ja
sylvainchicoine,Sylvain Chicoine,@sylvainchicoine,Châteauguay—Saint
tbenskin,Tyrone Benskin,@tbenskin,Jeanne-Le Ber
tedhsu,Ted Hsu,@tedhsu,Kingston and the Isl
terenceyoungmp,Terence Young,@terenceyoungmp,Oakville
