id,name,given_name,patronymic_name,family_name,area,term,start_date,end_date,image,party,source_url,faction,faction_id,area_id,identifier__rada
14393,Березкін Станіслав Семенович,Станіслав,Семенович,Березкін,Кіровоградська область,8,2014-11-27,2015-03-05,http://static.rada.gov.ua/dep_img8/d100_1.jpg,,http://itd.rada.gov.ua/mps/info/page/14393,"Група ""Економічний розвиток""",2618,100,14393
14393,Березкін Станіслав Семенович,Станіслав,Семенович,Березкін,Кіровоградська область,8,2015-03-06,2015-06-17,http://static.rada.gov.ua/dep_img8/d100_1.jpg,,http://itd.rada.gov.ua/mps/info/page/14393,"Група ""Відродження""",2795,100,14393
14393,Березкін Станіслав Семенович,Станіслав,Семенович,Березкін,Кіровоградська область,8,2015-06-17,,http://static.rada.gov.ua/dep_img8/d100_1.jpg,,http://itd.rada.gov.ua/mps/info/page/14393,"Група ""Партія ""Відродження""",2846,100,14393
14674,Гузь Ігор Володимирович,Ігор,Володимирович,Гузь,Волинська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d19_1.jpg,,http://itd.rada.gov.ua/mps/info/page/14674,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,19,14674
15257,Бухарєв Владислав Вікторович,Владислав,Вікторович,Бухарєв,Сумська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d162_1.jpg,,http://itd.rada.gov.ua/mps/info/page/15257,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,162,15257
15309,Кодола Олександр Михайлович,Олександр,Михайлович,Кодола,Чернігівська область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d209_1.jpg,,http://itd.rada.gov.ua/mps/info/page/15309,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,209,15309
15644,Долженков Олександр Валерійович,Олександр,Валерійович,Долженков,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/ob23.jpg,"Політична партія ""Опозиційний блок""",http://itd.rada.gov.ua/mps/info/page/15644,"Фракція Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",2616,,15644
15645,Княжицький Микола Леонідович,Микола,Леонідович,Княжицький,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf34.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15645,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15645
15646,Гриневич Лілія Михайлівна,Лілія,Михайлівна,Гриневич,Загальнодержавному багатомандатному округу,8,2014-11-27,2016-04-14,http://static.rada.gov.ua/dep_img8/nf9.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15646,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15646
15647,Луценко Ірина Степанівна,Ірина,Степанівна,Луценко,Загальнодержавному багатомандатному округу,8,2015-01-27,2015-02-03,http://static.rada.gov.ua/dep_img8/bp70.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15647,Позафракційні,,,15647
15647,Луценко Ірина Степанівна,Ірина,Степанівна,Луценко,Загальнодержавному багатомандатному округу,8,2015-02-04,,http://static.rada.gov.ua/dep_img8/bp70.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15647,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15647
15649,Кубів Степан Іванович,Степан,Іванович,Кубів,Загальнодержавному багатомандатному округу,8,2014-11-27,2016-04-14,http://static.rada.gov.ua/dep_img8/bp59.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15649,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15649
15650,Аваков Арсен Борисович,Арсен,Борисович,Аваков,Загальнодержавному багатомандатному округу,8,2014-11-27,2014-12-02,http://static.rada.gov.ua/dep_img8/nf6.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15650,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15650
15651,Павелко Андрій Васильович,Андрій,Васильович,Павелко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp33.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15651,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15651
15652,Дзензерський Денис Вікторович,Денис,Вікторович,Дзензерський,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf24.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15652,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15652
15653,Фаєрмарк Сергій Олександрович,Сергій,Олександрович,Фаєрмарк,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf29.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15653,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15653
15654,Іванчук Андрій Володимирович,Андрій,Володимирович,Іванчук,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf16.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15654,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15654
15655,Бурбак Максим Юрійович,Максим,Юрійович,Бурбак,Чернівецька область,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/d204_1.jpg,,http://itd.rada.gov.ua/mps/info/page/15655,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,204,15655
15657,Петренко Павло Дмитрович,Павло,Дмитрович,Петренко,Загальнодержавному багатомандатному округу,8,2014-11-27,2014-12-02,http://static.rada.gov.ua/dep_img8/nf11.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15657,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15657
15658,Шкварилюк Володимир Васильович,Володимир,Васильович,Шкварилюк,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf25.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15658,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15658
15662,Лунченко Валерій Валерійович,Валерій,Валерійович,Лунченко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf19.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15662,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15662
15665,Матіос Марія Василівна,Марія,Василівна,Матіос,Загальнодержавному багатомандатному округу,8,2014-12-02,,http://static.rada.gov.ua/dep_img8/bp7.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15665,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15665
15667,Продан Оксана Петрівна,Оксана,Петрівна,Продан,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp15.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15667,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15667
15668,Ковальчук Віталій Анатолійович,Віталій,Анатолійович,Ковальчук,Загальнодержавному багатомандатному округу,8,2014-11-27,2015-01-14,http://static.rada.gov.ua/dep_img8/bp10.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15668,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15668
15669,Агафонова Наталія Володимирівна,Наталія,Володимирівна,Агафонова,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp44.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15669,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15669
15670,Палатний Артур Леонідович,Артур,Леонідович,Палатний,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp24.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15670,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15670
15671,Паламарчук Микола Петрович,Микола,Петрович,Паламарчук,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp36.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15671,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15671
15672,Іонова Марія Миколаївна,Марія,Миколаївна,Іонова,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp23.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15672,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15672
15674,Пацкан Валерій Васильович,Валерій,Васильович,Пацкан,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp38.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15674,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15674
15676,Ткачук Геннадій Віталійович,Геннадій,Віталійович,Ткачук,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp42.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15676,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15676
15680,Побер Ігор Миколайович,Ігор,Миколайович,Побер,Загальнодержавному багатомандатному округу,8,2014-12-04,,http://static.rada.gov.ua/dep_img8/bp67.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15680,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15680
15681,Савчук Юрій Петрович,Юрій,Петрович,Савчук,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/nf22.jpg,"Політична партія ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15681,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,,15681
15684,Бєлькова Ольга Валентинівна,Ольга,Валентинівна,Бєлькова,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp47.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15684,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15684
15685,Іщенко Валерій Олександрович,Валерій,Олександрович,Іщенко,Загальнодержавному багатомандатному округу,8,2014-11-27,,http://static.rada.gov.ua/dep_img8/bp37.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15685,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15685
15687,Павленко Ростислав Миколайович,Ростислав,Миколайович,Павленко,Загальнодержавному багатомандатному округу,8,2014-11-27,2015-01-14,http://static.rada.gov.ua/dep_img8/bp22.jpg,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15687,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,,15687
